E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
10,5,0.8,5,0.651218,0.554288,0.097874,0.096753
10,5,0.8,6,0.660084,0.568651,0.096622,0.095181
10,5,0.8,7,0.666501,0.567104,0.095706,0.095352
10,5,0.8,8,0.676862,0.565902,0.094208,0.095484
10,5,0.8,9,0.694756,0.501832,0.091562,0.102288
10,5,0.8,10,0.704818,0.476283,0.090040,0.104878
10,5,0.8,11,0.700140,0.525502,0.090751,0.099828
10,5,0.8,12,0.713164,0.466814,0.088758,0.105822
10,5,0.8,13,0.714867,0.512235,0.088494,0.101214
10,5,0.8,14,0.717337,0.480626,0.088110,0.104442
10,5,0.8,15,0.734395,0.469529,0.085410,0.105552
