REAL,ESTIMATE
0.483705,0.227420
0.469983,0.392642
0.448256,0.387636
0.325901,0.483247
0.324185,0.391865
0.544311,0.388127
0.624929,0.560547
0.395083,0.668055
0.234420,0.637483
0.280160,0.416072
0.469983,0.371619
0.289308,0.474561
0.444826,0.416817
0.523728,0.562427
0.460835,0.676435
0.462550,0.515612
0.333333,0.437371
0.344768,0.412272
0.464837,0.413982
0.300743,0.466754
0.433391,0.367789
0.328759,0.517798
0.316752,0.362271
0.396226,0.378503
0.394511,0.500400
0.350486,0.389257
0.291595,0.350426
0.446541,0.276359
0.331618,0.426168
0.297885,0.403818
0.321898,0.345872
0.395083,0.353058
0.297885,0.377105
0.297885,0.356877
0.566038,0.310083
0.363636,0.507215
0.420240,0.352151
0.249285,0.480245
0.294454,0.215718
0.339623,0.318217
0.482561,0.346540
0.342481,0.442329
0.335049,0.350203
0.381361,0.301116
0.387157,0.359467
0.355553,0.395744
0.405374,0.368974
0.623785,0.355721
0.300172,0.495306
0.190966,0.370892
0.178959,0.268277
0.158948,0.255789
0.329903,0.277009
0.440823,0.359282
0.362493,0.427837
0.251572,0.308657
0.240137,0.226918
0.302537,0.242952
0.320104,0.357451
0.176101,0.298680
0.213836,0.234818
0.232133,0.232644
0.359062,0.255512
0.287021,0.398235
0.242424,0.313665
0.247570,0.267631
0.169240,0.259900
0.255860,0.222100
0.353917,0.298844
0.228702,0.336960
0.159520,0.222895
0.336764,0.207744
0.267581,0.273773
0.261864,0.292597
0.265294,0.317814
0.157804,0.255127
0.036592,0.170678
0.129788,0.137959
0.158662,0.244332
0.109205,0.214412
0.166953,0.152865
0.213836,0.139740
0.193253,0.191270
0.229846,0.174623
0.169240,0.235998
0.085763,0.191954
0.031447,0.148978
0.110921,0.108599
0.076615,0.104260
0.070898,0.137363
0.106918,0.141085
0.020011,0.155538
0.122356,0.114404
0.168096,0.173241
0.109205,0.160343
0.078902,0.138467
0.085192,0.140681
0.108634,0.131042
0.174957,0.137269
0.145226,0.175396
0.166381,0.167856
0.297885,0.162269
0.259577,0.204151
0.071469,0.206413
0.042310,0.140123
0.104631,0.129183
0.039451,0.146413
0.132075,0.126574
0.202973,0.159140
0.160663,0.166949
0.178959,0.153526
0.127501,0.169942
0.022870,0.145757
0.035449,0.125867
0.019440,0.133052
0.006289,0.118262
0.203545,0.120797
0.157804,0.183649
0.085192,0.169741
0.008576,0.127841
0.176101,0.099634
0.281875,0.150703
0.209262,0.163495
0.014294,0.174648
0.023442,0.115792
0.022298,0.106524
0.008290,0.123909
0.039451,0.131985
0.045169,0.128433
0.169811,0.110801
0.223556,0.130221
0.162379,0.155262
0.243568,0.182491
0.192682,0.212233
0.052030,0.150576
0.048599,0.110034
0.080617,0.142112
