REAL,ESTIMATE
0.096627,0.141140
0.167238,0.107923
0.235563,0.170254
0.116924,0.194251
0.216123,0.179230
0.221841,0.187139
0.204117,0.152190
0.209834,0.167338
0.161235,0.161330
0.132075,0.182838
0.141224,0.178002
0.231561,0.135877
0.218982,0.180990
0.173814,0.178581
0.294454,0.182544
0.235563,0.240812
0.253288,0.168075
0.366495,0.191535
0.287593,0.256487
0.303030,0.238182
0.228988,0.238254
0.288736,0.181328
0.255003,0.241880
0.140080,0.247903
0.031447,0.199157
0.351058,0.160541
0.375071,0.237647
0.425386,0.279997
0.477987,0.352613
0.327044,0.349106
0.288736,0.285430
0.226415,0.252097
0.252716,0.255447
0.340194,0.288638
0.294454,0.262996
0.439680,0.254408
0.403659,0.356382
0.304174,0.359911
0.224128,0.321358
0.249285,0.244554
0.511721,0.224091
0.303030,0.410529
0.427673,0.330851
0.233276,0.414699
0.254431,0.284290
0.282447,0.278884
0.267010,0.333085
0.357919,0.304387
0.330475,0.360660
0.393939,0.335605
0.368782,0.355925
0.294454,0.415602
0.184105,0.315299
0.229846,0.270922
0.251572,0.248953
0.058319,0.259462
0.346484,0.234479
0.385363,0.352697
0.331046,0.355917
0.316181,0.334485
0.313894,0.306469
0.320755,0.309817
0.339051,0.317548
0.522013,0.331785
0.440823,0.458585
0.406518,0.401281
0.524300,0.376163
0.437393,0.471546
0.402516,0.393372
0.281304,0.393315
0.308748,0.332277
0.312178,0.315148
0.440252,0.348029
0.352773,0.424942
0.401372,0.367095
0.464265,0.382796
0.383076,0.442911
0.347627,0.374623
0.421955,0.391329
0.367639,0.454097
0.448828,0.398966
0.429388,0.445802
0.303602,0.422462
0.347055,0.319962
0.608348,0.390903
0.595769,0.535866
0.686106,0.432087
0.775300,0.565124
0.528302,0.602838
0.396226,0.503244
0.452830,0.430261
0.536878,0.453871
0.393368,0.505615
0.373928,0.378041
0.487136,0.439561
0.448828,0.496373
0.433962,0.492641
0.449971,0.459621
0.428816,0.454295
0.549457,0.437280
0.758148,0.554002
0.750715,0.821658
0.602630,0.604062
0.532304,0.546681
0.592338,0.490283
0.516295,0.460894
0.142367,0.173505
0.246998,0.309028
0.385935,0.326736
0.483705,0.413081
0.528302,0.494286
0.528302,0.574164
0.545455,0.503388
0.409949,0.534850
0.386507,0.424912
0.184677,0.361527
0.390509,0.331163
0.608919,0.547523
0.658662,0.593666
0.889651,0.598013
0.526872,0.634801
0.631218,0.526901
0.752430,0.526974
0.599771,0.560681
0.593482,0.479205
0.457404,0.400656
0.451687,0.478554
0.330475,0.509323
0.473413,0.504134
0.523156,0.524873
0.539165,0.582211
0.435678,0.537588
0.798170,0.625800
0.754717,0.667936
0.566038,0.555709
0.612922,0.738006
0.660949,0.510666
0.284734,0.438331
0.432104,0.418746
0.326901,0.320863
0.331046,0.446953
0.611206,0.589680
0.331618,0.370660
0.076166,0.359436
0.347791,0.245955
0.843339,0.428084
0.728988,0.537991
0.444254,0.420217
0.696970,0.535816
0.659806,0.723211
0.593482,0.600227
0.329331,0.342186
0.348199,0.477793
0.307033,0.391396
0.455117,0.356909
0.303602,0.449470
0.094911,0.370725
0.147061,0.279688
0.295056,0.281322
0.393217,0.351475
0.765866,0.629977
1.000000,0.947058
0.679817,0.806409
0.654660,0.604316
0.433391,0.609231
0.280732,0.516774
0.269868,0.368886
0.305317,0.189317
0.309320,0.258932
0.321898,0.317702
0.654660,0.416009
0.558605,0.548448
0.257862,0.412378
0.380789,0.346475
0.579760,0.404287
0.426529,0.551682
0.397942,0.505639
0.859920,0.592219
0.423671,0.438498
0.259005,0.409430
0.403087,0.366770
0.492281,0.405228
0.236707,0.363516
0.256718,0.273847
0.195540,0.328950
0.268153,0.260590
0.220698,0.411679
0.631218,0.260525
0.519726,0.502394
0.407090,0.488253
0.343625,0.356390
0.452258,0.400917
0.257862,0.325485
0.352773,0.416379
0.321326,0.367039
0.324757,0.326865
0.345912,0.340896
0.376215,0.393524
0.211835,0.365537
0.203545,0.309414
0.369926,0.259630
0.382504,0.366061
0.420812,0.360329
0.443682,0.475156
0.475700,0.377089
0.637507,0.451294
0.360778,0.352009
0.352773,0.288573
0.162379,0.314756
