E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
10,5,0.8,5,0.511485,0.424201,0.040070,0.030353
10,5,0.8,6,0.635924,0.312198,0.034592,0.033174
10,5,0.8,7,0.511715,0.300031,0.040061,0.033467
10,5,0.8,8,0.585256,0.255978,0.036921,0.034504
10,5,0.8,9,0.516021,0.324165,0.039884,0.032885
10,5,0.8,10,0.641705,0.288753,0.034317,0.033735
10,5,0.8,11,0.677794,0.399434,0.032542,0.030999
10,5,0.8,12,0.677036,0.298793,0.032581,0.033496
10,5,0.8,13,0.685127,0.302262,0.032170,0.033413
10,5,0.8,14,0.626081,0.239143,0.035057,0.034892
10,5,0.8,15,0.636925,0.416054,0.034545,0.030567
