REAL,ESTIMATE
31.833333,30.134639
65.416667,33.894541
60.250000,56.111726
48.125000,52.103335
49.833333,47.976107
71.958333,48.471226
86.541667,50.020884
29.791667,42.881532
25.458333,40.554549
46.458333,37.695218
39.708333,43.487129
36.375000,38.836311
42.083333,27.735074
43.583333,15.375974
31.875000,40.715400
9.666667,33.487078
11.250000,22.772435
25.000000,21.011276
28.500000,28.003761
33.666667,32.344145
38.666667,36.405521
38.375000,39.230524
23.833333,36.668051
29.000000,27.560630
33.916667,32.335388
34.291667,34.958275
34.125000,36.639696
14.000000,38.068668
13.916667,25.388077
15.250000,23.458882
16.500000,22.483001
28.375000,23.631060
40.291667,32.358076
21.291667,40.478988
19.041667,26.883912
29.541667,26.548647
24.083333,31.653006
15.750000,27.306672
13.208333,25.532162
20.270833,24.832031
27.208333,27.203031
48.708333,31.253724
52.750000,45.884669
35.750000,47.875648
42.291667,37.793195
33.708333,41.796405
41.625000,34.810142
54.583333,41.003211
26.208333,51.588333
24.083333,34.154631
19.708333,32.119732
17.416667,27.632864
11.895833,23.764650
25.375000,21.650867
38.333333,31.339287
22.166667,36.983884
25.291667,27.606529
29.750000,30.318802
42.166667,31.098686
44.958333,39.138873
25.708333,43.523518
22.000000,33.425419
16.708333,29.332325
19.375000,24.689849
30.011494,26.142803
45.196839,34.433122
67.125000,44.594380
85.375000,57.310004
61.250000,65.049096
76.541667,53.170958
101.750000,62.781079
106.125000,63.687456
126.250000,87.553259
102.493056,101.969244
60.402778,84.272353
40.208333,58.325239
23.916667,47.609629
30.250000,38.913519
35.250000,40.952750
29.000000,47.378535
21.708333,41.283901
26.166667,33.807274
26.333333,32.388481
38.666667,31.128308
52.750000,39.120718
66.291667,52.250194
90.416667,62.491918
85.375000,73.578344
48.208333,55.566048
12.833333,47.694844
12.041667,26.959885
21.333333,24.136200
59.666667,29.315489
55.625000,56.891177
26.208333,52.991392
21.541667,35.454067
17.791667,28.351797
27.208333,21.614101
40.541667,28.511148
26.041667,43.481837
15.208333,34.757993
15.208333,25.128809
36.416667,24.282367
46.333333,34.857618
28.750000,42.316677
10.125000,34.739320
21.000000,21.895565
16.000000,26.356539
30.041667,21.972174
34.375000,33.875113
42.375000,38.921553
32.051667,41.934756
30.740000,34.605170
47.166667,33.865694
48.458333,43.033458
17.750000,44.567865
27.916667,27.676179
27.333333,34.290869
25.958333,31.673442
48.583333,29.661000
51.666667,46.665686
68.750000,47.752662
48.500000,54.996949
29.083333,45.741708
23.541667,34.176928
28.916667,28.388121
43.916667,32.957583
48.208333,43.131337
23.916667,46.786756
16.083333,31.063236
36.333333,25.143676
56.291667,34.635139
49.250000,47.482750
57.541667,46.876873
61.208333,56.301469
52.791667,52.375673
90.375000,45.801122
23.833333,52.413638
73.437500,46.416889
24.791667,65.503563
22.416667,31.163269
45.000000,33.585281
56.833333,43.471195
60.291667,53.785593
