REAL,ESTIMATE
36.583333,35.825821
50.708333,43.293475
88.166667,83.571749
106.125000,71.813496
50.708333,69.064210
42.625000,42.684609
56.291667,42.187739
90.791667,90.836776
71.958333,68.661018
40.333333,47.407553
43.666667,53.026525
38.666667,41.732091
28.875000,32.873224
28.875000,37.221640
25.625000,66.166198
33.333333,34.016394
30.416667,31.628394
21.458333,35.761444
22.708333,35.378618
17.583333,27.540821
57.625000,18.328019
29.083333,54.300674
38.416667,32.581074
35.958333,39.684706
14.500000,34.838890
8.958333,15.001648
16.000000,15.329752
21.125000,30.060239
16.708333,24.492438
21.166667,23.164321
22.458333,28.829470
16.958333,27.434896
29.833333,20.247433
52.916667,31.375629
66.750000,47.371571
21.125000,55.723112
27.500000,24.596948
59.958333,30.676047
56.708333,47.710311
80.541667,46.050783
86.666667,65.267394
140.708333,67.708770
148.416667,114.768069
116.125000,117.182404
91.875000,88.783677
101.500000,83.977284
72.916667,88.058486
26.875000,66.652947
46.958333,47.990260
69.041667,53.490970
34.125000,59.780072
30.041667,43.910483
28.083333,34.931174
35.166667,20.240048
29.083333,38.246750
30.708333,35.281616
41.833333,32.113397
31.375000,39.512876
38.041667,27.647860
52.375000,37.777191
84.208333,53.487348
79.750000,51.766251
48.875000,71.509593
97.041667,51.091433
100.000000,60.246486
52.625000,75.368861
25.750000,57.793646
45.083333,60.118652
64.291667,55.570495
46.958333,51.437080
45.541667,53.172210
52.416667,63.089428
68.000000,45.064482
84.708333,61.179302
44.833333,67.649849
34.500000,80.372462
49.875000,36.586575
50.833333,44.049285
49.000000,45.578750
46.958333,54.162198
17.875000,21.433338
34.375000,20.473116
30.750000,32.559803
50.166667,36.005825
36.666667,48.618278
58.625000,40.218653
58.833333,58.080506
61.750000,57.061609
72.083333,55.665855
70.166667,53.761730
58.625000,64.096565
61.000000,53.461050
122.041667,62.374189
61.083333,83.148361
59.666667,64.737082
43.958333,62.178630
39.125000,56.004546
53.458333,42.584769
53.041667,42.475092
76.041667,58.562192
99.625000,77.642474
57.125000,79.062505
50.041667,54.632204
25.041667,22.674776
11.000000,22.198648
11.875000,13.385642
24.791667,32.453341
44.208333,39.417120
72.958333,45.459521
23.833333,61.774121
32.666667,26.587840
32.500000,26.247827
35.583333,29.149527
41.625000,32.052628
34.750000,42.995549
39.333333,40.825894
33.541667,34.724805
27.125000,31.479730
37.083333,36.117111
82.583333,47.458648
73.333333,68.463199
45.791667,69.963102
48.583333,47.994762
55.958333,49.298555
44.791667,49.745345
52.083333,46.967222
65.500000,63.266433
50.333333,55.118125
41.083333,44.655552
70.666667,42.534806
61.166667,70.450438
42.583333,43.255515
73.187500,44.592912
137.916667,77.213718
153.958333,117.182994
110.291667,124.808065
63.958333,83.768228
105.625000,71.209602
82.333333,97.599625
74.916667,69.721434
24.405242,63.823751
17.120968,49.035571
14.411290,32.944851
24.583333,24.298059
30.000000,40.904889
29.125000,28.402459
33.708333,41.815276
28.291667,41.327273
18.437500,24.611941
24.500000,22.406806
45.208333,27.985137
30.708333,41.839904
35.541667,29.615105
29.250000,36.413017
73.916667,31.399774
51.833333,57.609268
41.333333,45.774253
49.583333,49.724360
26.208333,46.939073
22.166667,23.243070
31.500000,24.656279
34.916667,52.777462
45.291667,40.698262
42.000000,49.372114
29.541667,42.741606
32.416667,36.820989
26.125000,33.290988
29.250000,26.984256
39.208333,36.997898
62.666667,40.273538
22.375000,56.794996
17.000000,25.655099
27.166667,25.076559
20.875000,30.134109
29.916667,23.556189
23.750000,33.663287
16.666667,35.175498
27.875000,19.205238
52.875000,26.179218
60.666667,47.401679
47.583333,54.404052
63.541667,45.617330
77.416667,57.658937
41.750000,57.515656
16.958333,39.641963
12.708333,39.789646
36.208333,33.607885
44.000000,31.153006
44.250000,42.706437
13.875000,51.646823
15.458333,25.749141
11.041667,11.596768
13.625000,11.336322
30.750000,30.896628
70.916667,36.911966
55.458333,64.349669
36.333333,48.105749
22.833333,38.030607
24.104167,28.143827
14.875000,23.684369
10.333333,17.154168
8.000000,27.304431
10.708333,23.372142
43.625000,18.122376
40.604167,40.066423
35.895833,41.732151
15.791667,38.586003
17.625000,19.434002
10.375000,14.826648
21.875000,13.751509
55.791667,28.999640
62.583333,48.678040
25.833333,52.017807
29.375000,28.991043
35.041667,33.521303
27.625000,32.230572
10.541667,26.745729
18.875000,25.121796
29.187500,30.913355
12.583333,26.990055
61.000000,17.073179
67.291667,54.153892
53.375000,57.882040
37.541667,47.922891
10.750000,38.423432
9.541667,22.835361
20.208333,8.507288
27.708333,26.843486
22.125000,36.429616
21.875000,31.420893
27.291667,27.144035
19.437500,28.206329
6.125000,25.061242
13.375000,16.074199
22.166667,21.211370
30.916667,23.500612
41.833333,30.277230
47.041667,41.278468
59.458333,43.751961
23.666667,50.565513
33.416667,24.292668
35.708333,35.351909
22.000000,34.317868
14.083333,23.912481
35.083333,24.322055
31.541667,38.735297
45.375000,30.001846
16.750000,43.302669
25.125000,28.466818
29.750000,30.894191
23.750000,25.993161
24.625000,26.588731
23.916667,31.961433
15.833333,29.358319
20.166667,16.639096
27.833333,23.821860
25.250000,32.291181
36.083333,29.197939
43.333333,35.140542
19.708333,40.384338
24.333333,23.250925
28.291667,26.645624
21.333333,29.652545
18.041667,23.560804
15.916667,24.992265
18.833333,25.302691
27.687500,22.145979
31.708333,28.771429
35.458333,34.662471
34.875000,36.908685
29.166667,33.227643
28.125000,28.061447
19.875000,29.477051
24.316406,24.242612
38.454427,27.166505
36.625000,36.871931
28.666667,35.953172
35.875000,31.801709
54.458333,36.330000
34.333333,47.010174
9.958333,34.207746
16.791667,22.375159
25.000000,24.240232
34.958333,22.629676
37.875000,34.057788
31.416667,43.062138
45.208333,35.323215
64.250000,39.213937
69.291667,53.895873
64.986111,55.837510
44.597222,56.845528
35.250000,42.364530
58.666667,32.912449
36.750000,51.900399
26.625000,54.760973
30.500000,54.847329
54.875000,37.498407
44.458333,57.508396
58.416667,47.235083
59.416667,63.807576
58.666667,59.883465
68.708333,53.725020
44.500000,60.597708
80.791667,73.824460
30.083333,54.410566
32.041667,34.784797
44.291667,50.573896
31.125000,51.369907
32.583333,48.487651
53.708333,37.753564
66.291667,56.112382
51.625000,67.613745
44.166667,47.006173
68.333333,50.704974
67.875000,62.382728
33.666667,56.436366
27.708333,39.970165
46.666667,68.297370
29.875000,46.043007
19.666667,27.463758
14.166667,50.505113
51.791667,45.275995
144.428073,144.111218
120.769088,137.164490
116.031657,109.789699
111.294227,94.792156
106.556797,108.437679
101.819367,99.722197
97.081937,85.500757
92.344507,70.233349
87.607076,73.391425
82.869646,75.147601
78.132216,69.251510
73.394786,60.469507
68.657356,53.524711
63.919926,68.706459
59.182495,55.637781
54.445065,49.241200
49.707635,43.744329
44.970205,39.514053
40.232775,36.653371
35.495345,34.880174
30.757914,33.406316
26.020484,31.243932
22.031425,28.495743
25.708333,26.341397
31.791667,29.466349
53.833333,34.851718
52.916667,57.181770
114.250000,52.618285
108.041667,81.030248
37.833333,55.867428
67.208333,42.032562
32.083333,64.840481
34.833333,33.943152
43.166667,38.332305
80.416667,49.038481
40.250000,61.134356
36.333333,39.262890
39.541667,41.848705
43.875000,33.880372
32.208333,37.428047
44.416667,33.339307
44.375000,48.578352
60.458333,43.688155
63.541667,62.755291
62.208333,56.760954
78.583333,65.524472
35.458333,47.160116
30.250000,36.583359
63.958333,50.299244
46.875000,63.680867
58.375000,51.271579
46.166667,52.582409
41.666667,43.683779
48.416667,33.152503
59.750000,49.769559
39.833333,61.945027
45.291667,43.798206
42.208333,47.609717
50.583333,40.832880
36.666667,36.946839
38.666667,47.484389
26.916667,47.067117
40.416667,32.558160
56.625000,41.587306
73.250000,58.155740
93.833333,70.019928
47.750000,61.544200
41.270833,48.896622
99.875000,44.577428
36.791667,58.504973
97.416667,52.090633
81.375000,76.321060
34.875000,68.931435
28.333333,36.282632
50.083333,32.680522
76.708333,76.780401
36.625000,65.560625
66.083333,42.692012
62.333333,64.791445
60.000000,47.452314
46.916667,51.569985
23.000000,30.781370
249.000000,161.918236
537.583333,536.195385
95.291667,40.354092
67.791667,90.491794
34.583333,32.057143
28.958333,38.656915
38.875000,31.578952
99.750000,54.693349
89.500000,39.072293
50.583333,70.260794
42.083333,29.515293
37.625000,56.769471
44.229167,30.521283
45.333333,58.723189
81.833333,33.059228
67.375000,80.570677
30.125000,61.154223
37.333333,31.646260
27.333333,49.110551
25.291667,40.341026
35.791667,25.892829
43.458333,43.626329
