REAL,ESTIMATE
0.324675,0.282678
0.288961,0.297693
0.282468,0.293679
0.259740,0.297477
0.269481,0.279557
0.256494,0.273617
0.256494,0.272012
0.266234,0.281430
0.292208,0.275272
0.340909,0.284470
0.275974,0.311634
0.282468,0.285413
0.311688,0.289245
0.246753,0.294846
0.220779,0.267247
0.256494,0.260600
0.279221,0.278508
0.344156,0.278502
0.314935,0.313606
0.269481,0.304801
0.308442,0.283029
0.217532,0.293780
0.253247,0.249249
0.285714,0.276803
0.311688,0.288452
0.272727,0.300696
0.204545,0.277508
0.256494,0.257430
0.233766,0.265295
0.259740,0.251590
0.259740,0.269100
0.246753,0.271123
0.272727,0.262363
0.262987,0.265728
0.305195,0.269118
0.262987,0.289034
0.233766,0.267691
0.178571,0.257632
0.224026,0.227305
0.275974,0.251530
0.285714,0.266003
0.324675,0.281650
0.327922,0.295277
0.305195,0.297110
0.327922,0.284643
0.311688,0.305747
0.311688,0.303148
0.262987,0.306411
0.298701,0.285860
0.250000,0.308119
0.218428,0.275875
0.281572,0.267796
0.224026,0.285887
0.194805,0.257330
0.139610,0.240057
0.224026,0.214381
0.298701,0.247019
0.256494,0.276578
0.288961,0.261939
0.220779,0.274785
0.214286,0.237549
0.165584,0.228954
0.198052,0.215378
0.299261,0.241993
0.171518,0.266885
0.308442,0.223866
0.402597,0.284129
0.120130,0.311121
0.116883,0.197639
0.172078,0.217760
0.172078,0.219760
0.155844,0.199636
0.094156,0.219176
0.133117,0.217554
0.055195,0.178884
0.032468,0.137210
0.032468,0.152075
0.019481,0.154481
0.048701,0.126535
0.025974,0.132610
0.006494,0.140208
0.055195,0.125099
0.084416,0.138260
0.142857,0.150597
0.181818,0.170555
0.266234,0.195391
0.214286,0.218835
0.081169,0.209343
0.025974,0.192381
0.000000,0.177731
0.009740,0.162238
0.029221,0.164625
0.071429,0.185365
0.042208,0.187056
0.029221,0.148553
0.025974,0.140349
0.058442,0.133255
0.071429,0.142037
0.048701,0.147910
0.038961,0.154361
0.077922,0.152566
0.240260,0.159766
0.181818,0.206096
0.152597,0.203678
0.074675,0.219403
0.097403,0.181470
0.077922,0.178911
0.149351,0.172356
0.152597,0.227634
0.227273,0.212871
0.152597,0.225417
0.246753,0.193573
0.191558,0.235514
0.227273,0.208157
0.126623,0.236010
0.162338,0.201521
0.214286,0.220000
0.191558,0.218920
0.246753,0.229466
0.311688,0.250705
0.327922,0.270725
0.272727,0.265483
0.207792,0.259109
0.155844,0.253495
0.185065,0.211993
0.207792,0.228155
0.243506,0.239818
0.198052,0.265859
0.129870,0.235643
0.275974,0.201861
0.256494,0.246435
0.224026,0.238734
0.230519,0.242724
0.201299,0.245928
0.233766,0.222548
0.409091,0.229675
0.201299,0.329280
0.288961,0.242821
0.139610,0.294505
0.159091,0.201917
0.272727,0.219675
0.272727,0.253876
0.240260,0.285721
