REAL,ESTIMATE
0.769481,0.454559
0.688312,0.657269
0.454545,0.547883
0.493506,0.434423
0.461039,0.421715
0.750000,0.489362
0.610390,0.694645
0.516234,0.518103
0.561688,0.521478
0.480519,0.505329
0.288961,0.522844
0.464286,0.382608
0.295455,0.449195
0.409091,0.359276
0.347403,0.425224
0.340909,0.399477
0.318182,0.410352
0.295455,0.339084
0.269481,0.358082
0.287338,0.315253
0.457792,0.371787
0.415584,0.409224
0.298701,0.393670
0.233766,0.341212
0.269481,0.299126
0.298701,0.307518
0.288961,0.330833
0.305195,0.309571
0.337662,0.319139
0.256494,0.328010
0.383117,0.284334
0.477273,0.345230
0.594156,0.382150
0.284091,0.453025
0.324675,0.292371
0.538961,0.377455
0.451299,0.469869
0.603896,0.456953
0.662338,0.547027
1.000000,0.604443
0.951299,0.798288
0.681818,0.754238
0.675325,0.671592
0.681818,0.594366
0.655844,0.604773
0.340909,0.589773
0.633117,0.439621
0.792208,0.611395
0.366883,0.529224
0.366883,0.379638
0.357143,0.343078
0.470779,0.380161
0.334416,0.441995
0.399351,0.382830
0.516234,0.424666
0.474026,0.481210
0.340909,0.451940
0.360390,0.379353
0.506494,0.398583
0.538961,0.476119
0.392857,0.437586
0.412338,0.390878
0.412338,0.439270
0.435065,0.431114
0.337662,0.441879
0.496753,0.384852
0.603896,0.469168
0.529221,0.503683
0.399351,0.489813
0.516234,0.422810
0.616883,0.511151
0.535714,0.535423
0.425325,0.514917
0.350649,0.365026
0.451299,0.397152
0.464286,0.472725
0.519481,0.476107
0.418831,0.418848
0.288961,0.426636
0.327922,0.327347
0.308442,0.385038
0.457792,0.391859
0.444805,0.449214
0.405844,0.402685
0.435065,0.411195
0.474026,0.422818
0.584416,0.470460
0.477273,0.498872
0.461039,0.459941
0.522727,0.457886
0.655844,0.480997
0.477273,0.538982
0.363636,0.469677
0.311688,0.441883
0.318182,0.385267
0.392857,0.385775
0.464286,0.431623
0.636364,0.451551
0.555195,0.530909
0.525974,0.464246
0.493506,0.478959
0.314935,0.467561
0.269481,0.391901
0.250000,0.354382
0.292208,0.364052
0.418831,0.389770
0.493506,0.414257
0.301948,0.441546
0.444805,0.308193
0.285714,0.383279
0.379870,0.317651
