E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
10,3,0.8,5,0.526109,0.440796,0.114965,0.135893
10,3,0.8,6,0.554711,0.410504,0.111442,0.139525
10,3,0.8,7,0.578761,0.368603,0.108390,0.144398
10,3,0.8,8,0.600449,0.375473,0.105563,0.143611
10,3,0.8,9,0.581305,0.286807,0.108063,0.153467
10,3,0.8,10,0.590304,0.358453,0.106895,0.145554
10,3,0.8,11,0.481415,0.317431,0.120264,0.150136
10,3,0.8,12,0.590255,0.297206,0.106901,0.152344
10,3,0.8,13,0.646613,0.323770,0.099278,0.149437
10,3,0.8,14,0.664056,0.085423,0.096797,0.173789
10,3,0.8,15,0.632816,0.255220,0.101197,0.156829
