REAL,ESTIMATE
0.587768,0.408746
0.333069,0.392427
0.325655,0.499276
0.397141,0.437975
0.316653,0.360563
0.142441,0.266212
0.129203,0.201382
0.284353,0.267846
0.502515,0.314474
0.216574,0.372828
0.161504,0.260426
0.167329,0.224432
0.243050,0.263036
0.259995,0.372535
0.341276,0.366715
0.406142,0.283653
0.271115,0.357972
0.465978,0.279757
0.580355,0.383876
0.569235,0.330981
0.201747,0.417398
0.397670,0.283315
0.400318,0.371717
0.402965,0.384771
0.577707,0.376869
0.500927,0.496658
0.634366,0.444336
0.924279,0.702791
0.800106,0.732297
0.794811,0.788999
0.557585,0.516925
0.553879,0.452088
0.244109,0.422982
0.635954,0.475691
0.737093,0.475551
0.146148,0.438796
0.236166,0.210427
0.225576,0.299576
0.413556,0.349653
0.232460,0.336699
0.347895,0.367898
0.487689,0.423516
0.583532,0.424869
0.156738,0.459969
0.397670,0.230090
0.438443,0.340556
0.412497,0.466631
0.452211,0.375488
0.332624,0.377387
0.572856,0.499989
0.365899,0.451449
0.252581,0.464798
0.506222,0.265467
0.393434,0.387472
0.471803,0.457399
0.455917,0.405625
0.671432,0.542444
0.796929,0.729044
0.516812,0.585699
0.550702,0.488334
0.262642,0.468476
0.792693,0.722909
0.872650,0.664288
0.822875,0.640841
0.628012,0.717500
0.220810,0.455166
0.277998,0.287766
0.150913,0.237401
0.368546,0.383965
0.537993,0.465631
0.622187,0.549471
0.610008,0.512237
0.551231,0.566096
0.698438,0.549948
0.524755,0.617403
0.705851,0.484779
0.520519,0.530422
0.515224,0.486392
0.607360,0.473184
0.375430,0.487003
0.194334,0.402891
0.126555,0.276906
0.350543,0.257505
0.476039,0.382899
0.567117,0.568854
0.529521,0.515460
0.778396,0.614731
0.644427,0.578394
0.149854,0.502750
0.138205,0.249187
0.110140,0.202306
0.268467,0.271435
0.251522,0.279350
0.282235,0.369270
0.175271,0.309519
0.250463,0.242339
0.057718,0.223919
0.180567,0.105288
0.229812,0.238029
0.171035,0.291777
0.359015,0.298584
0.459624,0.295002
0.047657,0.326683
0.098491,0.074709
0.248345,0.181248
0.240667,0.296311
0.263701,0.241706
0.448504,0.296975
0.533757,0.509715
0.413026,0.406403
0.536934,0.337624
0.438443,0.442603
0.235107,0.348372
0.469685,0.285121
0.389198,0.496832
0.373312,0.388343
0.152502,0.292300
0.238284,0.261274
0.221869,0.274664
0.329362,0.310236
0.349484,0.347207
0.576648,0.352618
0.475510,0.387009
0.226105,0.411659
0.509929,0.280142
