REAL,ESTIMATE
0.305533,0.144411
0.318242,0.244145
0.195393,0.247979
0.168917,0.148913
0.183214,0.166802
0.191687,0.194548
0.463860,0.196155
0.460154,0.418724
0.328303,0.417772
0.250993,0.234553
0.236696,0.249586
0.141912,0.265015
0.081546,0.183077
0.163092,0.176842
0.223458,0.231451
0.467567,0.231874
0.393434,0.344635
0.156738,0.315245
0.284882,0.178441
0.105904,0.282486
0.291236,0.192153
0.242521,0.271620
0.303415,0.298007
0.330950,0.261280
0.023828,0.257233
0.139264,0.123347
0.144030,0.218036
0.145089,0.205749
0.216044,0.178697
0.266349,0.243058
0.246227,0.244455
0.147207,0.163088
0.393963,0.160578
0.369076,0.332981
0.180567,0.340925
0.100344,0.242314
0.280116,0.220971
0.339952,0.244140
0.321419,0.256012
0.486630,0.259615
0.556262,0.329080
0.740800,0.360624
0.482923,0.707025
0.429971,0.435746
0.289118,0.422787
0.328303,0.364553
0.298120,0.326341
0.096373,0.255264
0.195393,0.282782
0.229812,0.258555
0.218163,0.235699
0.192746,0.220728
0.302356,0.294014
0.526873,0.317029
0.581943,0.352379
0.577178,0.401075
0.504104,0.570395
0.167329,0.343330
0.248875,0.260613
0.205454,0.311930
0.235637,0.247462
0.490866,0.280644
0.695261,0.439953
0.861530,1.327295
0.864707,0.824197
0.805401,0.738699
0.653429,0.623522
0.595711,0.490955
0.542229,0.622580
0.554408,0.760592
0.476039,0.631163
0.405083,0.498435
0.312417,0.293949
0.323537,0.221441
0.431559,0.298717
0.245168,0.371395
0.327773,0.325901
0.316124,0.515342
0.203866,0.605687
0.371194,0.186002
0.582473,0.292280
0.567117,0.515088
0.750860,0.783974
0.961610,0.730454
0.871062,0.686867
0.363781,0.486439
0.187450,0.397944
0.117554,0.580471
0.267408,0.445382
0.405083,0.537695
0.580355,0.571311
0.342070,0.544234
0.343659,0.355195
0.433678,0.303933
0.357956,0.408334
0.443738,0.365508
0.357691,0.404351
0.204395,0.425305
0.304474,0.226229
0.428912,0.270943
0.518401,0.384606
0.350543,0.482249
0.241461,0.340137
0.240402,0.336159
0.230342,0.293164
0.146677,0.458150
0.240932,0.433013
0.368017,0.346414
0.249934,0.335957
0.262642,0.222978
0.405613,0.278476
0.295473,0.399836
0.082605,0.301089
0.186391,0.192543
0.250463,0.237148
0.220810,0.241405
0.419910,0.165599
0.563410,0.356027
0.547524,0.432049
0.379666,0.492377
0.182155,0.371150
0.249404,0.266406
0.382844,0.272375
0.362722,0.344921
0.203336,0.362764
0.063542,0.269545
0.058924,0.177430
0.213310,0.171616
0.313311,0.246987
0.413313,0.297019
0.513314,0.369535
0.606970,0.403608
0.608419,0.416176
0.428912,0.432638
0.249404,0.384922
0.349484,0.320533
0.132910,0.200469
0.218163,0.224068
0.488218,0.271894
0.495102,0.585197
0.375430,0.624146
