E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
11,2,0.8,5,0.712290,0.578566,0.091011,0.113176
11,2,0.8,6,0.727098,0.499659,0.088638,0.123316
11,2,0.8,7,0.731359,0.511950,0.087943,0.121792
11,2,0.8,8,0.745094,0.510042,0.085665,0.122030
11,2,0.8,9,0.750650,0.481018,0.084727,0.125593
11,2,0.8,10,0.760541,0.455353,0.083029,0.128661
11,2,0.8,11,0.770307,0.401434,0.081319,0.134879
11,2,0.8,12,0.770973,0.451653,0.081201,0.129097
11,2,0.8,13,0.774250,0.493372,0.080618,0.124089
11,2,0.8,14,0.782796,0.496184,0.079077,0.123744
11,2,0.8,15,0.794947,0.492439,0.076833,0.124203
