REAL,ESTIMATE
0.633313,0.000000
0.395446,0.308928
0.517675,0.468190
0.826842,0.410820
0.736968,0.599206
0.596765,0.534919
0.617136,0.663356
0.436189,0.666277
0.412822,0.457613
0.288796,0.597190
0.591971,0.260755
0.638107,0.531910
0.484721,0.503138
0.231875,0.569498
0.254044,0.381152
0.462552,0.477037
0.301977,0.338222
0.417615,0.294168
0.617136,0.601376
0.574596,0.766529
0.557819,0.563342
0.372678,0.567821
0.451168,0.460600
0.449371,0.499065
0.333134,0.496482
0.481126,0.197501
0.439784,0.419646
0.428400,0.381447
0.445776,0.428044
0.394847,0.269100
0.381067,0.517940
0.339125,0.459245
0.442780,0.365981
0.400839,0.495973
0.361294,0.485623
0.452367,0.385946
0.431396,0.360901
0.388256,0.372296
0.325944,0.419762
0.500300,0.277800
0.397843,0.425727
0.495207,0.410471
0.168963,0.458429
0.346315,0.267037
0.439185,0.390090
0.515878,0.358398
0.337927,0.417578
0.372079,0.340905
0.452966,0.482184
0.359497,0.411789
0.221090,0.447375
0.342720,0.253580
0.548832,0.363051
0.316357,0.443942
0.203116,0.504520
0.201917,0.267075
0.194128,0.256386
0.304374,0.226215
0.375674,0.236892
0.313361,0.366903
0.230078,0.395685
0.186938,0.334117
0.208508,0.265879
0.194128,0.254017
0.239065,0.180043
0.211504,0.285867
0.230078,0.273363
0.357699,0.255739
0.346914,0.315153
0.329539,0.297790
0.327741,0.327466
0.249251,0.278019
0.261833,0.247491
0.319952,0.285708
0.331935,0.339523
0.168364,0.322447
0.287597,0.283857
0.220491,0.328512
0.215099,0.273995
0.231875,0.306234
0.154584,0.283927
0.046135,0.270140
0.126423,0.172906
0.199521,0.236614
0.091672,0.231489
0.135410,0.212628
0.297184,0.222648
0.284602,0.289446
0.328340,0.249962
0.153984,0.308952
0.091072,0.233367
0.034751,0.174805
0.184542,0.128527
0.152786,0.214265
0.065908,0.192270
0.096465,0.193518
0.000000,0.167044
0.123727,0.135963
0.221090,0.144164
0.108448,0.201319
0.087478,0.163392
0.090473,0.136203
0.139005,0.117482
0.152786,0.143474
0.147394,0.163047
0.171959,0.181663
0.285201,0.159225
0.237867,0.179476
0.068904,0.161545
0.032355,0.142510
0.113841,0.120602
0.026962,0.124965
0.081486,0.103120
0.189934,0.126189
0.143200,0.152588
0.171360,0.128926
0.146195,0.136902
0.012582,0.139003
0.005392,0.107905
0.008987,0.120072
0.006591,0.107473
0.213301,0.102311
0.197124,0.138976
0.064110,0.161556
0.014080,0.122810
0.133613,0.102905
0.254643,0.121235
0.186938,0.146618
0.037148,0.135588
0.027561,0.103060
0.011983,0.088924
0.017376,0.081098
0.019173,0.099506
0.038346,0.101227
0.142001,0.107036
0.208508,0.099564
0.131815,0.107815
0.248652,0.094911
0.185740,0.135786
0.037148,0.116372
0.017975,0.090550
0.084482,0.080656
