REAL,ESTIMATE
0.085081,0.141479
0.051528,0.105618
0.015578,0.092895
0.056920,0.109595
0.240863,0.120355
0.040743,0.130083
0.138406,0.103048
0.053325,0.138217
0.164769,0.112109
0.143200,0.130034
0.078490,0.119593
0.084482,0.122513
0.246255,0.108837
0.258838,0.146983
0.173757,0.126380
0.080887,0.139438
0.220491,0.115529
0.239065,0.161472
0.257639,0.130213
0.238466,0.170016
0.214500,0.155814
0.156681,0.180505
0.157579,0.117129
0.242061,0.174525
0.177951,0.158616
0.159976,0.216635
0.197124,0.162488
0.315159,0.198352
0.156980,0.194453
0.233673,0.197945
0.254643,0.228510
0.243259,0.214676
0.259437,0.200488
0.227082,0.245786
0.079988,0.253876
0.177352,0.175633
0.171360,0.225169
0.217496,0.213760
0.134212,0.249142
0.265428,0.201373
0.141402,0.268361
0.225285,0.176484
0.300779,0.229566
0.221690,0.238572
0.215099,0.247834
0.162972,0.194776
0.210905,0.221169
0.167765,0.201344
0.159377,0.236440
0.091672,0.213736
0.360695,0.199191
0.286399,0.256122
0.337927,0.247364
0.376273,0.252024
0.303775,0.285800
0.267071,0.233089
0.236823,0.229192
0.315758,0.310065
0.381067,0.282853
0.319353,0.359786
0.565608,0.355294
0.489515,0.381841
0.342720,0.344484
0.225285,0.357735
0.242061,0.300950
0.571001,0.374225
0.360695,0.374343
0.535650,0.443432
0.209706,0.390068
0.266627,0.271402
0.310965,0.297490
0.242061,0.321758
0.428400,0.420419
0.402037,0.469298
0.473337,0.424326
0.428999,0.424480
0.352307,0.396888
0.239065,0.322172
0.286399,0.326362
0.322948,0.257035
0.130617,0.239128
0.420012,0.283595
0.333134,0.352131
0.280407,0.276597
0.296585,0.288950
0.280407,0.360424
0.399041,0.282381
0.457160,0.389840
0.602157,0.436981
0.490713,0.467413
0.400839,0.414429
0.475135,0.366323
0.461354,0.447225
0.328340,0.417049
0.312762,0.367783
0.465548,0.408096
0.417016,0.477085
0.545237,0.494659
0.405632,0.442037
0.488316,0.474935
0.535051,0.576984
0.406830,0.434146
0.400839,0.460696
0.503895,0.456290
0.437388,0.419125
0.553026,0.368605
0.514679,0.514047
0.408628,0.414647
0.392451,0.506453
0.677651,0.450410
0.649491,0.580308
0.732175,0.588909
0.847813,0.673273
0.547034,0.727142
0.352307,0.560947
0.436788,0.420833
0.526064,0.494730
0.333134,0.425407
0.375674,0.386198
0.419413,0.421297
0.399041,0.378799
0.424805,0.431950
0.420611,0.399000
0.504494,0.449797
0.523667,0.665554
0.852606,0.762918
1.000000,0.780940
0.780707,0.689967
0.449970,0.680618
0.698622,0.509708
0.692031,0.606663
0.235470,0.432902
0.382864,0.493123
0.579988,0.509405
0.492510,0.476188
0.472139,0.414239
