E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
10,5,0.8,5,0.610358,0.350070,0.035976,0.027314
10,5,0.8,6,0.634219,0.410670,0.034857,0.026010
10,5,0.8,7,0.610168,-0.060096,0.035985,0.034884
10,5,0.8,8,0.535414,0.350953,0.039283,0.027296
10,5,0.8,9,0.534480,0.283388,0.039323,0.028681
10,5,0.8,10,0.616434,-0.071154,0.035694,0.035065
10,5,0.8,11,0.784145,0.459221,0.026777,0.024915
10,5,0.8,12,0.526791,0.388575,0.039646,0.026493
10,5,0.8,13,0.810200,0.393569,0.025109,0.026384
10,5,0.8,14,0.775590,-0.071947,0.027302,0.035078
10,5,0.8,15,0.768123,-0.046293,0.027753,0.034656
