REAL,ESTIMATE
0.036783,0.076729
0.029126,0.046580
0.057893,0.042777
0.061257,0.047490
0.046014,0.053573
0.044631,0.051981
0.045961,0.045654
0.036072,0.041604
0.003006,0.038884
0.007657,0.029036
0.024474,0.036846
0.032847,0.038207
0.040218,0.043174
0.044797,0.049376
0.045728,0.051868
0.031702,0.058122
0.032274,0.036677
0.031630,0.039169
0.042794,0.043682
0.044010,0.043869
0.012953,0.040422
0.010305,0.027705
0.011235,0.024522
0.015099,0.020460
0.034350,0.021538
0.051524,0.041242
0.023544,0.048833
0.022184,0.033196
0.041863,0.037292
0.030056,0.052193
0.013382,0.047966
0.009875,0.029675
0.017461,0.024617
0.036353,0.031530
0.066051,0.044320
0.067196,0.057351
0.054530,0.056189
0.055746,0.046350
0.047374,0.047148
0.048733,0.042903
0.069629,0.053948
0.037999,0.062623
0.036067,0.044251
0.020395,0.040739
0.015099,0.036179
0.015099,0.032828
0.028625,0.026484
0.049664,0.034230
0.029340,0.048566
0.032918,0.041784
0.036997,0.045823
0.056319,0.046417
0.069415,0.053300
0.032990,0.058143
0.028267,0.036717
0.019178,0.032820
0.020824,0.032798
0.037570,0.030524
0.070059,0.039929
0.094604,0.055243
0.110777,0.068445
0.089166,0.076815
0.116717,0.070335
0.148919,0.087632
0.147918,0.106028
0.172320,0.106616
0.116073,0.117288
0.066481,0.082118
0.048447,0.060079
0.037355,0.051151
0.040432,0.049164
0.041863,0.055767
0.035494,0.048994
0.028481,0.044449
0.031129,0.039378
0.036639,0.036858
0.054530,0.039736
0.071919,0.052419
0.112280,0.066059
0.146021,0.086739
0.130743,0.098666
0.071776,0.102585
0.009303,0.069113
0.000358,0.030337
0.014026,0.023890
0.070703,0.030544
0.058323,0.054448
0.014885,0.052844
0.015386,0.028655
0.012810,0.035445
0.024116,0.034938
0.038214,0.044191
0.023114,0.047990
0.010019,0.036442
0.015815,0.040529
0.050737,0.047704
0.073995,0.063189
0.040218,0.071061
0.006727,0.043690
0.034278,0.019420
0.012022,0.030441
0.049306,0.026017
0.050952,0.047039
0.065121,0.051367
0.062974,0.064131
0.065049,0.070274
0.074710,0.079303
0.082153,0.084681
0.023114,0.075218
0.044368,0.044342
0.041506,0.058306
0.041935,0.061940
0.072134,0.055424
0.087162,0.064802
0.109346,0.076409
0.074138,0.092410
0.048876,0.068456
0.035709,0.048767
0.058609,0.038435
0.067840,0.049252
0.083226,0.057919
0.032775,0.073448
0.016602,0.041608
0.052741,0.037749
0.084586,0.054608
0.083154,0.075868
0.076356,0.077674
0.095535,0.062079
0.097180,0.076924
0.151782,0.077933
0.034206,0.104720
0.107628,0.047488
0.034421,0.080068
0.025691,0.038751
0.070416,0.040118
0.086232,0.067993
0.088736,0.078560
