REAL,ESTIMATE
0.089595,0.073204
0.127451,0.095007
0.025225,0.048248
0.042007,0.054148
0.100043,0.053654
0.098755,0.097146
0.151567,0.101454
0.179619,0.119304
0.273150,0.270802
0.282024,0.277085
0.228281,0.246100
0.202519,0.191258
0.197223,0.187671
0.149277,0.162223
0.043438,0.087916
0.095320,0.068108
0.141549,0.098975
0.054745,0.081687
0.045871,0.053557
0.039717,0.050149
0.065693,0.048362
0.055890,0.065882
0.056319,0.056471
0.079075,0.061279
0.058895,0.078402
0.073279,0.072852
0.098540,0.079473
0.158151,0.094617
0.169458,0.137875
0.103263,0.139893
0.170683,0.102741
0.251243,0.145576
0.104766,0.177050
0.044010,0.110802
0.092100,0.081924
0.133534,0.110185
0.086518,0.127019
0.086804,0.100330
0.105768,0.091108
0.131602,0.097846
0.184342,0.110644
0.082439,0.135800
0.054673,0.083268
0.106841,0.068801
0.115786,0.103487
0.099685,0.101366
0.084335,0.091178
0.026549,0.091605
0.060827,0.041988
0.055389,0.068242
0.101474,0.067751
0.073708,0.092737
0.102261,0.085900
0.095892,0.113883
0.103120,0.109455
0.118935,0.108624
0.119293,0.121342
0.112495,0.127072
0.116717,0.117595
0.245885,0.111616
0.147631,0.156848
0.108308,0.130897
0.076499,0.108303
0.060756,0.077129
0.092314,0.066709
0.098469,0.076463
0.143481,0.101531
0.196651,0.114912
0.103836,0.147963
0.086088,0.101679
0.030127,0.079794
0.009231,0.047619
0.014169,0.035894
0.038285,0.039185
0.081723,0.059215
0.129634,0.086133
0.037784,0.117403
0.056462,0.058079
0.050165,0.044689
0.056963,0.050216
0.067196,0.068478
0.049306,0.086273
0.063332,0.066167
0.055818,0.080451
0.041935,0.065466
0.063547,0.073954
0.157221,0.078819
0.131387,0.120262
0.077072,0.116146
0.086375,0.074929
0.102762,0.092026
0.083798,0.098378
0.092529,0.093617
0.119436,0.099607
0.091742,0.086590
0.076070,0.094271
0.127737,0.076889
0.104480,0.109078
0.071561,0.098971
0.129168,0.073884
0.272148,0.123806
0.308215,0.315475
0.214434,0.208777
0.117862,0.147631
0.190854,0.101759
