REAL,ESTIMATE
0.190332,0.139418
0.178248,0.147738
0.129909,0.144631
0.181269,0.126325
0.271903,0.161839
0.135952,0.219205
0.072508,0.139792
0.093656,0.106408
0.166163,0.100842
0.353474,0.175785
0.196375,0.288858
0.226586,0.188649
0.163142,0.208040
0.072508,0.154944
0.072508,0.146234
0.126888,0.129025
0.259819,0.152454
0.208459,0.196618
0.175227,0.194010
0.141994,0.180275
0.087613,0.184050
0.072508,0.127150
0.105740,0.095466
0.120846,0.118528
0.145015,0.141587
0.123867,0.132980
0.072508,0.126827
0.072508,0.116680
0.072508,0.096039
0.075529,0.079129
0.114804,0.078552
0.141994,0.105336
0.102719,0.114556
0.126888,0.098183
0.199396,0.114310
0.108761,0.157631
0.072508,0.105456
0.078550,0.080889
0.102719,0.083026
0.141994,0.116852
0.220544,0.123539
0.166163,0.179394
0.166163,0.141685
0.178248,0.148063
0.151057,0.148734
0.175227,0.161854
0.169184,0.156043
0.114804,0.139118
0.126888,0.122175
0.102719,0.143865
0.075529,0.125666
0.084592,0.118149
0.135952,0.100364
0.193353,0.118145
0.154079,0.156185
0.145015,0.133485
0.175227,0.128488
0.145015,0.151149
0.163142,0.137047
0.163142,0.142728
0.154079,0.148637
0.132931,0.143836
0.117825,0.130698
0.229607,0.133680
0.244713,0.208191
0.350453,0.206071
0.265861,0.275949
0.214502,0.224680
0.223565,0.221256
0.293051,0.212260
0.323263,0.290414
0.259819,0.295298
0.169184,0.259333
0.229607,0.192535
0.166163,0.271204
0.138973,0.226311
0.163142,0.208914
0.120846,0.190380
0.178248,0.151361
0.166163,0.183829
0.145015,0.192460
0.184290,0.173056
0.205438,0.169913
0.314199,0.175207
0.350453,0.256573
0.483384,0.289987
0.317221,0.393363
0.145015,0.283373
0.072508,0.225096
0.072508,0.154431
0.081571,0.187846
0.138973,0.147368
0.145015,0.205296
0.123867,0.187812
0.105740,0.182408
0.123867,0.148114
0.205438,0.157425
0.154079,0.177689
0.145015,0.165742
0.081571,0.157587
0.111782,0.150387
0.178248,0.147440
0.241692,0.158781
0.169184,0.210570
0.108761,0.139054
0.132931,0.116717
0.087613,0.133371
0.214502,0.130737
0.208459,0.186653
0.308157,0.165308
0.205438,0.246123
0.287009,0.175022
0.262840,0.273534
0.247734,0.240205
0.172205,0.241353
0.199396,0.152696
0.253776,0.216252
0.259819,0.246536
0.217523,0.289040
0.290030,0.245175
0.329305,0.305445
0.232628,0.293846
0.214502,0.232184
0.160121,0.233696
0.241692,0.200206
0.214502,0.236486
0.247734,0.222436
0.244713,0.271519
0.145015,0.247652
0.271903,0.179829
0.332326,0.251885
0.268882,0.313503
0.244713,0.248870
0.250755,0.218706
0.250755,0.249066
0.429003,0.265269
0.220544,0.389261
0.299094,0.231892
0.190332,0.299061
0.166163,0.203956
0.320242,0.228547
0.250755,0.329337
0.290030,0.272639
