REAL,ESTIMATE
0.770393,0.355591
0.432024,0.506999
0.314199,0.343369
0.404834,0.265491
0.329305,0.304152
0.664653,0.329177
0.471299,0.470463
0.450151,0.361913
0.341390,0.335146
0.208459,0.287371
0.132931,0.298388
0.314199,0.222708
0.160121,0.298249
0.232628,0.198281
0.238671,0.260863
0.123867,0.284009
0.084592,0.211451
0.078550,0.176969
0.087613,0.170663
0.129909,0.151060
0.277946,0.204655
0.208459,0.250706
0.087613,0.220484
0.015106,0.141011
0.054381,0.084142
0.087613,0.112631
0.084592,0.115623
0.090634,0.098282
0.105740,0.106415
0.072508,0.122794
0.154079,0.096258
0.359517,0.157155
0.422961,0.268456
0.114804,0.291588
0.108761,0.117702
0.323263,0.159172
0.323263,0.302582
0.441088,0.303079
0.504532,0.357064
1.000000,0.410579
0.661631,0.570510
0.486405,0.468436
0.477341,0.286460
0.386707,0.357058
0.383686,0.295658
0.102719,0.337268
0.438066,0.234003
0.601208,0.399039
0.151057,0.310407
0.178248,0.222550
0.148036,0.148293
0.259819,0.214115
0.154079,0.175453
0.175227,0.206498
0.347432,0.220989
0.217523,0.296129
0.102719,0.257405
0.166163,0.190328
0.353474,0.242496
0.392749,0.302673
0.187311,0.274303
0.147257,0.214547
0.411656,0.233753
0.238671,0.361133
0.154079,0.241157
0.489426,0.220837
0.613293,0.410232
0.447130,0.470820
0.365559,0.366280
0.302115,0.341926
0.613293,0.606049
0.495468,0.433053
0.250755,0.409379
0.120846,0.292962
0.320242,0.251553
0.287009,0.316169
0.465257,0.302149
0.350453,0.361116
0.120846,0.291679
0.196375,0.185058
0.157100,0.240903
0.386707,0.244422
0.365559,0.346052
0.199396,0.296712
0.226586,0.220092
0.277946,0.268596
0.259819,0.310460
0.277946,0.265467
0.359517,0.269993
0.353474,0.307059
0.567976,0.316079
0.368580,0.481576
0.220544,0.348214
0.157100,0.285316
0.217523,0.211054
0.407855,0.279129
0.456193,0.375347
0.703927,0.401236
0.586103,0.479611
0.368580,0.407361
0.362538,0.312295
0.167674,0.292481
0.111782,0.270723
0.102719,0.217614
0.169184,0.235341
0.398792,0.282891
0.519637,0.356018
0.226586,0.388411
0.353474,0.215048
0.208459,0.260623
0.380665,0.212215
0.383686,0.303539
0.193353,0.356646
0.419940,0.277627
0.229607,0.381353
0.172205,0.275423
0.395770,0.281487
0.836858,0.339631
0.678248,0.529944
0.217523,0.401778
0.398792,0.260575
0.558912,0.320997
0.356495,0.407630
0.413897,0.359882
0.202417,0.294526
0.145015,0.300400
0.268882,0.227953
0.356495,0.296365
0.277946,0.284886
0.196375,0.256537
0.190332,0.185038
0.453172,0.211108
0.356495,0.337716
0.432024,0.329769
0.389728,0.306237
0.416918,0.339619
0.277946,0.366440
0.157100,0.317500
0.096677,0.276070
0.069486,0.202776
0.072508,0.184913
0.081571,0.151584
0.223565,0.179170
0.160121,0.207100
0.141994,0.183758
0.096677,0.169949
0.072508,0.163270
0.072508,0.133508
0.111782,0.119684
0.256798,0.137438
0.193353,0.230297
0.247734,0.176545
0.374622,0.210969
0.175227,0.298050
0.175227,0.180064
0.111782,0.171962
0.078550,0.135573
0.072508,0.139926
0.081571,0.112769
0.151057,0.133244
0.256798,0.170319
0.223565,0.230149
0.123867,0.183263
0.181269,0.161408
0.220544,0.169069
0.345921,0.184536
0.305136,0.289933
0.329305,0.272771
0.084592,0.292661
0.099698,0.139024
0.280967,0.177042
0.117825,0.118005
0.157100,0.178123
0.226586,0.226611
0.148036,0.209852
0.132931,0.187822
0.389728,0.179518
0.365559,0.365455
0.268882,0.286684
0.259819,0.237564
0.235650,0.238774
0.326284,0.293276
0.208459,0.327333
0.202417,0.217806
0.259819,0.240729
0.229607,0.229739
0.401813,0.239451
0.184290,0.347740
0.145015,0.165483
0.081571,0.188353
0.075529,0.139981
0.141994,0.178970
0.223565,0.178983
0.154079,0.168219
0.184290,0.155889
0.132931,0.199507
0.205438,0.156720
0.072508,0.212477
0.072508,0.103562
0.072508,0.114816
0.078550,0.090494
0.241692,0.129908
0.163142,0.205200
0.181269,0.169320
0.081571,0.159185
0.072508,0.099200
0.072508,0.105470
0.111782,0.106645
0.244713,0.123794
0.226586,0.186275
0.090634,0.196436
0.154079,0.116287
0.208459,0.166930
0.084592,0.189896
0.072508,0.107590
0.096677,0.098761
0.217523,0.112802
0.093656,0.196906
0.256798,0.116662
0.280967,0.232250
0.212991,0.227060
0.087613,0.087505
0.072508,0.108486
0.072508,0.146312
0.104230,0.106590
0.099698,0.119691
0.114804,0.123290
0.196375,0.138192
0.123867,0.167775
0.081571,0.132057
0.072508,0.127799
0.132931,0.102535
