E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
11,2,0.8,5,0.497531,0.462726,0.106574,0.128331
11,2,0.8,6,0.530760,0.474970,0.102990,0.126861
11,2,0.8,7,0.511696,0.474233,0.105062,0.126950
11,2,0.8,8,0.557212,0.383160,0.100045,0.137506
11,2,0.8,9,0.568634,0.406740,0.098746,0.134852
11,2,0.8,10,0.581281,0.432622,0.097288,0.131878
11,2,0.8,11,0.599431,0.417003,0.095156,0.133680
11,2,0.8,12,0.597999,0.446161,0.095326,0.130295
11,2,0.8,13,0.597881,0.429196,0.095340,0.132275
11,2,0.8,14,0.620752,0.432082,0.092589,0.131940
11,2,0.8,15,0.651764,0.229058,0.088723,0.153725
