REAL,ESTIMATE
0.140960,0.181658
0.221080,0.163268
0.250214,0.204775
0.157669,0.212957
0.132819,0.176681
0.116110,0.169452
0.117823,0.149475
0.277207,0.150266
0.287489,0.228848
0.190231,0.231308
0.166667,0.188383
0.150814,0.175666
0.054841,0.159166
0.069837,0.099041
0.127678,0.138119
0.144387,0.168788
0.291774,0.152658
0.267352,0.227958
0.142674,0.213136
0.143530,0.154818
0.052271,0.167247
0.185518,0.123469
0.151671,0.166976
0.170523,0.170568
0.168809,0.182980
0.029991,0.169154
0.094259,0.106262
0.105398,0.129659
0.095544,0.141024
0.158955,0.156079
0.162382,0.176410
0.153385,0.162349
0.122108,0.140379
0.257926,0.142726
0.206512,0.199815
0.119109,0.188271
0.062125,0.162691
0.165810,0.147906
0.192374,0.167292
0.211654,0.172648
0.281919,0.209294
0.251500,0.223762
0.447301,0.230656
0.287489,0.329337
0.251500,0.232565
0.170523,0.232367
0.202228,0.191723
0.178663,0.223032
0.056984,0.182679
0.144816,0.159984
0.140103,0.172902
0.140531,0.169554
0.118252,0.164857
0.193659,0.133573
0.305484,0.173500
0.285347,0.227743
0.317052,0.229014
0.292202,0.222863
0.100686,0.260034
0.151243,0.142262
0.128106,0.178799
0.113539,0.167792
0.279349,0.164824
0.392031,0.261788
0.378478,0.308368
0.351385,0.367220
0.581834,0.346103
0.410454,0.395304
0.465296,0.364628
0.354756,0.327330
0.345758,0.309849
0.304199,0.304792
0.328192,0.317996
0.179092,0.329756
0.228363,0.238629
0.337189,0.290692
0.092331,0.350383
0.147815,0.149414
0.229220,0.172743
0.088260,0.201631
0.245501,0.072951
0.553556,0.193392
0.574979,0.375688
0.629392,0.450787
0.944730,0.448598
0.815338,0.497850
0.250643,0.509944
0.140103,0.303090
0.106684,0.288597
0.199229,0.309736
0.355613,0.334630
0.490146,0.352471
0.280634,0.388170
0.210368,0.302896
0.351757,0.276570
0.290917,0.302044
0.365895,0.267270
0.267781,0.322236
0.064267,0.291529
0.295630,0.147997
0.398886,0.256127
0.445587,0.317347
0.336332,0.388253
0.176949,0.322386
0.203513,0.277209
0.194516,0.310030
0.133248,0.260956
0.206512,0.171498
0.442588,0.215178
0.344045,0.334119
0.372751,0.466103
0.571123,0.356083
0.435304,0.475654
0.155099,0.392357
0.250643,0.212543
0.381748,0.327907
0.357326,0.371239
0.584833,0.324389
0.771208,0.413062
0.727721,0.470404
0.471294,0.516275
0.250643,0.402652
0.334190,0.321225
0.491859,0.394217
0.460583,0.512500
0.340617,0.420944
0.133676,0.329681
0.146530,0.225908
0.532348,0.222462
0.638389,0.473152
0.690660,0.536077
0.486718,0.504818
0.533847,0.420985
0.624679,0.468653
0.397172,0.454637
0.260497,0.370022
0.375321,0.347827
0.161525,0.368156
0.217652,0.283950
0.568552,0.338605
0.587404,0.477425
0.481148,0.529705
