REAL,ESTIMATE
0.456727,0.320281
0.585261,0.391095
0.582691,0.473050
0.416452,0.523291
0.182948,0.363681
0.491003,0.275185
0.293059,0.487404
0.522279,0.385179
0.311482,0.430358
0.224507,0.297353
0.244216,0.292928
0.305913,0.253375
0.069409,0.285440
0.080120,0.129028
0.203513,0.232097
0.416881,0.251319
0.047558,0.406655
0.083976,0.072887
0.111825,0.163559
0.154242,0.139725
0.159811,0.155408
0.216795,0.195471
0.332905,0.293893
0.140960,0.283790
0.297772,0.201065
0.449015,0.238639
0.379177,0.341274
0.113111,0.307024
0.273779,0.225337
0.270351,0.263099
0.265638,0.240063
0.425450,0.264337
0.400600,0.328697
0.482862,0.344347
0.662811,0.606475
0.625964,0.472390
0.599829,0.466775
0.437446,0.397790
0.469152,0.357725
0.148243,0.391255
0.418166,0.407420
0.590831,0.415080
0.089546,0.469168
0.151243,0.244512
0.150386,0.251931
0.307198,0.207532
0.170951,0.299037
0.266495,0.227371
0.407455,0.286440
0.467438,0.330672
0.091260,0.383460
0.255356,0.214478
0.308055,0.276211
0.309340,0.337938
0.341045,0.348334
0.295201,0.332197
0.403599,0.315467
0.212939,0.362596
0.131962,0.248573
0.372751,0.216844
0.350471,0.329386
0.374679,0.375814
0.346187,0.383686
0.475150,0.283281
0.655955,0.532034
0.323479,0.490838
0.276778,0.317304
0.164096,0.286357
0.517995,0.325157
0.555698,0.546402
0.504284,0.512291
0.372751,0.375805
0.115681,0.351112
0.185090,0.230072
0.089546,0.223064
0.292631,0.271076
0.405313,0.324564
0.446872,0.376491
0.427164,0.359783
0.421594,0.355019
0.485433,0.394677
0.359040,0.400707
0.518423,0.386653
0.464439,0.411029
0.496572,0.469412
0.511997,0.419450
0.300343,0.411778
0.170523,0.319396
0.134961,0.244881
0.274636,0.294707
0.350471,0.400433
0.469794,0.366793
0.406170,0.413059
0.604113,0.323418
0.503856,0.485365
0.120823,0.380810
0.073693,0.205101
0.058269,0.188575
0.168380,0.225069
0.285347,0.218797
0.281063,0.274752
0.132391,0.286400
0.234362,0.198867
0.053128,0.271173
0.157669,0.096843
0.176949,0.172889
0.160240,0.224061
0.294344,0.189933
0.295630,0.228245
0.077121,0.224633
0.124679,0.140767
0.232219,0.173725
0.210368,0.243384
0.186375,0.219645
0.305056,0.225981
0.338903,0.274893
0.296915,0.272406
0.407027,0.333830
0.299486,0.304421
0.199229,0.300345
0.377892,0.231391
0.348757,0.350280
0.311482,0.278506
0.129392,0.334043
0.187661,0.206204
0.181234,0.226388
0.263068,0.246703
0.311482,0.290678
0.439160,0.273037
0.419452,0.384256
0.197087,0.374374
