E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
11,2,0.8,5,0.659543,0.517600,0.084157,0.089072
11,2,0.8,6,0.677514,0.523047,0.081906,0.088568
11,2,0.8,7,0.687139,0.533885,0.080674,0.087555
11,2,0.8,8,0.704507,0.511497,0.078403,0.089633
11,2,0.8,9,0.712536,0.503071,0.077330,0.090403
11,2,0.8,10,0.716802,0.504112,0.076754,0.090308
11,2,0.8,11,0.723537,0.514411,0.075836,0.089366
11,2,0.8,12,0.728455,0.547326,0.075159,0.086284
11,2,0.8,13,0.744030,0.532536,0.072971,0.087682
11,2,0.8,14,0.744104,0.522127,0.072961,0.088653
11,2,0.8,15,0.757819,0.520438,0.070979,0.088809
