REAL,ESTIMATE
0.084522,0.133477
0.032752,0.106035
0.010565,0.100916
0.057052,0.104095
0.194400,0.109943
0.020602,0.118976
0.114105,0.097048
0.025885,0.122889
0.126783,0.100285
0.147385,0.123583
0.152139,0.106038
0.059694,0.133605
0.239303,0.110055
0.249868,0.151815
0.168516,0.121291
0.059165,0.138551
0.219229,0.106909
0.256735,0.175781
0.256207,0.124071
0.247755,0.187647
0.224511,0.156555
0.173270,0.195230
0.123613,0.142357
0.266772,0.174311
0.180666,0.172515
0.136292,0.200412
0.223455,0.179715
0.318014,0.213644
0.166931,0.202371
0.243529,0.201783
0.267565,0.244340
0.253566,0.244657
0.249868,0.228565
0.234548,0.248173
0.133650,0.248417
0.188590,0.194169
0.172213,0.221497
0.210248,0.206213
0.123085,0.237952
0.267829,0.190974
0.176968,0.254398
0.213946,0.194584
0.333333,0.241327
0.273640,0.260240
0.283148,0.276290
0.193344,0.258425
0.264659,0.237208
0.191759,0.253376
0.156894,0.234229
0.104596,0.212314
0.413101,0.196386
0.362916,0.295970
0.371368,0.298436
0.412044,0.311493
0.318542,0.342106
0.282092,0.291434
0.141046,0.276706
0.253038,0.247118
0.303222,0.270727
0.222927,0.263183
0.397253,0.241724
0.354464,0.339929
0.259377,0.287557
0.164818,0.263987
0.131801,0.239831
0.458531,0.230856
0.366614,0.361402
0.395668,0.306711
0.157950,0.374024
0.184363,0.232570
0.240887,0.244751
0.239831,0.295682
0.338088,0.291914
0.302694,0.336385
0.356577,0.259496
0.316429,0.305153
0.251981,0.298965
0.186476,0.276955
0.236661,0.240596
0.244057,0.263507
0.145272,0.266071
0.385103,0.215345
0.282092,0.369350
0.165874,0.249556
0.191231,0.238004
0.267829,0.246617
0.357105,0.334712
0.405705,0.354276
0.492868,0.362454
0.424723,0.420076
0.380349,0.351409
0.421553,0.349646
0.447966,0.395123
0.333862,0.405324
0.318014,0.340792
0.427892,0.332888
0.391970,0.364032
0.447966,0.333600
0.310090,0.400368
0.248283,0.332208
0.262546,0.313604
0.194929,0.295510
0.152139,0.229018
0.199683,0.210593
0.150555,0.237352
0.152139,0.191310
0.217116,0.193974
0.359218,0.273701
0.462758,0.433417
0.608558,0.597521
0.594295,0.609801
0.713682,0.577881
0.822504,0.582885
0.534601,0.594940
0.370840,0.446028
0.514527,0.370018
0.661120,0.423727
0.304807,0.422593
0.418384,0.364115
0.418912,0.434202
0.385103,0.410676
0.387216,0.412286
0.397781,0.480720
0.488114,0.480093
0.540412,0.513349
0.884839,0.612876
1.000000,0.784088
0.748019,0.707714
0.473851,0.698001
0.696249,0.560564
0.686741,0.502448
0.317485,0.428131
0.437929,0.390800
0.614897,0.469686
0.534601,0.452347
0.478605,0.437979
0.397781,0.498867
0.509773,0.407065
0.331220,0.552970
0.411516,0.422319
0.276809,0.331992
0.319599,0.354700
0.452721,0.445481
0.573693,0.490582
0.627047,0.446551
0.371896,0.491690
0.555732,0.465527
0.658214,0.555480
0.471210,0.522932
0.484416,0.456319
0.473323,0.512201
0.451664,0.424200
0.316429,0.432573
0.381405,0.364826
0.453249,0.339189
0.480190,0.411344
0.395668,0.472322
0.679345,0.650297
0.615425,0.549478
0.461437,0.512148
0.663497,0.528575
0.619123,0.663682
0.444268,0.506394
0.547279,0.477279
0.348653,0.501874
0.383518,0.329200
