REAL,ESTIMATE
0.460116,0.341939
0.290016,0.360730
0.365557,0.306211
0.580560,0.320940
0.518753,0.440964
0.435816,0.415194
0.456418,0.459726
0.311675,0.449199
0.292657,0.319468
0.238774,0.324083
0.438986,0.277173
0.460116,0.387697
0.433703,0.330498
0.211305,0.431760
0.217644,0.297137
0.365029,0.288330
0.260961,0.284971
0.325409,0.270829
0.423138,0.397305
0.463814,0.405621
0.456947,0.398543
0.281564,0.421618
0.351294,0.339545
0.364501,0.375411
0.296355,0.338467
0.393027,0.303969
0.363973,0.378144
0.348653,0.332737
0.373745,0.333851
0.302166,0.352085
0.302694,0.362930
0.277866,0.330193
0.329635,0.252543
0.309562,0.311760
0.310618,0.314169
0.362388,0.298931
0.381405,0.346547
0.334390,0.356545
0.280507,0.363198
0.344955,0.317463
0.301638,0.350338
0.472266,0.312884
0.157950,0.424293
0.286846,0.213096
0.380349,0.324072
0.398310,0.361662
0.287375,0.380527
0.328051,0.323168
0.403064,0.340024
0.283148,0.406102
0.201796,0.270718
0.292129,0.274184
0.444268,0.311368
0.260433,0.388270
0.191231,0.271647
0.250660,0.272021
0.198627,0.299341
0.267829,0.208751
0.303751,0.273945
0.266772,0.334616
0.204437,0.326120
0.201268,0.196288
0.222927,0.258730
0.183307,0.292303
0.215549,0.245393
0.413876,0.232017
0.197570,0.472397
0.339672,0.244202
0.294242,0.339943
0.286318,0.332898
0.282092,0.305243
0.222610,0.279748
0.168304,0.260868
0.249340,0.224357
0.287375,0.243537
0.132066,0.264912
0.236133,0.204252
0.198098,0.245346
0.148442,0.217677
0.184892,0.202877
0.130322,0.225251
0.039418,0.192872
0.102051,0.137898
0.207079,0.161835
0.103539,0.242173
0.154253,0.165024
0.323560,0.209421
0.271527,0.278275
0.278394,0.292888
0.151083,0.263372
0.062863,0.204463
0.040148,0.167755
0.183307,0.142481
0.187533,0.186888
0.050977,0.175308
0.080824,0.150996
0.034337,0.151401
0.114897,0.122863
0.230322,0.145698
0.094383,0.176529
0.097112,0.149188
0.103539,0.146560
0.133122,0.132957
0.149498,0.146688
0.123613,0.158021
0.153196,0.158048
0.240887,0.155778
0.211305,0.179218
0.061807,0.168611
0.052650,0.141676
0.100546,0.137323
0.039091,0.130111
0.066033,0.113535
0.153196,0.127542
0.141046,0.142627
0.151083,0.135520
0.113312,0.141246
0.003869,0.134710
0.000057,0.114915
0.021430,0.118827
0.068674,0.112049
0.237190,0.112598
0.229266,0.146098
0.087163,0.154551
0.072900,0.129952
0.141574,0.120941
0.260433,0.130165
0.204966,0.163360
0.038827,0.156621
0.021659,0.125691
0.024828,0.111862
0.044374,0.102680
0.039620,0.105281
0.060750,0.108386
0.181722,0.119216
0.217644,0.131355
0.146857,0.134349
0.241944,0.130406
0.203909,0.160691
0.044374,0.153454
0.019546,0.126869
0.077126,0.116749
