E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
10,4,0.8,5,0.580139,0.392750,0.035980,0.026744
10,4,0.8,6,0.643811,0.314030,0.033140,0.028425
10,4,0.8,7,0.583250,0.423193,0.035847,0.026065
10,4,0.8,8,0.640641,0.445221,0.033287,0.025563
10,4,0.8,9,0.659238,0.441042,0.032414,0.025659
10,4,0.8,10,0.698531,0.398475,0.030488,0.026618
10,4,0.8,11,0.787603,0.416764,0.025591,0.026210
10,4,0.8,12,0.749490,0.425436,0.027792,0.026014
10,4,0.8,13,0.629462,0.274237,0.033801,0.029238
10,4,0.8,14,0.803613,0.385922,0.024607,0.026894
10,4,0.8,15,0.750786,0.355219,0.027720,0.027558
