REAL,ESTIMATE
0.014227,0.067008
0.008140,0.058349
0.027322,0.051302
0.040275,0.062045
0.020739,0.067357
0.023853,0.042780
0.034329,0.041653
0.018899,0.052497
0.038930,0.060351
0.084796,0.052170
0.112755,0.068211
0.025764,0.086469
0.041973,0.049250
0.094847,0.057411
0.097820,0.077806
0.150977,0.084979
0.172707,0.106017
0.260900,0.138477
0.275446,0.239961
0.200382,0.247255
0.184102,0.184665
0.184032,0.175392
0.145527,0.129347
0.047636,0.111532
0.088477,0.063975
0.132220,0.078475
0.058465,0.087882
0.050326,0.065063
0.045088,0.049045
0.061226,0.062538
0.056200,0.081977
0.057050,0.066352
0.071985,0.060260
0.052307,0.074136
0.065119,0.066555
0.095555,0.066716
0.146588,0.070339
0.160674,0.097463
0.096758,0.106728
0.207390,0.073977
0.203638,0.187247
0.110348,0.134835
0.046645,0.073481
0.091379,0.066766
0.126062,0.080268
0.081682,0.109984
0.088335,0.084501
0.103129,0.090535
0.132007,0.089813
0.179077,0.116307
0.079134,0.133217
0.058678,0.059212
0.105464,0.065151
0.114595,0.098467
0.096829,0.080173
0.090813,0.079739
0.027392,0.082241
0.062358,0.065968
0.061014,0.076096
0.105464,0.069981
0.074250,0.103861
0.112755,0.088025
0.092511,0.161446
0.107375,0.082520
0.114595,0.095178
0.113392,0.101368
0.114170,0.105572
0.116400,0.107578
0.246673,0.131169
0.139793,0.174263
0.101925,0.098692
0.068658,0.088517
0.061934,0.072799
0.086778,0.066387
0.086283,0.107899
0.135900,0.101783
0.179289,0.168278
0.097183,0.179864
0.078709,0.114889
0.036382,0.086272
0.013802,0.067393
0.014439,0.049708
0.040062,0.054415
0.082106,0.059291
0.122877,0.084170
0.040062,0.072719
0.057616,0.061572
0.056696,0.065260
0.059244,0.060674
0.068446,0.061041
0.051317,0.065210
0.066110,0.063398
0.052095,0.071589
0.043212,0.063026
0.064057,0.064228
0.151260,0.069574
0.124292,0.189267
0.079558,0.095937
0.085221,0.073285
0.094210,0.080139
0.082177,0.086301
0.090954,0.063805
0.112826,0.083830
0.090813,0.104490
0.082319,0.100361
0.119125,0.090479
0.107446,0.109279
0.073719,0.106990
0.136042,0.079055
0.256300,0.112492
0.285320,0.243509
0.220626,0.228100
0.110985,0.131961
0.185518,0.125547
0.139369,0.145215
0.130025,0.103151
0.036169,0.095800
0.025269,0.063931
0.021730,0.062363
0.038151,0.061151
0.052237,0.070001
0.047070,0.052203
0.060872,0.065073
0.047070,0.060798
0.025127,0.027429
0.037089,0.052707
0.083805,0.062679
0.059881,0.067949
0.064623,0.064713
0.055917,0.065459
0.116648,0.062455
0.090742,0.074203
0.080054,0.078390
0.078072,0.083910
0.030011,0.076989
0.027817,0.066394
0.046503,0.066476
0.060660,0.065646
0.079912,0.069569
0.068941,0.082225
0.047636,0.073684
0.054219,0.048417
0.048485,0.056676
0.035249,0.050818
0.064694,0.051238
0.121532,0.059221
0.027534,0.089113
0.021341,0.057411
0.044663,0.054009
0.036382,0.055573
0.047848,0.062698
0.041761,0.028256
0.026472,0.025852
0.047140,0.053296
0.096050,0.059482
0.113038,0.080024
0.085504,0.083461
0.124929,0.070124
0.146730,0.118677
0.078921,0.122960
0.030436,0.075053
0.020881,0.056542
0.067313,0.059304
0.086990,0.073604
0.078107,0.077689
0.023853,0.067432
0.020314,0.048306
0.011537,0.034909
0.019819,0.031788
0.052945,0.042922
0.129388,0.044449
0.094776,0.114166
0.063845,0.072892
0.038364,0.060656
0.035320,0.057941
0.017978,0.061852
0.013661,0.052855
0.006123,0.041029
0.009626,0.050099
0.078780,0.056810
0.066145,0.070220
0.064553,0.062712
0.029162,0.056827
0.024703,0.035228
0.014369,0.044195
0.033798,0.039995
0.094493,0.052501
0.111339,0.071496
0.038222,0.077324
0.046220,0.055903
0.057828,0.055844
0.041619,0.059859
0.009131,0.048046
0.018191,0.021490
0.053794,0.033785
0.022119,0.065167
0.113817,0.056082
0.117568,0.073822
0.088831,0.080300
0.065048,0.069808
0.014227,0.000000
0.007184,0.051021
0.022650,0.051633
0.034754,0.054749
0.031285,0.057368
0.037443,0.053900
0.045512,0.053846
0.025694,0.047118
0.002902,0.044442
0.020173,0.002856
0.035957,0.019596
0.048273,0.054270
0.073117,0.058409
0.080549,0.058657
0.107588,0.061450
0.037089,0.073616
0.051246,0.051430
0.055634,0.057769
0.024136,0.060413
0.018686,0.055894
0.054360,0.050765
0.050184,0.060243
0.070003,0.061439
0.026118,0.063599
0.038364,0.040286
0.045654,0.038225
0.042681,0.035328
0.035603,0.035426
0.028100,0.049428
0.018722,0.053473
0.028666,0.053181
0.035886,0.055906
0.045229,0.053050
0.059598,0.041545
0.067172,0.046958
0.027499,0.046042
0.032347,0.049252
0.048131,0.055981
0.029374,0.060643
0.021871,0.058339
0.021234,0.046932
0.023712,0.049001
0.041266,0.052764
0.048556,0.049237
0.059102,0.052777
0.062783,0.057855
0.039496,0.056424
0.042964,0.053693
0.026543,0.054650
0.031781,0.050942
0.049689,0.052451
0.049695,0.054014
0.057362,0.056964
0.056696,0.056518
0.086920,0.056894
0.035178,0.071800
0.012811,0.052468
0.016563,0.045564
0.037443,0.047762
0.055953,0.059181
0.068233,0.057365
0.046574,0.059640
0.069083,0.053417
0.089326,0.060807
0.082814,0.074392
0.090246,0.071129
0.066747,0.072117
0.056625,0.065218
0.090742,0.064730
0.058112,0.073169
0.039142,0.064285
0.041407,0.058295
0.083027,0.055527
0.073683,0.083297
0.090954,0.068483
0.093998,0.078458
0.084159,0.078879
0.106031,0.077566
0.066535,0.092527
0.131229,0.072562
0.042115,0.082704
0.045937,0.056699
0.067101,0.063343
0.047140,0.068645
0.050113,0.067323
0.079134,0.062126
0.089043,0.073459
0.084725,0.082647
0.064057,0.079269
0.110773,0.065598
0.105464,0.101545
0.043354,0.081992
0.038930,0.057261
0.068729,0.061552
0.028525,0.072726
0.018686,0.059442
0.010051,0.056058
0.075524,0.044224
0.146305,0.078200
0.034046,0.060892
0.069083,0.039846
0.044805,0.054753
0.050255,0.059263
0.066181,0.071844
0.061367,0.069155
0.081540,0.062076
0.067667,0.072976
0.076656,0.068978
0.058678,0.069455
0.045229,0.063166
0.049122,0.061605
0.061721,0.027869
0.048414,0.066600
0.029941,0.048325
0.036948,0.055115
0.055988,0.061835
