REAL,ESTIMATE
24.958333,32.488269
55.291667,34.007872
46.583333,45.568699
33.458333,42.011994
32.041667,38.216416
59.125000,36.485056
58.375000,45.895931
22.583333,46.184436
18.458333,36.185001
30.375000,34.900879
32.375000,35.996136
24.958333,36.141958
33.083333,34.956967
34.666667,37.737837
23.291667,37.621947
4.625000,34.197049
7.541667,30.696356
16.750000,30.903852
22.083333,31.922124
25.708333,33.196063
29.166667,32.827839
27.041667,33.260653
18.791667,32.604348
20.875000,31.613672
18.791667,31.908158
27.375000,31.790222
23.875000,33.655395
9.083333,32.445599
7.979167,29.857738
9.250000,29.466070
12.375000,29.683450
21.833333,29.975850
32.666667,31.560173
17.666667,33.620166
19.458333,30.601416
29.333333,30.962735
21.958333,32.362206
12.750000,31.424239
11.083333,30.528988
16.708333,30.444833
30.708333,30.156950
45.791667,32.410871
46.208333,36.791147
36.791667,37.770096
36.458333,35.906300
33.166667,36.838268
34.166667,35.385141
46.375000,36.680495
31.875000,42.318700
30.500000,36.890888
19.875000,35.993619
16.645833,33.030017
14.041667,32.704410
29.583333,32.104580
43.250000,36.591930
27.250000,39.378952
25.833333,34.980483
26.541667,34.407486
40.916667,34.047551
51.625000,37.910655
32.041667,43.819493
20.458333,37.355425
14.041667,33.863012
16.604167,31.736510
30.583333,31.870624
45.875000,34.733722
46.192529,40.863011
55.974138,41.411049
56.750000,44.600120
72.791667,45.039214
90.833333,54.737061
84.125000,72.687023
107.666667,71.389631
68.958333,72.392867
44.166667,51.571943
28.708333,41.666866
25.833333,37.909645
27.833333,36.742170
33.333333,37.739691
27.666667,38.191513
20.375000,36.328513
26.791667,32.515437
26.166667,34.655539
35.125000,33.275550
45.125000,37.757892
61.625000,41.358291
72.916667,51.144147
65.541667,56.494650
42.333333,52.137896
6.666667,41.365711
2.791667,32.252587
9.937500,31.516231
42.250000,31.790231
31.250000,39.145218
11.208333,35.136447
8.916667,31.490110
8.479167,29.915827
14.041667,29.796003
20.833333,30.505148
14.333333,32.747950
6.312500,31.015421
12.121212,29.289276
38.441288,28.978567
42.291667,32.549693
25.833333,34.294117
6.562500,33.292578
21.125000,29.739158
10.291667,30.978315
31.291667,29.047976
34.958333,34.042227
39.833333,33.922282
32.791667,36.944322
38.291667,33.129646
39.541667,36.476320
45.666667,35.564710
18.041667,42.512772
36.291667,33.323262
30.375000,39.132827
29.125000,33.865866
45.500000,36.381599
55.500000,39.473076
50.020833,49.887247
31.458333,43.551303
27.625000,38.498099
24.291667,36.543816
32.916667,35.306119
33.041667,38.267793
50.333333,38.728237
25.750000,43.880179
15.750000,35.026853
36.583333,33.267901
53.625000,37.113356
47.208333,45.483312
40.958333,43.768054
52.416667,42.682913
61.000000,45.022353
122.208333,52.133695
32.041667,97.564098
89.833333,39.581845
34.666667,64.529358
28.291667,39.400677
58.125000,36.468291
62.625000,48.490571
68.583333,51.204766
