E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
10,3,0.8,5,0.414641,0.448949,0.098185,0.104196
10,3,0.8,6,0.463494,0.350577,0.093999,0.113115
10,3,0.8,7,0.449038,0.415115,0.095257,0.107347
10,3,0.8,8,0.477602,0.409925,0.092755,0.107823
10,3,0.8,9,0.490168,0.383064,0.091632,0.110249
10,3,0.8,10,0.510779,0.335199,0.089761,0.114446
10,3,0.8,11,0.539621,0.295770,0.087075,0.117791
10,3,0.8,12,0.564625,0.250845,0.084677,0.121490
10,3,0.8,13,0.561315,0.319115,0.084998,0.115823
10,3,0.8,14,0.581978,0.328390,0.082972,0.115031
10,3,0.8,15,0.584048,0.332155,0.082767,0.114708
