REAL,ESTIMATE
0.519701,0.446900
0.305237,0.435918
0.281796,0.348973
0.358603,0.338219
0.296259,0.385588
0.122195,0.313395
0.149626,0.176697
0.318204,0.258290
0.430923,0.330392
0.245885,0.389390
0.174564,0.294435
0.177057,0.178865
0.227930,0.265603
0.251870,0.283818
0.338653,0.271931
0.362594,0.350442
0.249377,0.376089
0.414963,0.237063
0.484788,0.459315
0.488279,0.366201
0.169077,0.277927
0.327681,0.277433
0.424439,0.356345
0.412968,0.368333
0.550125,0.371635
0.454364,0.468203
0.654863,0.392951
0.742145,0.718029
0.678304,0.619858
0.613965,0.640984
0.525686,0.506056
0.508728,0.447392
0.221945,0.230968
0.523192,0.297705
0.571072,0.402012
0.185037,0.474629
0.240399,0.277079
0.241397,0.309831
0.340648,0.290882
0.179052,0.338220
0.288279,0.319336
0.416958,0.367324
0.522195,0.388974
0.163092,0.359626
0.276808,0.215214
0.260848,0.295552
0.272319,0.299542
0.291272,0.244254
0.308728,0.294864
0.365087,0.387540
0.354613,0.331704
0.285287,0.403952
0.345636,0.290431
0.277307,0.334255
0.323192,0.298219
0.310224,0.386005
0.490025,0.382005
0.545636,0.421150
0.324190,0.438092
0.449377,0.332477
0.190025,0.376015
0.541147,0.333281
0.642893,0.551953
0.628429,0.483207
0.447382,0.547160
0.205985,0.151657
0.220948,0.278114
0.083791,0.088395
0.224938,0.232307
0.473317,0.324185
0.536658,0.432991
0.485786,0.414629
0.400499,0.379476
0.621945,0.504227
0.404489,0.507392
0.494763,0.495138
0.357107,0.433066
0.369576,0.369025
0.562095,0.372436
0.412469,0.493914
0.220948,0.343752
0.135162,0.275023
0.358603,0.250067
0.487282,0.378890
0.481297,0.517129
0.542643,0.482570
0.748130,0.539728
0.583042,0.493347
0.201496,0.332966
0.161596,0.228943
0.158603,0.252203
0.287781,0.241602
0.222943,0.315755
0.235910,0.320048
0.174065,0.285217
0.207481,0.225491
0.078304,0.229295
0.162594,0.181018
0.196509,0.204352
0.162594,0.123764
0.395511,0.301322
0.447880,0.321458
0.087282,0.326084
0.074314,0.152842
0.206484,0.214780
0.254863,0.260167
0.195012,0.232526
0.342643,0.286760
0.499751,0.413256
0.346135,0.326707
0.447382,0.329580
0.427930,0.350530
0.190025,0.333174
0.312718,0.270006
0.275810,0.329792
0.267830,0.317646
0.162095,0.242276
0.126185,0.218038
0.187032,0.188648
0.344140,0.271718
0.308728,0.367211
0.528180,0.303290
0.419451,0.419956
0.289776,0.274538
0.562594,0.425653
0.200499,0.272000
0.052868,0.235833
0.094264,0.195089
0.205486,0.254301
0.355112,0.236863
0.102743,0.263563
0.315711,0.177518
0.303741,0.306245
0.311222,0.274242
0.272818,0.296958
0.207980,0.227575
0.183042,0.286079
0.100249,0.234885
0.254863,0.175000
0.311721,0.248528
0.216958,0.266607
