REAL,ESTIMATE
0.317207,0.237999
0.298254,0.250207
0.209476,0.253442
0.180050,0.208357
0.214963,0.281543
0.214963,0.257134
0.286284,0.255565
0.371571,0.311505
0.254364,0.352160
0.173067,0.233607
0.161097,0.209886
0.091272,0.266847
0.098753,0.193407
0.161097,0.203675
0.252868,0.221041
0.423441,0.213165
0.349626,0.353858
0.245885,0.355889
0.239401,0.270105
0.089277,0.204811
0.261347,0.173539
0.280299,0.213448
0.303741,0.292356
0.224938,0.268058
0.034913,0.231702
0.126185,0.140690
0.083292,0.240612
0.154613,0.168659
0.245885,0.211343
0.226933,0.257033
0.262344,0.201257
0.114214,0.228820
0.325187,0.144623
0.316209,0.351324
0.160100,0.324959
0.077805,0.206940
0.228429,0.170204
0.341646,0.180483
0.222943,0.257834
0.414464,0.185749
0.445137,0.320544
0.526185,0.247011
0.370075,0.497722
0.377556,0.361249
0.267830,0.248089
0.275810,0.279031
0.239900,0.308164
0.083791,0.256719
0.142643,0.206696
0.148130,0.205499
0.134165,0.206652
0.116708,0.145891
0.237905,0.194100
0.420449,0.265297
0.475312,0.410341
0.470823,0.328009
0.411471,0.567553
0.141646,0.439482
0.192519,0.255004
0.120698,0.228347
0.150623,0.206497
0.304418,0.251912
0.572640,0.297225
0.662344,0.574479
0.673317,0.614668
0.566085,0.567254
0.476309,0.432362
0.464339,0.443809
0.510723,0.466606
0.511222,0.473795
0.364090,0.406100
0.260848,0.402298
0.260848,0.313441
0.285786,0.348616
0.316209,0.375484
0.163092,0.362919
0.213466,0.314626
0.189027,0.337879
0.196010,0.284533
0.301746,0.209781
0.391022,0.272958
0.446384,0.343603
0.560599,0.555751
0.643392,0.522117
0.610474,0.464661
0.294763,0.402224
0.163591,0.320980
0.081297,0.270225
0.164090,0.242049
0.303741,0.362646
0.378055,0.452387
0.215960,0.371303
0.249875,0.184631
0.292269,0.225616
0.259352,0.300258
0.280299,0.240685
0.296259,0.272564
0.128180,0.261511
0.194514,0.143459
0.294763,0.233343
0.381546,0.292368
0.254863,0.342420
0.141646,0.288881
0.177556,0.237230
0.171571,0.234397
0.105736,0.247227
0.200998,0.259968
0.384040,0.282625
0.310224,0.293880
0.365087,0.333676
0.435411,0.330661
0.337656,0.417005
0.153616,0.325997
0.278304,0.242548
0.299751,0.134074
0.333666,0.222943
0.472319,0.282800
0.614464,0.415185
0.623441,0.482421
0.440898,0.510279
0.233666,0.000000
0.349127,0.000000
0.440399,0.199242
0.424938,0.391058
0.284788,0.433820
0.126185,0.361109
0.171571,0.266921
0.400000,0.328167
0.473815,0.457056
0.460349,0.369587
0.414963,0.428611
0.405486,0.408532
0.448878,0.380951
0.379052,0.412625
0.249377,0.388060
0.296758,0.233079
0.183541,0.268717
0.248878,0.282563
0.497756,0.278978
0.429925,0.477178
0.364589,0.376929
