E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
10,3,0.8,5,0.668631,0.559881,0.094626,0.088291
10,3,0.8,6,0.689421,0.521583,0.091609,0.092052
10,3,0.8,7,0.704117,0.560988,0.089416,0.088179
10,3,0.8,8,0.707938,0.562412,0.088837,0.088036
10,3,0.8,9,0.714741,0.514667,0.087796,0.092715
10,3,0.8,10,0.725355,0.525164,0.086147,0.091707
10,3,0.8,11,0.732310,0.499549,0.085049,0.094148
10,3,0.8,12,0.737430,0.513330,0.084232,0.092843
10,3,0.8,13,0.745830,0.510231,0.082874,0.093138
10,3,0.8,14,0.768864,0.507004,0.079029,0.093444
10,3,0.8,15,0.768178,0.488080,0.079146,0.095221
