REAL,ESTIMATE
0.033005,0.096273
0.164447,0.087924
0.142444,0.136970
0.045744,0.120264
0.067169,0.095439
0.263463,0.093306
0.268095,0.185978
0.137811,0.153741
0.067748,0.122612
0.176028,0.116248
0.243775,0.128763
0.273885,0.175836
0.259988,0.206390
0.230457,0.185788
0.120440,0.188493
0.131442,0.145541
0.251882,0.161809
0.128547,0.196883
0.123914,0.147016
0.163868,0.161322
0.361899,0.182044
0.171975,0.265362
0.163868,0.155899
0.204980,0.199772
0.184134,0.197849
0.238564,0.163042
0.088014,0.224968
0.093225,0.156027
0.156340,0.145583
0.210770,0.184910
0.203822,0.208547
0.133758,0.209943
0.305153,0.189452
0.171395,0.223647
0.273885,0.172808
0.381008,0.264313
0.313839,0.262992
0.323104,0.248604
0.254198,0.265774
0.355530,0.240603
0.279676,0.272602
0.218298,0.256654
0.087724,0.278818
0.465547,0.181164
0.477707,0.423246
0.533295,0.394489
0.561668,0.496458
0.408801,0.454681
0.348002,0.351738
0.248987,0.253386
0.238564,0.267699
0.287203,0.280699
0.338159,0.264841
0.586566,0.563579
0.516503,0.495272
0.360741,0.397881
0.195426,0.328283
0.249566,0.275701
0.626520,0.285482
0.297626,0.441114
0.538506,0.307217
0.187609,0.374237
0.182397,0.283268
0.245512,0.274110
0.269253,0.284258
0.403011,0.288490
0.388535,0.307273
0.511291,0.367080
0.503764,0.391794
0.286624,0.331519
0.169658,0.258517
0.266358,0.266128
0.338159,0.326978
0.053272,0.084296
0.416329,0.282373
0.379849,0.366577
0.358425,0.381527
0.390851,0.336200
0.287203,0.331378
0.367690,0.396707
0.473075,0.260121
0.687319,0.672180
0.504922,0.584218
0.390851,0.312029
0.533874,0.367521
0.431963,0.407016
0.269832,0.294986
0.328894,0.342355
0.475391,0.422473
0.450492,0.377306
0.556456,0.399142
0.397800,0.433535
0.525767,0.308343
0.601621,0.510336
0.429068,0.550153
0.442386,0.419032
0.539664,0.464512
0.482339,0.493754
0.607412,0.422867
0.541980,0.541955
0.321367,0.355735
0.376375,0.349599
0.710481,0.706751
0.712797,0.614919
0.832079,0.654661
0.909091,0.704019
0.595831,0.714480
0.396063,0.441548
0.408222,0.414152
0.546613,0.516561
0.372901,0.489592
0.380428,0.421718
0.488130,0.411836
0.478865,0.341202
0.515345,0.430352
0.516503,0.513795
0.502606,0.503164
0.646786,0.549910
0.925883,0.844384
1.000000,0.867838
0.784019,0.831105
0.442386,0.424113
0.719745,0.709559
0.688477,0.679965
0.162710,0.224847
0.375796,0.327158
0.613202,0.562043
0.566879,0.611625
0.502606,0.594331
0.371743,0.417222
0.558772,0.503052
0.309207,0.310496
0.363057,0.395628
0.200347,0.193839
0.316734,0.421132
0.540243,0.536481
0.601042,0.639459
0.803127,0.738626
0.478286,0.542526
0.642154,0.512792
0.685003,0.577622
0.591778,0.535123
0.546613,0.576832
0.441228,0.475400
0.438911,0.389520
0.280834,0.324992
0.418645,0.383956
0.433121,0.447106
0.367690,0.471493
0.293573,0.366624
0.718587,0.684792
0.708743,0.681506
0.431963,0.511749
0.540243,0.467995
0.659525,0.526599
0.330052,0.436123
0.420961,0.403331
0.299942,0.363322
0.356688,0.341599
0.544876,0.438981
0.314418,0.446497
0.166184,0.227960
0.329473,0.298439
0.844239,0.839665
0.748697,0.769361
0.516503,0.699034
0.709902,0.671578
0.693109,0.667777
0.573827,0.516556
0.362478,0.423846
0.370006,0.321238
0.322525,0.382288
0.439490,0.331649
0.327736,0.306698
0.130284,0.280119
0.199189,0.248900
0.180081,0.247318
0.209033,0.243454
0.675159,0.415463
0.850029,0.723645
0.514765,0.603571
0.526346,0.550294
0.288940,0.307762
0.143023,0.230507
0.207875,0.254664
0.228141,0.328773
0.291257,0.341731
0.359583,0.396048
0.581355,0.432124
0.404748,0.367376
0.147076,0.308699
0.325999,0.345491
0.562247,0.437588
0.357267,0.433983
0.304574,0.436969
0.639838,0.415178
0.273885,0.401553
0.242038,0.322955
0.308628,0.284879
0.351477,0.325965
0.171395,0.318406
0.278518,0.260170
0.129705,0.252215
0.133758,0.175527
0.118703,0.183713
0.546613,0.212119
0.467284,0.422682
0.368848,0.364608
0.314418,0.393727
0.415171,0.390353
0.272148,0.315224
0.337580,0.276093
0.272148,0.313761
0.316155,0.288970
0.280834,0.325666
0.289519,0.301093
0.207296,0.299008
0.203822,0.262000
0.306891,0.241614
0.310365,0.309746
0.379849,0.314625
0.385640,0.369700
0.418066,0.379333
0.592936,0.561518
0.335843,0.374270
0.272727,0.308387
0.148813,0.292112
0.268095,0.278516
0.305153,0.308850
0.416908,0.351633
0.290098,0.422437
0.127389,0.313756
0.195715,0.221699
0.199189,0.287163
0.298784,0.319579
0.224088,0.311090
0.281413,0.218557
0.265200,0.328865
0.225246,0.264729
0.224088,0.269033
0.169079,0.279866
0.375217,0.235503
0.238564,0.280483
0.087435,0.276807
0.198031,0.193148
0.241459,0.181047
0.184713,0.277789
0.268095,0.212612
0.221772,0.312614
0.389114,0.261360
0.241459,0.270575
0.177186,0.280862
0.144181,0.227638
0.236827,0.176269
0.266937,0.233029
0.350898,0.272458
0.268674,0.302216
0.321946,0.278436
0.188188,0.297620
0.241459,0.215729
0.283150,0.272772
0.143023,0.289069
0.083382,0.174554
0.203822,0.183814
0.085119,0.266799
0.144760,0.156392
0.217719,0.203930
0.116097,0.276022
0.116387,0.159275
0.137811,0.171766
0.232195,0.196715
0.196873,0.168726
0.059641,0.180512
0.050955,0.162775
0.002895,0.129972
0.108859,0.125848
0.288940,0.167643
0.509554,0.201606
0.236537,0.306617
0.080486,0.195062
0.122177,0.132050
0.138390,0.131962
0.079328,0.150254
0.013318,0.127380
0.174870,0.124703
0.081065,0.174759
0.084540,0.119579
0.271569,0.119648
0.233353,0.220347
0.090330,0.164911
0.100174,0.098237
0.070643,0.144933
0.171395,0.104456
0.106543,0.078744
0.046323,0.148100
0.045744,0.115156
0.136653,0.091819
0.074696,0.158588
0.064273,0.111757
0.009844,0.102103
0.151129,0.103760
0.182976,0.116797
0.015055,0.106233
0.020845,0.097152
0.068906,0.086738
0.079328,0.097342
0.239143,0.104954
0.184134,0.162701
0.078460,0.139524
0.167342,0.092550
0.186450,0.146181
0.162131,0.167921
0.052113,0.111508
0.111175,0.109864
0.052113,0.140376
0.000000,0.094573
0.103069,0.095492
0.065431,0.135068
0.159236,0.100585
0.064273,0.124923
0.003764,0.119396
0.145918,0.077938
0.222930,0.104490
0.111175,0.171451
0.004053,0.090335
0.103069,0.090026
0.122177,0.128075
0.041691,0.097378
0.003474,0.099245
0.097279,0.109504
0.195715,0.107070
0.084540,0.134522
0.017950,0.120920
0.013318,0.091500
0.069485,0.073911
0.050376,0.096900
0.138969,0.092031
0.204980,0.107416
0.148813,0.122057
0.042849,0.100127
0.028373,0.093960
0.016213,0.095492
0.201506,0.077673
0.165605,0.140264
0.067748,0.144847
0.025478,0.093290
0.100174,0.085540
0.171395,0.113202
0.074696,0.129817
0.015055,0.100971
0.005790,0.089631
0.022003,0.078972
0.167921,0.084410
0.183555,0.122215
0.088014,0.121057
0.172554,0.093229
0.034742,0.138664
0.015055,0.089618
0.034742,0.074533
0.122177,0.098022
0.136653,0.112585
0.024899,0.106157
0.134337,0.099799
0.185871,0.114707
0.116387,0.121079
0.009265,0.109365
0.165026,0.090042
0.141285,0.132633
0.113492,0.105194
0.035321,0.110396
0.030110,0.100110
0.086856,0.090134
0.192241,0.102249
0.140706,0.158818
0.143602,0.127043
0.290098,0.112205
0.170816,0.188464
0.137232,0.143673
0.072959,0.127776
0.248987,0.120075
0.204980,0.159853
0.143602,0.159248
0.215981,0.165193
0.177765,0.169025
0.244933,0.170332
0.255356,0.227132
0.152866,0.250539
0.200347,0.161811
0.114650,0.161356
0.204980,0.172198
0.166763,0.190700
0.144760,0.171139
0.162710,0.176079
0.324262,0.186578
0.237985,0.279399
0.099595,0.206562
0.273306,0.155785
0.211349,0.263030
0.277360,0.210346
0.324262,0.253694
0.163868,0.284714
0.079907,0.202278
0.106543,0.147595
0.168500,0.197598
0.292415,0.212142
0.322525,0.252712
0.337001,0.339876
0.332368,0.276558
0.256514,0.261339
0.180081,0.232376
0.157499,0.186676
0.128547,0.195804
0.032426,0.202514
0.225825,0.156658
0.163289,0.250933
0.133758,0.218564
0.342212,0.178330
0.318471,0.286194
0.342791,0.274533
0.206138,0.230954
0.163289,0.196962
0.158657,0.171946
0.262305,0.148031
0.339317,0.266590
0.348581,0.283988
0.273885,0.277327
0.272727,0.276347
0.275622,0.257776
0.334684,0.261566
0.167921,0.308960
0.341054,0.205203
0.211349,0.271563
0.155761,0.248202
0.165026,0.205987
0.258830,0.201469
0.166763,0.293778
0.252461,0.202738
0.216561,0.258154
0.397221,0.253860
0.565142,0.296909
0.381008,0.422162
0.491025,0.343370
0.394325,0.334632
0.348002,0.294665
0.115229,0.335168
0.307470,0.218869
0.352056,0.337733
0.294152,0.377392
0.480023,0.404187
0.403011,0.425989
0.532137,0.446442
0.285466,0.354850
0.488130,0.385040
0.477707,0.472547
0.229878,0.329275
0.226404,0.276269
0.247829,0.340416
0.323683,0.259023
0.269832,0.344021
0.225246,0.358585
0.301679,0.258526
0.427331,0.295154
0.392009,0.399067
0.253040,0.266304
0.343370,0.312370
0.393746,0.338214
0.341633,0.367013
0.383324,0.373039
0.524609,0.416440
0.620151,0.393562
0.619572,0.500929
0.415171,0.497746
0.440069,0.396650
0.545455,0.444436
0.341054,0.535734
0.480023,0.456033
0.354372,0.450386
0.522872,0.473795
0.489867,0.531040
0.352635,0.440373
0.420961,0.369741
0.474233,0.482974
0.341633,0.434520
0.250145,0.337994
0.342791,0.328326
0.299653,0.380167
0.310944,0.340476
0.512449,0.430951
0.451940,0.442277
0.405906,0.423887
0.434279,0.397460
0.474233,0.408390
0.434279,0.432141
0.607991,0.460508
0.689635,0.585627
0.475970,0.533920
0.469021,0.440531
0.493920,0.371242
0.445860,0.440363
0.688477,0.633256
0.667632,0.564908
0.639838,0.567598
0.535611,0.532864
0.392588,0.428748
0.510133,0.404866
0.471917,0.525236
0.481181,0.410736
0.339896,0.464779
0.464389,0.421875
0.357846,0.396034
0.526346,0.398068
0.513607,0.464639
0.425594,0.483927
0.415171,0.458474
0.445281,0.432660
0.416908,0.470322
0.448176,0.482159
0.336422,0.448726
0.543138,0.433646
0.727852,0.630766
0.419224,0.542128
0.493341,0.484206
0.506080,0.480196
0.368848,0.450680
0.367111,0.439772
0.422119,0.488890
0.372901,0.303424
0.370585,0.462843
0.440649,0.381081
0.261146,0.355946
0.547771,0.385498
0.776491,0.527729
0.510133,0.809164
0.354372,0.446096
0.326578,0.428439
0.333526,0.323186
0.474812,0.479537
0.250724,0.461124
0.346265,0.404233
0.357267,0.294878
0.460915,0.460872
0.365373,0.468127
0.176607,0.444587
0.144181,0.206277
0.092067,0.282767
0.279676,0.235170
0.367111,0.465771
0.683266,0.634856
0.572090,0.587943
0.492762,0.476804
0.449334,0.425430
0.284308,0.318272
0.287203,0.323042
0.407064,0.319698
0.213086,0.387924
0.438911,0.410380
0.485235,0.466166
0.383324,0.361243
0.356688,0.364474
0.437174,0.372850
0.474812,0.449494
