REAL,ESTIMATE
0.396642,0.423920
0.473075,0.396842
0.665316,0.401153
0.620151,0.511093
0.449334,0.486042
0.436595,0.387240
0.496236,0.343366
0.311523,0.448340
0.334684,0.376245
0.536769,0.337373
0.556456,0.458821
0.451650,0.462580
0.181239,0.395810
0.167342,0.302164
0.289519,0.458197
0.151129,0.515261
0.272148,0.332022
0.343949,0.348041
0.397800,0.384121
0.398958,0.390265
0.236827,0.400959
0.225246,0.307549
0.276202,0.324835
0.269253,0.347416
0.341633,0.340331
0.284887,0.371970
0.323104,0.342061
0.264331,0.366458
0.230457,0.288688
0.257672,0.287466
0.171395,0.341650
0.314418,0.311246
0.243196,0.352596
0.222930,0.305753
0.288361,0.252309
0.312681,0.278413
0.264621,0.317828
0.165605,0.270409
0.378112,0.265627
0.237985,0.376354
0.295599,0.230561
0.123335,0.297006
0.232774,0.215266
0.282571,0.254909
0.334105,0.279074
0.219456,0.338467
0.252461,0.255334
0.341633,0.279220
0.280255,0.308204
0.188188,0.266785
0.286045,0.250783
0.431384,0.281175
0.214244,0.351694
0.115229,0.256284
0.100174,0.222648
0.112334,0.197761
0.223509,0.166072
0.319629,0.263976
0.272148,0.347631
0.215981,0.259112
0.180081,0.196498
0.183555,0.216894
0.161552,0.208665
0.119861,0.210360
0.092646,0.171551
0.170237,0.165387
0.287782,0.216467
0.268095,0.257778
0.143602,0.239780
0.148234,0.181316
0.198610,0.194361
0.280834,0.197834
0.260567,0.228721
0.219456,0.211357
0.103648,0.208034
0.237985,0.168248
0.198610,0.228632
0.213665,0.226735
0.149392,0.218912
0.091488,0.197636
0.033584,0.165768
0.066010,0.129756
0.078170,0.140501
0.045165,0.130927
0.111175,0.125544
0.213086,0.171178
0.213665,0.194210
0.288940,0.169930
0.154024,0.205410
0.058483,0.158938
0.041112,0.121159
0.168500,0.124885
0.121598,0.178673
0.085119,0.136174
0.068906,0.155419
0.024899,0.147336
0.071222,0.110719
0.199189,0.125544
0.109438,0.177559
0.064852,0.117061
0.056167,0.104231
0.086856,0.117747
0.162710,0.103244
0.121598,0.139092
0.145339,0.148756
0.244933,0.129159
0.180950,0.163517
0.063115,0.156758
0.028373,0.101330
0.066010,0.097138
0.024899,0.119020
0.095541,0.098261
0.172554,0.134977
0.111175,0.157849
0.142444,0.113062
0.099016,0.131980
0.013897,0.136475
0.011002,0.084189
0.015055,0.081081
0.011581,0.097712
0.162420,0.086099
0.140706,0.137517
0.057325,0.134615
0.017950,0.090520
0.116966,0.098854
0.235090,0.124921
0.141865,0.126799
0.019687,0.114775
0.011581,0.088967
0.009265,0.078974
0.009265,0.092803
0.019687,0.099522
0.038796,0.094027
0.125651,0.099543
0.173712,0.113523
0.140706,0.114565
0.185292,0.105249
0.145339,0.115350
0.023162,0.100125
0.028373,0.087687
0.035900,0.098244
