E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
10,4,0.8,5,0.632313,0.440105,0.033468,0.024520
10,4,0.8,6,0.648907,0.448891,0.032704,0.024327
10,4,0.8,7,0.650909,0.367771,0.032611,0.026056
10,4,0.8,8,0.545368,0.240791,0.037215,0.028552
10,4,0.8,9,0.686882,0.438966,0.030885,0.024545
10,4,0.8,10,0.662180,0.342278,0.032080,0.026576
10,4,0.8,11,0.673298,0.450740,0.031548,0.024286
10,4,0.8,12,0.654409,0.400336,0.032447,0.025376
10,4,0.8,13,0.731676,0.433162,0.028591,0.024671
10,4,0.8,14,0.715258,0.414634,0.029452,0.025071
10,4,0.8,15,0.787684,0.445353,0.025432,0.024405
