REAL,ESTIMATE
0.023486,0.077342
0.009318,0.069943
0.028669,0.033187
0.036927,0.057133
0.025421,0.053355
0.029153,0.039760
0.037308,0.030216
0.023900,0.045029
0.048503,0.052528
0.089139,0.052016
0.125284,0.077646
0.026250,0.114285
0.045393,0.012308
0.103860,0.069208
0.095981,0.093022
0.148919,0.115729
0.167717,0.131448
0.263226,0.157659
0.264746,0.226864
0.219134,0.222714
0.186653,0.183164
0.189555,0.167345
0.142630,0.131663
0.047397,0.118648
0.095428,0.058479
0.126389,0.084874
0.062118,0.084893
0.048641,0.056853
0.044011,0.068085
0.059768,0.065935
0.051198,0.084544
0.052512,0.073335
0.067716,0.057979
0.055898,0.067533
0.067923,0.054762
0.090383,0.070440
0.140073,0.095561
0.147606,0.100576
0.093493,0.122492
0.198747,0.102437
0.183335,0.172973
0.089831,0.120661
0.040245,0.114833
0.078600,0.068002
0.123971,0.106488
0.086306,0.130593
0.078220,0.119220
0.100715,0.070913
0.129292,0.104264
0.171518,0.123749
0.079257,0.150646
0.055552,0.063563
0.094806,0.046502
0.110702,0.098721
0.099851,0.135468
0.087550,0.094525
0.029153,0.101244
0.060666,0.050929
0.054032,0.072376
0.092940,0.068503
0.072691,0.084693
0.103929,0.078967
0.094806,0.103243
0.100266,0.076565
0.120515,0.091057
0.120308,0.111438
0.106901,0.120853
0.114986,0.087026
0.241871,0.104145
0.130398,0.154092
0.097225,0.098907
0.064813,0.080305
0.059561,0.079337
0.083887,0.081071
0.091973,0.102956
0.129776,0.091443
0.177599,0.122969
0.105242,0.098457
0.085477,0.105428
0.036962,0.076859
0.012774,0.061154
0.014985,0.015554
0.038966,0.042757
0.076423,0.068653
0.118165,0.075430
0.035096,0.039803
0.052166,0.043027
0.052097,0.060202
0.054999,0.056031
0.062256,0.047771
0.046499,0.061407
0.065159,0.068762
0.054861,0.085833
0.041454,0.056480
0.058179,0.073415
0.139520,0.071186
0.118442,0.108160
0.070826,0.074519
0.078358,0.060770
0.096120,0.076605
0.077460,0.105411
0.087204,0.086782
0.111427,0.088449
0.084302,0.103333
0.064813,0.093959
0.113466,0.071229
0.101303,0.105793
0.075387,0.095571
0.114848,0.080200
0.239176,0.131280
0.266543,0.220790
0.189210,0.239950
0.110010,0.131731
0.174075,0.141477
0.135374,0.112793
0.129292,0.101445
0.034198,0.069770
0.024453,0.051096
0.021758,0.056466
0.039381,0.039673
0.050369,0.055881
0.044357,0.057243
0.058593,0.066696
0.046084,0.076050
0.026112,0.068324
0.035442,0.057876
0.078013,0.055279
0.048572,0.089525
0.056865,0.064215
0.048054,0.067694
0.120446,0.071031
0.082851,0.116219
0.071447,0.092439
0.080224,0.069732
0.042145,0.086055
0.028392,0.068504
0.047190,0.042846
0.058731,0.064284
0.078220,0.057865
0.072691,0.072111
0.049471,0.064569
0.051406,0.052334
0.041661,0.036743
0.048711,0.024857
0.070687,0.043328
0.108628,0.075958
0.030811,0.095811
0.025524,0.021254
0.044979,0.035541
0.031502,0.064025
0.048296,0.063823
0.036547,0.047476
0.024315,0.034025
0.045255,0.041981
0.089969,0.056503
0.105380,0.079832
0.080708,0.089064
0.110287,0.073780
0.135926,0.102330
0.076700,0.092194
0.026941,0.072840
0.018026,0.050070
