REAL,ESTIMATE
47.000000,43.470405
45.000000,47.659323
54.000000,45.476144
52.000000,53.431748
54.000000,51.834909
63.000000,54.200352
62.000000,61.653414
62.000000,60.288960
69.000000,60.430571
107.000000,67.487171
147.000000,104.192884
152.000000,143.450212
162.000000,148.188562
155.000000,158.706981
150.000000,151.792294
180.000000,146.737023
182.000000,177.463377
171.000000,179.716775
171.000000,169.326956
162.000000,170.966213
153.000000,162.444193
166.000000,153.491318
175.000000,168.058867
158.000000,177.749893
151.000000,159.610629
148.000000,152.259510
155.000000,149.055608
175.000000,157.789307
196.000000,183.588437
199.000000,210.189960
193.000000,214.888805
149.000000,208.331085
67.000000,153.970458
58.000000,64.165332
91.000000,54.357254
110.000000,88.925173
114.000000,110.480749
86.000000,113.983580
89.000000,80.477697
127.000000,83.465314
162.000000,125.232637
163.000000,165.214851
157.000000,159.550780
152.000000,150.020668
146.000000,147.116088
154.000000,142.806472
164.000000,150.387608
148.000000,157.372036
123.000000,140.089402
103.000000,114.001412
85.000000,93.676428
46.000000,75.233065
51.000000,39.282450
53.000000,43.861813
62.000000,46.511627
65.000000,54.235633
68.000000,56.826123
83.000000,60.235976
80.000000,75.268951
64.000000,73.185025
54.000000,59.451036
41.000000,51.573568
36.000000,40.605410
38.000000,36.137335
43.000000,38.102292
32.000000,42.714161
21.000000,34.086925
28.000000,25.737032
38.000000,31.151761
41.000000,38.766295
42.000000,42.893773
43.000000,44.905706
41.000000,46.633881
42.000000,46.415040
44.000000,48.380078
57.000000,49.813848
64.000000,61.776940
63.000000,65.969949
57.000000,62.165607
44.000000,57.235006
48.000000,47.528193
61.000000,50.800583
67.000000,60.519774
58.000000,63.316089
91.000000,55.875403
79.000000,83.079970
65.000000,73.126856
64.000000,60.841037
70.000000,58.839188
77.000000,64.399806
83.000000,70.997101
90.000000,75.811062
87.000000,81.776438
102.000000,79.831181
101.000000,93.228626
97.000000,92.368789
92.000000,89.620826
100.000000,85.500811
106.000000,93.711188
130.000000,99.514826
137.000000,121.828061
129.000000,126.886379
128.000000,118.920659
100.000000,121.056870
83.000000,95.422462
110.000000,81.207861
113.000000,107.581444
136.000000,110.678865
96.000000,134.033420
93.000000,93.840745
102.000000,91.106794
108.000000,100.718007
136.000000,105.686475
132.000000,131.477762
143.000000,127.145559
153.000000,139.375836
166.000000,150.873341
164.000000,166.223519
159.000000,161.128460
142.000000,154.458537
123.000000,139.013943
123.000000,118.901218
125.000000,120.818634
129.000000,123.620252
138.000000,129.282833
131.000000,138.145176
148.000000,130.518197
164.000000,145.975588
191.000000,162.653661
205.000000,193.387959
236.000000,206.423108
263.000000,248.937238
267.000000,286.347306
257.000000,293.431556
262.000000,281.355496
249.000000,286.674963
199.000000,271.258876
189.000000,207.845443
180.000000,196.906861
190.000000,187.459318
166.000000,202.924872
167.000000,173.892315
158.000000,172.640579
152.000000,160.992974
153.000000,151.772078
162.000000,157.825342
168.000000,168.471348
192.000000,176.381970
189.000000,208.374374
181.000000,203.580870
161.000000,191.494803
149.000000,166.382178
157.000000,151.508271
198.000000,160.683332
274.000000,209.556660
260.000000,306.095940
203.000000,288.088202
137.000000,214.780205
117.000000,135.177226
107.000000,111.093079
81.000000,101.745787
58.000000,76.233089
48.000000,56.588461
49.000000,46.091532
44.000000,46.171378
49.000000,41.086001
46.000000,44.899351
51.000000,44.159952
55.000000,48.409418
57.000000,53.908459
54.000000,56.182900
66.000000,55.833890
72.000000,63.647588
74.000000,69.595668
82.000000,72.034523
82.000000,77.472287
79.000000,80.556159
82.000000,79.469988
84.000000,80.444127
85.000000,81.517239
82.000000,81.639776
61.000000,82.195357
72.000000,67.240464
69.000000,74.642169
60.000000,69.500944
54.000000,61.552202
48.000000,56.972741
43.000000,51.223262
42.000000,45.254069
38.000000,43.734695
41.000000,42.109856
39.000000,47.843926
40.000000,46.473237
42.000000,46.457545
49.000000,48.085766
53.000000,53.248247
61.000000,55.696700
58.000000,60.441821
56.000000,58.179409
49.000000,57.011252
49.000000,53.083304
53.000000,50.926519
57.000000,51.709555
60.000000,52.126373
52.000000,52.151829
41.000000,45.187322
45.000000,36.279821
46.000000,38.860864
47.000000,40.398856
37.000000,45.057709
30.000000,37.215805
37.000000,31.384502
39.000000,36.274552
31.000000,39.018922
36.000000,33.243304
31.000000,38.225335
35.000000,34.363130
38.000000,36.417746
37.000000,37.124918
38.000000,36.791604
49.000000,37.791325
57.000000,48.123247
61.000000,55.196822
46.000000,57.044419
46.000000,42.726091
63.000000,45.667204
68.000000,59.276150
56.000000,56.846430
47.000000,48.442643
53.000000,45.686967
40.000000,52.527106
42.000000,41.519771
43.000000,43.330486
39.000000,43.014305
40.000000,38.612411
46.000000,40.430209
39.000000,46.540255
46.000000,39.250752
46.000000,45.548890
43.000000,46.271481
40.000000,43.314788
37.000000,40.979754
45.000000,37.920822
48.000000,45.049403
69.000000,48.781672
67.000000,68.676448
57.000000,66.298880
68.000000,57.107692
87.000000,67.468707
76.000000,84.673154
72.000000,74.172267
64.000000,70.173442
59.000000,62.957130
55.000000,58.448745
47.000000,55.368011
48.000000,47.968330
48.000000,48.552623
45.000000,48.727949
40.000000,46.142846
42.000000,41.216643
38.000000,42.926469
35.000000,39.064414
38.000000,36.135634
36.000000,39.498800
40.000000,37.338374
38.000000,40.905309
40.000000,39.444296
