E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
10,7,0.8,5,0.425516,0.445301,0.122383,0.117142
10,7,0.8,6,0.414361,0.299527,0.123566,0.131637
10,7,0.8,7,0.471389,0.181075,0.117395,0.142333
10,7,0.8,8,0.420049,0.418663,0.122964,0.119922
10,7,0.8,9,0.462058,0.313527,0.118427,0.130315
10,7,0.8,10,0.448410,0.305063,0.119920,0.131116
10,7,0.8,11,0.512948,0.086925,0.112686,0.150292
10,7,0.8,12,0.513718,0.175380,0.112597,0.142827
10,7,0.8,13,0.495652,0.405282,0.114670,0.121294
10,7,0.8,14,0.511005,0.363879,0.112911,0.125445
10,7,0.8,15,0.572078,0.278078,0.105625,0.133638
