REAL,ESTIMATE
0.309658,0.326599
0.270312,0.334477
0.514563,0.337334
0.254982,0.338755
0.437404,0.337395
0.646398,0.539126
0.781298,0.700064
0.207460,0.554320
0.483393,0.305201
0.588656,0.396858
0.534492,0.505702
0.570772,0.469289
0.523761,0.501560
0.654573,0.389207
0.449668,0.434713
0.375575,0.338269
0.623403,0.352678
0.573327,0.592919
0.617271,0.490040
0.549310,0.519507
0.684722,0.433687
0.849770,0.512779
0.562596,0.521241
0.692897,0.494226
0.294839,0.598457
0.810424,0.796724
0.822688,0.668419
0.864078,0.840345
0.730199,0.712969
0.291262,0.459361
0.378641,0.370540
0.185999,0.327611
0.492080,0.306949
0.685743,0.672767
0.783853,0.782771
0.721513,0.540181
0.701073,0.557139
0.808891,0.610565
0.592744,0.640587
0.790496,0.790305
0.628002,0.612783
0.671180,0.477827
0.721002,0.662054
0.564129,0.521527
0.289729,0.545874
0.268268,0.370328
0.556464,0.334394
0.706694,0.697121
0.708227,0.705408
0.714870,0.488387
0.884517,0.484461
0.798160,0.772179
0.211037,0.455783
0.179356,0.231381
0.199285,0.267768
0.358712,0.222491
0.448646,0.298919
0.479816,0.383769
0.332141,0.466011
0.378130,0.332582
0.182422,0.382780
0.345427,0.296812
0.460399,0.317943
0.353602,0.417064
0.605008,0.397390
0.601942,0.565588
0.196730,0.463198
0.244762,0.319808
0.425652,0.310696
0.401124,0.368752
0.368421,0.313849
0.572816,0.416005
0.722024,0.688897
0.543178,0.516780
0.707205,0.397525
0.541134,0.400528
0.382218,0.409570
0.530404,0.319720
0.520695,0.394004
0.443536,0.487184
0.258559,0.397162
0.297394,0.337740
0.421053,0.262186
0.495657,0.334812
0.476239,0.329297
0.625958,0.317927
0.582013,0.608950
0.425141,0.504655
0.563107,0.414195
0.201329,0.352050
0.095554,0.256281
0.144609,0.212197
0.366888,0.250021
0.546755,0.406707
0.275933,0.457550
0.477772,0.346388
0.360756,0.358464
0.391415,0.324428
0.317833,0.300445
0.359223,0.291007
0.348493,0.348703
0.245273,0.356000
0.433827,0.363309
0.400102,0.406638
0.275933,0.365995
0.249361,0.301107
0.272611,0.287148
0.204394,0.318811
0.135411,0.307223
0.260480,0.210994
0.422708,0.287508
0.491058,0.392170
0.464997,0.449269
0.435360,0.389242
0.323454,0.346090
0.327542,0.322721
0.623403,0.328617
0.592233,0.527657
0.455800,0.498070
0.259581,0.441761
0.392948,0.366648
0.686765,0.395436
0.379152,0.515337
0.495657,0.348968
0.555953,0.512780
0.355646,0.395019
0.326520,0.468885
0.388861,0.394973
0.366888,0.421013
0.259070,0.355144
0.331630,0.381272
0.431783,0.395639
0.428206,0.342892
0.355646,0.446355
0.417476,0.373198
0.421053,0.414118
0.331119,0.414862
0.441492,0.349874
0.247828,0.420463
0.483904,0.379738
0.465508,0.502796
0.381196,0.501597
0.184977,0.432692
0.284108,0.321692
0.563618,0.355790
0.440981,0.539151
0.440215,0.483285
0.472151,0.456451
0.273889,0.448585
0.158406,0.371136
0.087890,0.288581
0.345938,0.236816
0.384773,0.410910
0.559530,0.410838
0.646398,0.463898
0.198263,0.277657
0.152785,0.334745
0.165560,0.220099
0.358201,0.198981
0.454778,0.419581
0.613694,0.462789
0.436382,0.571331
0.466019,0.421687
0.554931,0.446828
0.422586,0.400056
0.185999,0.344905
0.439448,0.344855
0.634134,0.458763
0.404701,0.354362
0.412366,0.328729
0.442003,0.481749
0.444558,0.371606
0.246806,0.374558
0.270312,0.343453
0.205416,0.383657
0.387839,0.379491
0.492591,0.477181
0.374553,0.421205
0.420542,0.363367
0.564129,0.409829
0.379663,0.430117
0.331119,0.401670
0.405212,0.424979
0.533470,0.452996
0.474195,0.447779
0.365355,0.392248
0.348493,0.400555
0.362289,0.436144
0.495657,0.423117
0.457333,0.511720
0.605008,0.468563
0.331119,0.286253
0.259070,0.401237
0.424630,0.353920
0.336229,0.389464
0.125703,0.404658
0.156873,0.251539
0.222279,0.341603
0.213592,0.391759
0.125703,0.228802
0.231477,0.223465
0.218191,0.341980
0.203883,0.371755
0.391926,0.266606
0.262647,0.404752
0.265202,0.340712
0.257026,0.175399
0.359223,0.187460
0.169136,0.398260
0.220746,0.312524
0.360756,0.290146
0.266224,0.383757
0.152785,0.362812
0.065406,0.250905
0.231988,0.119020
0.376597,0.292666
0.532192,0.375596
0.533470,0.365194
0.262136,0.524354
0.121615,0.287169
0.279509,0.231698
0.091467,0.275158
0.252938,0.174758
0.463464,0.346141
0.277976,0.360491
0.491569,0.430609
0.579969,0.396072
0.453756,0.403675
0.328053,0.353838
0.194686,0.325010
0.153807,0.284052
0.412877,0.322593
0.594277,0.474868
0.553398,0.513900
0.291262,0.445123
0.254982,0.347623
0.590189,0.317238
0.720067,0.458759
0.677611,0.509565
0.558888,0.577340
0.496679,0.430989
0.130812,0.113682
0.270056,0.244801
0.485437,0.297877
0.509453,0.449778
0.494124,0.444768
0.531426,0.473151
0.634134,0.448735
0.419009,0.531106
0.653040,0.362544
0.685743,0.486029
0.158917,0.291078
0.172713,0.167696
0.438937,0.271099
0.384262,0.488457
0.486970,0.435967
0.309658,0.393902
0.475728,0.372114
0.594277,0.457732
0.668881,0.466076
0.619315,0.567401
0.581502,0.634646
0.324987,0.548118
0.493102,0.470679
0.258048,0.376275
0.334696,0.379529
0.531937,0.404338
