REAL,ESTIMATE
0.427695,0.233121
0.265202,0.403024
0.217680,0.297620
0.156362,0.206304
0.045091,0.157430
0.004502,0.163225
0.136406,0.180607
0.213081,0.160779
0.434338,0.257529
0.283597,0.334460
0.188043,0.226039
0.151507,0.167730
0.064756,0.192530
0.257165,0.202286
0.177823,0.205360
0.283597,0.229193
0.229519,0.302810
0.096886,0.257951
0.113468,0.144038
0.119657,0.122739
0.106796,0.081653
0.191109,0.122514
0.274911,0.066932
0.196730,0.188197
0.129280,0.217257
0.323454,0.127507
0.226878,0.190822
0.067450,0.169148
0.053143,0.146880
0.222790,0.031493
0.266224,0.128099
0.258559,0.224789
0.361267,0.129383
0.398569,0.232926
0.538579,0.242779
0.339295,0.336498
0.262136,0.164760
0.328053,0.199301
0.209504,0.200144
0.146005,0.163936
0.142503,0.233870
0.278687,0.230509
0.271334,0.263806
0.291773,0.216876
0.289218,0.166955
0.328564,0.254744
0.517118,0.242560
0.538068,0.406227
0.623914,0.486730
0.493102,0.515895
0.271845,0.520696
0.305059,0.333279
0.249361,0.302113
0.224323,0.238129
0.446091,0.272161
0.644865,0.366644
0.715381,0.476258
0.748595,0.508620
0.732754,0.743762
0.543689,0.719026
0.632090,0.504341
0.615738,0.521932
0.530404,0.512986
0.401635,0.504769
0.436893,0.409858
0.356668,0.416702
0.311191,0.439518
0.437404,0.332464
0.285641,0.385011
0.357690,0.283591
0.400086,0.501076
0.131851,0.440298
0.204394,0.327584
0.321921,0.280641
0.335718,0.185942
0.399080,0.289225
0.552887,0.342907
0.457844,0.445305
0.089423,0.451271
0.000000,0.248850
0.097598,0.181562
0.279509,0.129453
0.349515,0.366432
0.360245,0.346347
0.297394,0.468581
0.269801,0.195668
0.306592,0.269839
0.288707,0.266390
0.288707,0.556514
0.266735,0.436525
0.147164,0.384773
0.233010,0.288590
0.283257,0.250223
0.280020,0.221410
0.231817,0.217891
0.185999,0.145300
0.193153,0.265187
0.202351,0.271634
0.163005,0.297347
0.249361,0.269259
0.353602,0.284902
0.299438,0.365908
0.328053,0.373822
0.449668,0.351542
0.363311,0.476053
0.165560,0.360049
0.264180,0.266058
0.292284,0.332494
0.313235,0.341077
0.447624,0.330636
0.605519,0.411486
0.572816,0.484290
0.401891,0.603953
0.339806,0.393172
0.239653,0.366155
0.383751,0.337877
0.343894,0.492056
0.252938,0.396239
0.115483,0.375937
0.139426,0.233401
0.430834,0.190106
0.532959,0.346641
0.550332,0.412294
0.451712,0.495994
0.455800,0.433077
0.535003,0.457709
0.456822,0.594773
0.279509,0.501207
0.341850,0.300512
0.216658,0.360740
0.251405,0.412003
0.600920,0.337345
0.544711,0.560988
0.462443,0.456799
