E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
11,3,0.8,5,0.541795,0.472902,0.124457,0.133967
11,3,0.8,6,0.558829,0.471624,0.122122,0.134129
11,3,0.8,7,0.569014,0.469977,0.120704,0.134338
11,3,0.8,8,0.584739,0.451463,0.118482,0.136664
11,3,0.8,9,0.607176,0.447237,0.115237,0.137189
11,3,0.8,10,0.621625,0.448557,0.113097,0.137026
11,3,0.8,11,0.612758,0.442184,0.114415,0.137815
11,3,0.8,12,0.637802,0.375500,0.110653,0.145820
11,3,0.8,13,0.623787,0.462211,0.112774,0.135319
11,3,0.8,14,0.636831,0.423216,0.110801,0.140139
11,3,0.8,15,0.636774,0.420368,0.110810,0.140484
