REAL,ESTIMATE
0.030221,0.134045
0.083688,0.120731
0.302983,0.148973
0.379698,0.154987
0.198373,0.174090
0.077489,0.185944
0.242542,0.131796
0.327005,0.162211
0.344828,0.219425
0.332042,0.196910
0.325843,0.189670
0.180550,0.212793
0.233630,0.178405
0.323131,0.180027
0.164880,0.229312
0.139653,0.178941
0.344828,0.187989
0.481209,0.261518
0.212321,0.262225
0.191399,0.217755
0.231693,0.225770
0.205347,0.214508
0.244091,0.209439
0.155947,0.237247
0.099380,0.226108
0.129407,0.198859
0.182100,0.218716
0.306858,0.229501
0.113134,0.244974
0.431616,0.220514
0.209221,0.337768
0.243317,0.244237
0.496707,0.265572
0.373499,0.352709
0.417668,0.318129
0.227431,0.328452
0.392096,0.260601
0.262689,0.314756
0.166602,0.286165
0.037195,0.189595
0.619915,0.207819
0.483534,0.420424
0.427741,0.364737
0.533902,0.339238
0.326230,0.409218
0.349477,0.343505
0.182487,0.274987
0.338628,0.289130
0.357226,0.361209
0.272375,0.337515
0.527315,0.320453
0.443239,0.382648
0.320806,0.346005
0.218686,0.312568
0.217966,0.302140
0.638512,0.285588
0.266176,0.446198
0.615265,0.391349
0.178225,0.491612
0.241767,0.251727
0.273537,0.290046
0.202247,0.278317
0.468036,0.269317
0.407594,0.422064
0.569547,0.428540
0.436265,0.424101
0.311895,0.385981
0.191399,0.289787
0.269275,0.311355
0.296397,0.330341
0.079427,0.350246
0.423867,0.257063
0.339403,0.339772
0.300659,0.360110
0.282836,0.254573
0.336304,0.336457
0.440139,0.361943
0.616040,0.372001
0.732274,0.562769
0.491282,0.597951
0.380473,0.408374
0.509105,0.362692
0.446339,0.437706
0.366525,0.360245
0.297559,0.389238
0.530027,0.400246
0.543200,0.421844
0.683456,0.472007
0.507555,0.558627
0.488183,0.411854
0.507555,0.469510
0.426966,0.480133
0.424642,0.418586
0.595893,0.491026
0.447114,0.585838
0.496707,0.436699
0.491282,0.482089
0.278187,0.417346
0.372724,0.338867
0.784192,0.448527
0.691205,0.653340
0.778768,0.576402
0.965517,0.704883
0.602092,0.663511
0.330105,0.539894
0.375048,0.378059
0.547075,0.393779
0.316931,0.598127
0.464936,0.389841
0.454088,0.527201
0.478109,0.470733
0.450213,0.453674
0.480434,0.494555
0.476559,0.555599
0.570322,0.528923
0.838435,0.571642
1.000000,0.765832
0.753196,0.738671
0.457962,0.474352
0.736924,0.560232
0.694305,0.514984
0.295234,0.333035
0.512979,0.415303
0.760945,0.572783
0.702828,0.692086
0.539326,0.604634
0.405269,0.509371
0.591244,0.494362
0.375048,0.583067
0.490508,0.432217
0.226269,0.591249
0.403719,0.429569
0.529252,0.501270
0.598993,0.564347
0.815963,0.544792
0.395196,0.522258
0.689655,0.523640
0.788842,0.692068
0.588144,0.610482
0.569159,0.571209
0.554824,0.622544
0.509880,0.566825
0.220070,0.228939
0.365750,0.315615
0.488183,0.439559
0.509880,0.599104
0.398295,0.480032
0.795816,0.526546
0.753196,0.730519
0.438590,0.644554
0.681131,0.545404
0.715227,0.692861
0.513754,0.514092
0.542425,0.496223
0.375048,0.651934
0.425417,0.456903
0.676482,0.445621
0.328555,0.637055
0.173576,0.336349
0.436265,0.283886
0.872530,0.602900
0.667183,0.650937
0.443239,0.633738
0.550949,0.610406
0.508330,0.499871
0.547850,0.523172
0.341728,0.424465
0.340953,0.443789
0.288260,0.452384
0.499806,0.465722
0.322356,0.414500
0.052693,0.287832
0.118559,0.240513
0.251065,0.343486
0.133282,0.333486
0.747772,0.285459
0.970167,0.727546
0.526928,0.699507
0.596668,0.488592
0.296784,0.322791
0.137931,0.255953
0.275087,0.283462
0.314607,0.413390
0.346377,0.365811
0.189074,0.379209
0.446339,0.250741
0.375048,0.341382
0.074390,0.286943
0.494382,0.268412
0.764045,0.429800
0.487408,0.494586
0.362650,0.487739
0.681131,0.448950
0.191399,0.445736
0.313832,0.235678
0.347927,0.314252
0.343278,0.343801
0.224719,0.338812
0.402945,0.267645
0.158078,0.358291
0.085238,0.157122
0.160403,0.268954
0.512979,0.262878
0.454088,0.394458
0.444014,0.442598
0.485858,0.466892
0.549399,0.439849
0.388222,0.439054
0.388997,0.349696
0.301434,0.348975
0.416118,0.342855
0.308408,0.397270
0.344053,0.302599
0.240217,0.348377
0.253390,0.266737
0.282061,0.287867
0.331654,0.321203
0.426966,0.404558
0.461836,0.432604
0.455637,0.463642
0.507555,0.470373
0.364975,0.430047
0.366525,0.354452
0.179775,0.392578
0.356451,0.300503
0.413793,0.357210
0.519179,0.415244
0.352189,0.440026
0.161178,0.320268
0.243704,0.223393
0.237117,0.325464
0.310732,0.336577
0.268113,0.376928
0.379698,0.384711
0.391321,0.426054
0.320031,0.397207
0.223169,0.328121
0.251065,0.277622
0.358776,0.336175
0.255715,0.364453
0.103061,0.314220
0.265014,0.171580
0.267338,0.305898
0.114684,0.291442
0.309182,0.220128
0.338628,0.359992
0.554824,0.364368
0.357226,0.445605
0.207671,0.361106
0.153429,0.264259
0.242542,0.259835
0.399845,0.292801
0.523828,0.381595
0.345602,0.421205
0.468036,0.383291
0.248741,0.405207
0.398061,0.251841
0.686505,0.355437
0.564485,0.482752
0.442464,0.397565
0.320444,0.407387
0.198423,0.357056
0.159087,0.282812
0.215420,0.269684
0.047269,0.290176
0.038745,0.226737
0.057342,0.191220
0.168927,0.205706
0.287415,0.206212
0.345250,0.297075
0.304674,0.378504
0.264098,0.255862
0.242073,0.303740
0.150058,0.306310
0.612166,0.277062
0.252287,0.450955
0.092928,0.289558
0.209221,0.195611
0.257265,0.253452
0.098411,0.248662
0.055792,0.198600
0.273537,0.192268
0.108485,0.300848
0.129407,0.200241
0.386672,0.227304
0.363425,0.396362
0.169702,0.292206
0.179000,0.256563
0.160403,0.253641
0.262689,0.212389
0.165052,0.274587
0.134057,0.234935
0.104223,0.182588
0.100736,0.180278
0.082914,0.201543
0.065091,0.173277
0.066641,0.173755
0.120723,0.220196
0.252001,0.200551
0.068191,0.240581
0.082526,0.201819
0.139481,0.186503
0.179000,0.226374
0.396745,0.219237
0.322356,0.225242
0.182875,0.261765
0.337854,0.212842
0.371949,0.232339
0.361875,0.239273
0.151104,0.262384
0.217745,0.195902
0.113909,0.223677
0.055017,0.207155
0.189849,0.189333
0.168927,0.237212
0.289810,0.207484
0.120883,0.247068
0.054243,0.216573
0.262689,0.173683
0.395196,0.240879
0.212321,0.305120
0.066641,0.202943
0.223169,0.184971
0.234018,0.232125
0.097637,0.206682
0.058892,0.176697
0.170477,0.206396
0.327780,0.187035
0.137156,0.234993
0.072840,0.186370
0.056567,0.176403
0.086013,0.202857
0.105386,0.207992
0.269663,0.187975
0.360325,0.275025
0.275862,0.317593
0.085238,0.247479
0.082139,0.179782
0.072065,0.189165
0.340178,0.181330
0.323131,0.235360
0.150329,0.247240
0.089113,0.190416
0.159628,0.190936
0.318481,0.198798
0.191399,0.216558
0.081364,0.223302
0.049593,0.205231
0.088338,0.176140
0.200697,0.175803
0.330105,0.228292
0.111585,0.268534
0.294460,0.176962
0.106160,0.217681
0.067416,0.184615
0.182875,0.188113
0.126308,0.218458
0.136381,0.191349
0.092212,0.179809
0.206897,0.189859
0.304533,0.208759
0.195273,0.223883
0.061217,0.225670
0.305308,0.179387
0.245641,0.218217
0.229368,0.236329
0.098411,0.217969
0.062766,0.194384
0.178225,0.196820
0.309957,0.185690
0.227044,0.236746
0.216970,0.226930
0.522278,0.231598
0.274312,0.283342
0.134831,0.224991
0.186749,0.190785
0.440139,0.230659
0.313832,0.283935
0.065866,0.239844
0.415343,0.199338
0.316157,0.304760
0.385122,0.261304
0.386672,0.269442
0.220845,0.310382
0.296009,0.225711
0.181325,0.278743
0.296784,0.246687
0.296009,0.266858
0.279737,0.325293
0.229368,0.301528
0.448663,0.241732
0.392096,0.339418
0.148005,0.354327
