REAL,ESTIMATE
0.567222,0.424056
0.863231,0.501115
0.784967,0.416230
0.712902,0.508244
0.653235,0.393367
0.457962,0.477299
0.178225,0.353647
0.239442,0.337434
0.572646,0.357735
0.690430,0.486394
0.640837,0.500909
0.343278,0.475514
0.352577,0.354481
0.477334,0.375687
0.161953,0.480537
0.494382,0.375515
0.546300,0.589444
0.647036,0.624385
0.688880,0.707584
0.364975,0.570625
0.444014,0.401820
0.402170,0.350562
0.339403,0.512572
0.619140,0.409227
0.506005,0.576203
0.552499,0.534606
0.501356,0.584443
0.372724,0.464057
0.254165,0.436230
0.278962,0.398988
0.507555,0.474597
0.327005,0.630410
0.405269,0.364176
0.547075,0.470358
0.560248,0.613347
0.448663,0.489395
0.312282,0.417526
0.466486,0.410989
0.383572,0.507869
0.457962,0.458657
0.127083,0.402409
0.328555,0.270504
0.560248,0.406057
0.414568,0.553650
0.367299,0.438266
0.445564,0.417954
0.624564,0.563709
0.415730,0.555771
0.251065,0.432448
0.352577,0.360285
0.574971,0.417946
0.378923,0.573023
0.184425,0.399206
0.198373,0.326615
0.136381,0.305488
0.299884,0.245279
0.413793,0.222092
0.338628,0.403069
0.232468,0.520626
0.275862,0.333870
0.234018,0.312911
0.154979,0.261181
0.290585,0.353113
0.206122,0.415146
0.236343,0.244956
0.414568,0.258591
0.282836,0.423356
0.246416,0.292327
0.366525,0.222824
0.305308,0.370888
0.253390,0.320028
0.319256,0.297149
0.358776,0.330149
0.109260,0.337814
0.295234,0.226887
0.259202,0.358859
0.141481,0.281344
0.284711,0.184229
0.141299,0.334752
0.049758,0.241132
0.070857,0.176332
0.153429,0.190711
0.076714,0.219961
0.157303,0.197945
0.444014,0.285530
0.443239,0.345830
0.496707,0.282021
0.158078,0.379678
0.059667,0.244572
0.077489,0.185806
0.189074,0.232204
0.217745,0.255772
0.141806,0.222500
0.103061,0.247893
0.044169,0.176518
0.223169,0.161435
0.361875,0.202039
0.182875,0.319912
0.130957,0.216831
0.216195,0.248994
0.181325,0.245855
0.265014,0.189555
0.260364,0.291476
0.275862,0.266913
0.421542,0.185429
0.289035,0.258130
0.153429,0.247667
0.079039,0.202754
0.143355,0.221490
0.048818,0.224453
0.110035,0.156959
0.265788,0.210900
0.210771,0.301430
0.209996,0.227881
0.188299,0.226032
0.031771,0.224162
0.034095,0.166373
0.030996,0.195533
0.027121,0.197511
0.281674,0.162886
0.316157,0.246292
0.062766,0.276495
0.020147,0.146855
0.175901,0.162666
0.358001,0.219631
0.278187,0.205773
0.079039,0.228802
0.052693,0.200642
0.031771,0.164398
0.037195,0.156199
0.058117,0.166800
0.054243,0.158355
0.164277,0.184555
0.264239,0.210258
0.208446,0.200714
0.279905,0.189252
0.179219,0.231193
0.045628,0.170870
0.041548,0.137409
0.079814,0.157422
