E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
10,3,0.8,5,0.606929,0.393290,0.036409,0.032664
10,3,0.8,6,0.564776,0.398121,0.038312,0.032534
10,3,0.8,7,0.568784,0.395734,0.038135,0.032598
10,3,0.8,8,0.615506,0.466275,0.036010,0.030636
10,3,0.8,9,0.716566,0.452474,0.030917,0.031030
10,3,0.8,10,0.719015,0.525217,0.030783,0.028895
10,3,0.8,11,0.724755,0.496756,0.030467,0.029749
10,3,0.8,12,0.733060,0.476187,0.030004,0.030351
10,3,0.8,13,0.723668,0.479441,0.030527,0.030256
10,3,0.8,14,0.715554,0.447265,0.030972,0.031177
10,3,0.8,15,0.750796,0.457349,0.028990,0.030892
