REAL,ESTIMATE
0.074310,0.076375
0.072619,0.081991
0.038000,0.072071
0.040576,0.057980
0.029708,0.063056
0.112310,0.039145
0.059013,0.100209
0.069882,0.079974
0.082200,0.073863
0.027695,0.061240
0.011593,0.045889
0.028017,0.041299
0.044964,0.070422
0.023026,0.050629
0.032204,0.028693
0.035907,0.053914
0.024636,0.038407
0.053458,0.023896
0.110136,0.046145
0.133886,0.086600
0.030030,0.083349
0.048627,0.038071
0.124628,0.059435
0.121729,0.098637
0.163352,0.104183
0.186136,0.135216
0.287618,0.167118
0.317285,0.294137
0.256260,0.295877
0.217937,0.210357
0.210853,0.205549
0.171886,0.158105
0.049915,0.147006
0.111505,0.083881
0.142903,0.087899
0.065132,0.093171
0.058530,0.075826
0.048386,0.067663
0.069560,0.053699
0.058208,0.064036
0.061187,0.073089
0.082763,0.068044
0.065937,0.070348
0.077248,0.069497
0.107318,0.082555
0.170437,0.117413
0.166009,0.169186
0.110941,0.154441
0.238870,0.118547
0.213831,0.207456
0.110056,0.136430
0.049110,0.054860
0.097094,0.091434
0.141212,0.118742
0.103454,0.116569
0.092585,0.128716
0.117543,0.123428
0.149585,0.126433
0.198857,0.124548
0.100153,0.147800
0.064568,0.082487
0.112632,0.071530
0.130263,0.092161
0.120844,0.072182
0.099670,0.088300
0.035504,0.066506
0.075115,0.064419
0.073907,0.103617
0.112551,0.110453
0.083407,0.092856
0.120441,0.105046
0.110619,0.127253
0.124950,0.091448
0.139119,0.101226
0.143869,0.116073
0.131712,0.100621
0.138073,0.143755
0.278561,0.173822
0.163513,0.162260
0.112793,0.086964
0.072297,0.103221
0.083005,0.108111
0.105386,0.118844
0.116979,0.136829
0.161098,0.133570
0.204573,0.146462
0.133725,0.158004
0.118026,0.087173
0.040979,0.092658
0.015417,0.074803
0.018276,0.027594
0.043072,0.053898
0.087835,0.080248
0.141534,0.092305
0.054988,0.094992
0.074390,0.067639
0.087996,0.089069
0.099106,0.092944
0.081475,0.083981
0.055390,0.059758
0.074310,0.078911
0.069560,0.085094
0.050882,0.078809
0.068030,0.087506
0.154818,0.105305
0.139361,0.137905
0.087433,0.105215
0.093793,0.073494
0.114967,0.104594
0.119354,0.131289
0.115369,0.133353
0.137791,0.124980
0.114162,0.147899
0.089526,0.114232
0.137912,0.103320
0.145077,0.133076
0.088962,0.095781
0.131551,0.116157
0.269705,0.224767
0.297641,0.270837
0.215603,0.194120
0.146405,0.120412
0.215925,0.142175
0.183641,0.182976
0.147090,0.127692
0.038564,0.114911
0.033331,0.053619
0.029023,0.038606
0.055712,0.060934
0.073746,0.081874
0.067627,0.081882
0.069479,0.079253
0.051123,0.057170
0.029064,0.056512
0.039449,0.054408
0.090411,0.062574
0.062394,0.092662
0.078174,0.067448
0.060623,0.106716
0.123259,0.101409
0.097255,0.089752
0.086869,0.094217
0.081555,0.082618
0.036229,0.055071
0.030915,0.041979
0.047259,0.030983
0.063481,0.061546
0.084776,0.059135
0.078979,0.069265
0.059416,0.078586
0.064166,0.060927
0.055551,0.073497
0.058369,0.056328
0.078577,0.064411
0.119073,0.083170
0.032526,0.091403
0.028339,0.050839
0.057161,0.052811
0.041462,0.073112
0.053780,0.047122
0.044521,0.058894
0.030593,0.063642
0.052814,0.042004
0.108526,0.057388
0.128251,0.085402
0.103212,0.097753
0.129700,0.088999
0.158119,0.104862
0.092666,0.115445
0.035182,0.086186
0.021898,0.054294
0.075759,0.053054
0.100153,0.091678
0.094356,0.096405
0.036551,0.098029
0.026970,0.058891
0.013364,0.041090
0.024797,0.020404
0.055712,0.036155
0.132195,0.080494
0.106755,0.106685
0.059335,0.085631
0.044360,0.076278
0.044723,0.057677
0.020610,0.051077
0.015941,0.025624
0.008775,0.028558
0.015297,0.036344
0.082763,0.042227
0.077208,0.084693
0.059174,0.072365
0.027856,0.044514
0.031479,0.017508
0.012479,0.028852
0.040737,0.021615
0.102327,0.059015
0.126479,0.091982
0.041221,0.102297
0.051204,0.042713
0.069157,0.064452
0.047178,0.068440
0.011593,0.043144
0.020610,0.028801
0.050238,0.044281
0.018920,0.065608
0.114886,0.039644
0.131471,0.094343
0.098704,0.108535
0.068594,0.066998
0.014089,0.053840
0.009178,0.033098
0.026970,0.026344
0.038886,0.045406
0.032043,0.055170
0.035424,0.043127
0.044843,0.045745
0.029627,0.045655
0.004710,0.033833
0.020288,0.007206
0.039047,0.022805
0.058852,0.043462
0.077530,0.069672
0.086547,0.074187
0.095242,0.076740
0.048788,0.084256
0.065856,0.047270
0.060543,0.057744
0.032848,0.061709
0.029064,0.049733
0.062233,0.048053
0.064166,0.078398
0.084373,0.063432
0.034136,0.075574
0.050318,0.040709
0.058932,0.044256
0.053699,0.053013
0.045085,0.053675
0.038564,0.053671
0.024595,0.048558
0.034136,0.032506
0.036793,0.041055
0.053619,0.047425
0.071653,0.050094
0.075839,0.063638
0.029225,0.065453
0.040254,0.040690
0.050721,0.051375
0.038322,0.062302
0.029788,0.042595
0.025119,0.040577
0.030915,0.042423
0.051043,0.039651
0.061348,0.053114
0.081394,0.062773
0.068755,0.066913
0.050479,0.061976
0.053538,0.053544
0.043797,0.056081
0.044280,0.052767
0.060301,0.052922
0.064890,0.062580
0.056276,0.066299
0.071170,0.059952
0.105467,0.069792
0.049352,0.088884
0.016464,0.050276
0.021979,0.029115
0.042267,0.044633
0.067869,0.053460
0.084776,0.066722
0.065534,0.083697
0.072699,0.063729
0.107801,0.062829
0.109653,0.087837
0.080731,0.089103
0.086302,0.074352
0.098050,0.093380
0.098736,0.092842
0.078617,0.090540
0.060462,0.079696
0.061187,0.074947
0.105225,0.072717
0.091458,0.102655
0.114484,0.087860
0.103695,0.100463
0.098462,0.097188
0.123984,0.088656
0.076161,0.096746
0.147492,0.089508
0.047742,0.090937
0.056598,0.057942
0.073585,0.079900
0.051284,0.073700
0.061670,0.064520
0.094517,0.071329
0.109291,0.098214
0.099831,0.089308
0.070606,0.083630
0.096691,0.078270
0.115611,0.088468
0.048305,0.084535
0.045810,0.069015
0.081153,0.075523
0.041059,0.089387
0.026246,0.063095
0.022059,0.058325
0.091941,0.057731
0.161581,0.079299
0.038725,0.110962
0.077047,0.050772
0.052492,0.068583
0.057322,0.076867
0.072699,0.054729
0.068996,0.091461
0.081233,0.093083
0.086144,0.071326
0.085339,0.095430
0.063280,0.090696
0.049674,0.073401
0.055390,0.067692
0.073505,0.088364
0.053055,0.080557
0.035142,0.065705
0.049432,0.060427
0.074954,0.061050
0.045890,0.073547
0.032204,0.056971
0.046051,0.043938
0.074712,0.052776
0.094034,0.067467
0.046534,0.082120
0.060060,0.062270
0.091136,0.088809
0.099831,0.076844
0.199944,0.088492
0.205136,0.161852
0.066661,0.130309
0.126077,0.071075
0.051043,0.113861
0.063521,0.077491
0.073706,0.077909
0.132920,0.101578
0.067305,0.133369
0.063199,0.076286
0.080026,0.075036
0.094276,0.075496
0.065373,0.086044
0.080911,0.058648
0.081394,0.085424
0.102327,0.081675
0.126157,0.076387
0.111344,0.073891
0.146446,0.098941
0.061911,0.082299
0.054665,0.084411
0.111022,0.067189
0.078738,0.092921
0.101159,0.081850
0.069157,0.101427
0.067788,0.125868
0.095564,0.077841
0.103132,0.087168
0.065132,0.108108
0.089848,0.070125
0.078657,0.089488
0.083810,0.083690
0.069399,0.081528
