REAL,ESTIMATE
46.000000,45.099448
49.000000,46.817488
49.000000,49.438156
48.000000,49.686798
54.000000,48.370801
58.000000,54.561550
60.000000,58.062401
62.000000,60.047594
87.000000,62.697141
93.000000,87.369972
120.000000,92.952205
132.000000,120.641668
140.000000,132.156884
139.000000,140.991141
138.000000,139.242235
147.000000,138.192458
181.000000,147.645914
161.000000,184.587040
167.000000,164.079413
172.000000,168.864893
157.000000,172.141108
166.000000,155.105365
158.000000,164.260647
141.000000,154.994951
136.000000,136.720903
130.000000,131.432421
130.000000,126.024811
140.000000,128.405733
190.000000,140.654637
200.000000,204.158757
171.000000,215.695602
136.000000,180.066029
71.000000,136.990165
57.000000,67.959520
78.000000,54.374900
62.000000,74.997672
68.000000,58.649216
106.000000,64.399899
90.000000,106.164919
107.000000,88.852218
143.000000,105.811564
152.000000,143.912733
149.000000,147.614506
146.000000,142.349549
139.000000,138.342427
126.000000,130.137676
132.000000,116.163186
132.000000,125.942959
111.000000,125.183065
94.000000,103.083389
76.000000,86.773404
52.000000,68.864439
73.000000,48.139638
60.000000,65.043875
59.000000,54.343662
63.000000,53.631329
68.000000,57.937545
68.000000,61.821996
62.000000,61.485002
67.000000,56.748126
51.000000,62.215513
43.000000,49.641056
37.000000,42.760606
45.000000,38.929998
47.000000,45.649467
27.000000,48.626250
26.000000,34.694252
37.000000,34.191292
37.000000,41.911906
39.000000,40.756884
44.000000,42.512479
39.000000,48.509557
41.000000,43.630466
47.000000,45.495495
36.000000,52.922242
44.000000,45.448468
43.000000,50.140772
50.000000,47.875834
42.000000,51.618527
39.000000,45.308315
40.000000,44.048045
48.000000,43.745318
52.000000,50.271119
51.000000,55.310946
63.000000,54.523984
73.000000,61.884771
69.000000,68.236487
65.000000,64.035830
74.000000,60.659507
80.000000,66.314711
84.000000,72.620367
85.000000,76.008754
88.000000,76.824778
91.000000,79.024757
93.000000,82.698689
84.000000,85.997292
87.000000,78.275546
88.000000,81.285588
81.000000,82.760395
103.000000,76.128666
112.000000,96.821011
119.000000,102.040890
119.000000,107.448959
83.000000,110.963461
87.000000,79.329167
87.000000,85.584850
98.000000,86.067976
113.000000,97.004928
99.000000,113.271746
91.000000,98.179907
93.000000,88.233883
115.000000,91.091865
127.000000,112.735363
133.000000,121.971181
160.000000,126.782159
153.000000,154.297123
150.000000,147.736102
152.000000,144.065967
158.000000,148.031351
136.000000,154.019708
130.000000,129.882212
129.000000,124.932670
125.000000,123.850619
131.000000,121.214028
125.000000,127.667118
116.000000,120.504944
127.000000,111.275133
141.000000,122.080929
185.000000,136.724653
200.000000,183.167151
202.000000,202.419213
228.000000,207.718064
243.000000,242.195190
240.000000,267.564999
228.000000,260.541961
232.000000,241.709277
197.000000,247.784131
179.000000,205.266333
177.000000,184.485539
173.000000,183.812574
157.000000,181.168660
158.000000,164.383545
154.000000,167.033533
159.000000,160.608305
156.000000,164.197972
145.000000,162.620837
144.000000,147.351109
164.000000,148.549952
190.000000,173.318758
175.000000,208.185753
155.000000,187.947161
147.000000,163.314247
172.000000,153.477566
150.000000,182.490917
183.000000,157.460486
208.000000,192.238359
176.000000,221.741986
130.000000,183.990219
107.000000,131.947009
99.000000,105.982561
71.000000,97.574172
124.000000,72.347243
62.000000,123.957743
49.000000,64.834811
53.000000,52.734589
51.000000,56.843411
52.000000,56.105083
50.000000,55.851033
54.000000,53.951874
52.000000,59.065451
45.000000,56.357688
58.000000,52.586691
54.000000,60.287411
76.000000,57.465789
60.000000,74.545669
69.000000,62.422196
70.000000,69.353302
76.000000,69.205136
81.000000,74.321761
78.000000,75.721723
51.000000,74.861087
57.000000,55.378728
65.000000,60.289552
56.000000,68.820141
55.000000,61.893891
54.000000,59.849808
46.000000,59.680509
47.000000,55.525161
50.000000,54.781894
52.000000,57.286464
45.000000,57.209464
51.000000,50.405133
50.000000,55.585284
51.000000,55.134461
40.000000,55.938776
47.000000,48.348000
49.000000,53.527344
48.000000,54.589745
49.000000,53.905230
42.000000,54.189965
31.000000,47.758834
31.000000,40.961302
48.000000,40.987389
47.000000,52.806303
50.000000,50.431398
50.000000,51.313975
37.000000,50.698727
57.000000,44.103342
49.000000,55.554153
42.000000,51.473685
36.000000,48.110661
45.000000,42.605756
37.000000,47.368245
40.000000,40.195266
35.000000,41.641430
31.000000,37.012482
37.000000,36.337567
38.000000,38.282508
39.000000,39.833340
48.000000,41.335806
44.000000,47.479066
41.000000,43.019708
45.000000,41.112610
40.000000,44.718510
35.000000,40.310954
42.000000,36.569314
51.000000,41.662827
43.000000,48.030204
48.000000,41.073768
51.000000,45.923527
37.000000,50.019682
27.000000,37.142163
35.000000,27.725130
31.000000,35.307237
35.000000,31.278095
46.000000,36.082777
43.000000,46.554586
40.000000,43.677399
39.000000,41.235686
40.000000,40.164298
45.000000,40.687313
44.000000,45.996118
43.000000,45.006180
52.000000,43.594408
58.000000,53.108450
56.000000,59.359027
49.000000,56.587174
58.000000,49.387632
73.000000,59.175829
67.000000,74.130622
61.000000,67.262502
55.000000,61.377599
64.000000,55.079822
59.000000,64.749544
47.000000,59.705667
46.000000,48.187121
50.000000,46.948463
45.000000,50.653982
47.000000,45.367911
44.000000,47.697616
41.000000,44.573058
39.000000,41.749246
39.000000,39.803631
37.000000,39.979036
37.000000,38.131776
37.000000,38.526444
58.000000,38.565416
47.000000,58.977045
55.000000,48.127336
56.000000,56.065213
61.000000,56.414807
76.000000,61.970069
93.000000,76.989491
79.000000,93.185460
77.000000,78.858965
77.000000,77.566021
63.000000,75.844406
55.000000,62.364382
47.000000,54.881189
59.000000,46.881205
56.000000,58.669408
56.000000,55.780206
48.000000,55.635559
53.000000,48.109753
52.000000,52.939806
51.000000,52.829958
46.000000,52.387116
47.000000,47.246565
51.000000,48.096955
50.000000,52.664869
54.000000,51.692858
59.000000,55.229307
50.000000,60.501682
49.000000,51.968594
46.000000,50.541773
51.000000,47.504215
56.000000,52.052754
41.000000,56.265998
72.000000,42.338002
59.000000,71.506667
62.000000,57.699749
57.000000,61.147335
51.000000,56.490675
40.000000,50.195003
44.000000,40.268229
44.000000,44.258238
37.000000,44.364169
55.000000,37.216512
40.000000,55.167148
27.000000,40.819510
28.000000,28.356594
35.000000,28.883196
36.000000,36.307086
32.000000,36.959782
30.000000,33.736979
35.000000,32.111276
42.000000,36.538337
48.000000,44.494775
61.000000,50.172563
82.000000,62.328902
90.000000,83.760331
101.000000,90.856738
124.000000,103.032075
139.000000,126.728104
129.000000,142.276777
131.000000,131.905549
96.000000,131.030235
95.000000,94.526267
107.000000,93.330801
105.000000,104.639882
101.000000,103.865589
100.000000,99.123192
97.000000,96.767009
94.000000,92.727713
83.000000,90.952597
85.000000,80.382960
81.000000,84.937810
89.000000,81.428997
107.000000,88.618932
113.000000,106.737139
125.000000,112.650436
131.000000,124.149241
136.000000,129.654699
142.000000,136.213910
188.000000,140.583978
258.000000,192.390388
254.000000,277.148958
220.000000,273.720593
207.000000,231.814273
215.000000,215.950237
195.000000,225.638770
177.000000,200.626968
168.000000,179.003761
142.000000,167.984496
141.000000,142.181551
163.000000,146.963136
146.000000,172.408390
139.000000,149.021647
161.000000,138.860646
152.000000,166.830704
134.000000,153.725790
139.000000,130.790532
141.000000,138.478032
136.000000,142.247073
78.000000,140.210262
69.000000,75.478739
123.000000,64.215816
119.000000,119.386435
118.000000,116.445324
107.000000,112.764501
89.000000,100.013579
104.000000,82.326752
89.000000,96.974813
73.000000,84.389530
83.000000,70.383490
106.000000,77.057089
107.000000,100.210684
65.000000,103.223234
46.000000,65.069417
38.000000,47.705573
39.000000,40.894354
36.000000,39.882956
36.000000,40.514698
29.000000,42.494245
27.000000,36.015233
