E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
10,3,0.8,5,0.499645,0.430349,0.121016,0.152313
10,3,0.8,6,0.508924,0.518602,0.119888,0.140019
10,3,0.8,7,0.525033,0.511436,0.117905,0.141057
10,3,0.8,8,0.566357,0.401985,0.112660,0.156059
10,3,0.8,9,0.580731,0.379750,0.110777,0.158934
10,3,0.8,10,0.612012,0.431201,0.106564,0.152200
10,3,0.8,11,0.623963,0.390249,0.104910,0.157583
10,3,0.8,12,0.594910,0.345792,0.108887,0.163227
10,3,0.8,13,0.603720,0.321198,0.107697,0.166267
10,3,0.8,14,0.655175,0.376843,0.100462,0.159306
10,3,0.8,15,0.643058,0.365410,0.102212,0.160761
