REAL,ESTIMATE
0.285967,0.126907
0.247642,0.220814
0.165684,0.194924
0.148585,0.133426
0.143573,0.175799
0.178656,0.198701
0.335495,0.216762
0.422759,0.309524
0.205778,0.350938
0.215802,0.143729
0.180425,0.139518
0.177476,0.168936
0.073703,0.163208
0.107311,0.236277
0.135024,0.236728
0.425708,0.178309
0.290684,0.352594
0.183373,0.281301
0.255307,0.191781
0.141509,0.223208
0.247642,0.155516
0.129127,0.203234
0.224646,0.251729
0.302476,0.249939
0.080189,0.174321
0.149764,0.181386
0.174528,0.190877
0.121462,0.162098
0.172170,0.227381
0.239976,0.198037
0.125590,0.227520
0.089623,0.175841
0.310731,0.158181
0.269458,0.258895
0.182193,0.274110
0.133844,0.275948
0.231722,0.193287
0.244693,0.148096
0.241156,0.149691
0.346108,0.235957
0.389741,0.246290
0.435731,0.231302
0.355542,0.354498
0.339033,0.339549
0.190448,0.289307
0.199882,0.166422
0.166274,0.289429
0.090802,0.234623
0.203420,0.249839
0.139151,0.270230
0.147995,0.247448
0.099057,0.227336
0.134434,0.174902
0.304245,0.227497
0.388709,0.244041
0.557341,0.280283
0.440448,0.401295
0.129717,0.330736
0.254127,0.055654
0.219340,0.128502
0.046580,0.261944
0.458137,0.209160
0.637382,0.379454
0.590538,0.510374
0.493778,0.561772
0.695755,0.701281
0.583137,0.485663
0.603184,0.456662
0.636203,0.475349
0.579599,0.510961
0.507075,0.444603
0.533019,0.461830
0.333726,0.384622
0.387382,0.358838
0.511792,0.428049
0.214623,0.423653
0.268278,0.303230
0.313679,0.320925
0.130307,0.437743
0.364976,0.372036
0.564269,0.290189
0.604363,0.246144
0.780660,0.547977
0.985259,0.681405
0.900943,0.766152
0.456958,0.583543
0.298939,0.223621
0.274764,0.178343
0.256486,0.226141
0.415684,0.418649
0.550708,0.658390
0.483491,0.534180
0.443396,0.475384
0.379717,0.279508
0.379127,0.089240
0.423054,0.363451
0.316627,0.298065
0.283608,0.212998
0.356722,0.272074
0.380896,0.000000
0.454599,0.405227
0.294811,0.450120
0.277123,0.433090
0.251179,0.433043
0.211085,0.271264
0.080189,0.331658
0.234080,0.347872
0.530660,0.243516
0.429835,0.448275
0.456958,0.363552
0.660967,0.419277
0.531840,0.545377
0.151533,0.451296
0.274764,0.219906
0.379717,0.273443
0.402123,0.329272
0.591392,0.331162
0.879717,0.528446
0.920401,0.604170
0.689858,0.737573
0.412146,0.778644
0.467571,0.291206
0.612028,0.345091
0.633844,0.529068
0.373231,0.666172
0.098467,0.532478
0.139151,0.461859
0.554245,0.224341
0.708726,0.403462
0.712264,0.543858
0.530660,0.547154
0.581368,0.509309
0.653302,0.569213
0.567217,0.463397
0.277123,0.385976
0.432783,0.373251
0.199882,0.276787
0.250590,0.421513
0.719929,0.338280
0.664505,0.616833
0.498821,0.633099
