REAL,ESTIMATE
0.791863,0.655534
0.576061,0.673567
0.459316,0.671284
0.650943,0.628098
0.482311,0.591114
0.199292,0.218169
0.139741,0.222716
0.374410,0.458269
0.581368,0.535681
0.401533,0.511125
0.343160,0.409917
0.219929,0.402816
0.369104,0.351823
0.496462,0.365773
0.532429,0.429025
0.506486,0.477457
0.471108,0.547327
0.550708,0.425599
0.743514,0.478541
0.596108,0.480099
0.458726,0.425504
0.533608,0.451624
0.608491,0.540616
0.676887,0.553124
0.794222,0.616110
0.772995,0.745986
0.891509,0.662291
0.991156,0.952644
0.967571,0.973761
0.831958,0.755731
0.655660,0.671195
0.790684,0.721621
0.247052,0.295023
0.675118,0.631988
0.876179,0.793874
0.173939,0.218538
0.269458,0.272615
0.268278,0.231576
0.546580,0.564835
0.298939,0.477094
0.430425,0.512487
0.731722,0.735547
0.835200,0.622014
0.344929,0.625592
0.507665,0.407764
0.643868,0.538462
0.589033,0.660947
0.749410,0.536126
0.418042,0.570273
0.656840,0.545450
0.404481,0.561194
0.306604,0.447032
0.629127,0.323762
0.626179,0.556182
0.705778,0.670500
0.573113,0.589545
0.617925,0.579911
0.935142,0.706330
0.594929,0.859171
0.562500,0.556333
0.290684,0.426143
0.729363,0.507974
0.761203,0.705400
0.717571,0.610189
0.571934,0.593838
0.247642,0.326669
0.334906,0.333326
0.223467,0.372812
0.574882,0.429985
0.685731,0.620255
0.760024,0.664313
0.674528,0.585389
0.747642,0.623089
0.704009,0.731209
0.562500,0.634521
0.747052,0.587519
0.702830,0.601154
0.803656,0.720466
0.729363,0.635295
0.517099,0.714697
0.394458,0.445328
0.294222,0.333219
0.414800,0.423975
0.380307,0.427154
0.625590,0.718953
0.607901,0.626449
0.787736,0.639031
0.689858,0.650218
0.242925,0.569724
0.285967,0.328016
0.261792,0.413568
0.221698,0.472269
0.430425,0.322663
0.458726,0.523333
0.174528,0.461944
0.342571,0.305474
0.094929,0.337429
0.277712,0.235094
0.448703,0.351881
0.300708,0.454504
0.485849,0.361060
0.522995,0.448834
0.265920,0.476083
0.263561,0.355114
0.443986,0.379209
0.364976,0.435905
0.252358,0.411179
0.397406,0.325530
0.507075,0.373098
0.449292,0.416230
0.540094,0.427121
0.371462,0.374016
0.256486,0.400614
0.501179,0.346150
0.505896,0.498931
0.461085,0.470688
0.302476,0.374148
0.283608,0.269536
0.434552,0.352209
0.485259,0.500850
0.528302,0.418929
0.622642,0.449414
0.613208,0.419027
0.334316,0.492954
0.500884,0.328383
0.282429,0.381147
0.200472,0.289720
0.213443,0.243190
0.227005,0.309167
0.378538,0.299280
0.175708,0.350692
0.334316,0.242822
0.340802,0.350759
0.250590,0.302498
0.231722,0.286474
0.358491,0.288609
0.281250,0.343842
0.220519,0.319057
0.309552,0.304869
0.405366,0.317256
0.263561,0.333707
0.260024,0.337822
0.272406,0.301381
0.222877,0.343440
0.218750,0.282606
0.408608,0.261502
0.320755,0.392644
0.371462,0.344850
0.289505,0.355144
0.183373,0.377962
0.150354,0.310480
0.205778,0.208403
0.299528,0.276516
0.340802,0.247621
0.325472,0.285562
0.178066,0.292933
0.182783,0.164580
0.441627,0.228632
0.271226,0.333679
0.257075,0.247559
0.343750,0.255909
0.270047,0.261959
0.096698,0.201746
0.218160,0.210607
0.218160,0.269385
0.135613,0.191078
0.238208,0.227039
0.304245,0.273150
0.280071,0.240100
0.254127,0.236808
0.289505,0.241927
0.243514,0.206851
0.165094,0.205870
0.262972,0.242188
0.148880,0.228561
0.304245,0.235606
0.302476,0.283485
0.218750,0.238559
0.149175,0.226642
0.179245,0.179937
0.355542,0.191507
0.335495,0.286800
0.280071,0.295590
0.275943,0.223220
0.265920,0.242052
0.138561,0.274691
0.083726,0.167226
0.168042,0.231062
0.228774,0.226683
0.367925,0.219925
0.402123,0.308842
0.199292,0.311615
0.146816,0.166195
0.052476,0.158775
0.140330,0.184645
0.162736,0.189575
