E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
11,5,0.8,5,0.560772,0.329911,0.117172,0.129371
11,5,0.8,6,0.591362,0.220238,0.113018,0.139557
11,5,0.8,7,0.579426,0.353010,0.114657,0.127122
11,5,0.8,8,0.611886,0.379511,0.110143,0.124491
11,5,0.8,9,0.605621,0.378513,0.111029,0.124591
11,5,0.8,10,0.570220,0.399748,0.115905,0.122444
11,5,0.8,11,0.597422,0.050463,0.112177,0.154002
11,5,0.8,12,0.610926,0.405138,0.110279,0.121893
11,5,0.8,13,0.615595,0.295462,0.109616,0.132655
11,5,0.8,14,0.618736,0.393688,0.109167,0.123060
11,5,0.8,15,0.648728,0.362936,0.104785,0.126143
