REAL,ESTIMATE
0.473541,0.524645
0.335142,0.412138
0.120760,0.323123
0.310719,0.262093
0.571235,0.297794
0.691316,0.506312
0.377205,0.480309
0.242198,0.362210
0.333107,0.314146
0.531208,0.342789
0.187924,0.499925
0.444369,0.316217
0.544098,0.387731
0.481682,0.370094
0.497965,0.391546
0.312754,0.472379
0.514925,0.341041
0.430801,0.381563
0.187924,0.319038
0.414518,0.284024
0.362958,0.498550
0.324288,0.346693
0.448440,0.366144
0.402307,0.391609
0.322931,0.362482
0.400950,0.350943
0.530529,0.358823
0.388738,0.471885
0.354138,0.446013
0.450475,0.325025
0.411126,0.404008
0.383989,0.396059
0.329037,0.472910
0.467436,0.348806
0.394166,0.426471
0.517639,0.318543
0.233379,0.455472
0.327001,0.198964
0.436228,0.356941
0.590909,0.459132
0.388738,0.546188
0.474898,0.385382
0.500000,0.465135
0.342605,0.421451
0.268657,0.385520
0.407734,0.328418
0.719810,0.392343
0.476934,0.601221
0.255767,0.412655
0.181479,0.344849
0.401967,0.000000
0.316147,0.447848
0.424016,0.376823
0.328358,0.375822
0.235414,0.308707
0.380597,0.253035
0.238128,0.428654
0.168928,0.242494
0.223951,0.112177
0.732630,0.289504
0.280190,0.514510
0.447761,0.285486
0.411126,0.463942
0.369742,0.374816
0.350746,0.334000
0.223881,0.365510
0.164179,0.053749
0.334464,0.277210
0.252374,0.375872
0.120760,0.249753
0.343284,0.184638
0.316147,0.232782
0.254410,0.338295
0.349389,0.259859
0.208277,0.250491
0.089552,0.282840
0.163501,0.015682
0.169607,0.275447
0.088874,0.201747
0.170963,0.189337
0.260516,0.231981
0.259159,0.199184
0.249661,0.148459
0.203528,0.058617
0.094980,0.228925
0.077341,0.216916
0.113297,0.193017
0.111940,0.194736
0.132972,0.171529
0.126866,0.250983
0.032225,0.228624
0.200814,0.118170
0.208277,0.260100
0.101085,0.257589
0.156038,0.199411
0.167571,0.207387
0.192673,0.245449
0.174355,0.254289
0.196744,0.260237
0.257123,0.253585
0.407056,0.250684
0.304613,0.286787
0.090909,0.290405
0.067843,0.203654
0.133650,0.199469
0.056309,0.222556
0.111262,0.197492
0.269335,0.237029
0.233379,0.276582
0.255767,0.240620
0.170963,0.228880
0.045455,0.239327
0.037992,0.206415
0.036635,0.199008
0.026459,0.192619
0.158073,0.186797
0.185210,0.205154
0.071235,0.226318
0.028494,0.188980
0.187924,0.156792
0.358887,0.205467
0.270014,0.237234
0.052917,0.239150
0.046811,0.179294
0.048847,0.155076
0.053596,0.171806
0.048847,0.177108
0.077341,0.183878
0.158752,0.152579
0.291045,0.154553
0.174355,0.212721
0.302578,0.204843
0.280190,0.257639
0.048847,0.202276
0.042741,0.136994
0.128223,0.171737
