REAL,ESTIMATE
0.259837,0.280507
0.274763,0.191305
0.272049,0.240692
0.198779,0.236156
0.130258,0.243774
0.206242,0.224644
0.324966,0.166531
0.376526,0.306004
0.162144,0.307331
0.491859,0.223841
0.263229,0.365663
0.308005,0.213543
0.589552,0.302720
0.469471,0.391287
0.485075,0.368404
0.282225,0.361195
0.445726,0.210557
0.335142,0.390251
0.179104,0.306075
0.066825,0.255861
0.476255,0.245371
0.469471,0.295782
0.416554,0.352418
0.523066,0.391698
0.238128,0.409379
0.443691,0.308093
0.204885,0.301452
0.393487,0.312624
0.443012,0.402218
0.317503,0.390020
0.535957,0.321688
0.388738,0.399257
0.356174,0.388979
0.349389,0.378929
0.242877,0.369531
0.693351,0.258012
0.474898,0.509626
0.641791,0.440747
0.242198,0.568053
0.286974,0.340684
0.379919,0.340476
0.405020,0.396180
0.538670,0.376043
0.453189,0.526659
0.548847,0.445870
0.396879,0.458193
0.348711,0.447383
0.236092,0.360845
0.330393,0.346091
0.313433,0.335996
0.239484,0.316399
0.568521,0.371109
0.407056,0.526813
0.259837,0.349464
0.228630,0.298057
0.411126,0.288164
0.483718,0.380461
0.503392,0.461471
0.699457,0.464151
0.582429,0.575771
0.571235,0.518248
0.544776,0.481268
0.548168,0.517932
0.428765,0.504860
0.388738,0.437497
0.482361,0.378848
0.371099,0.447664
0.531886,0.449663
0.578019,0.531579
0.490502,0.501760
0.514247,0.422384
0.527137,0.494683
0.421981,0.526745
0.613976,0.474081
0.485753,0.642916
0.473541,0.514491
0.510176,0.492726
0.388738,0.492724
0.406377,0.433392
0.624830,0.458588
0.620760,0.577984
0.755767,0.576275
0.947761,0.713344
0.657395,0.766018
0.464043,0.630281
0.563094,0.483424
0.606513,0.585323
0.470149,0.607817
0.569199,0.416818
0.548847,0.570490
0.495251,0.566196
0.457259,0.545362
0.405020,0.536922
0.438263,0.464306
0.554274,0.449806
0.877205,0.579484
1.000000,0.835605
0.815468,0.807804
0.560380,0.745266
0.755767,0.595319
0.815468,0.712896
0.272388,0.606686
0.289688,0.328685
0.521031,0.331327
0.521710,0.519681
0.565129,0.515387
0.458616,0.504360
0.569199,0.463175
0.441655,0.549560
0.426052,0.407135
0.327001,0.391762
0.377205,0.419179
0.487788,0.478198
0.670285,0.542759
0.725916,0.656474
0.478290,0.721478
0.688942,0.522885
0.772049,0.517076
0.521031,0.566392
0.492537,0.517701
0.469471,0.510970
0.414518,0.447055
0.230665,0.409822
0.393487,0.360088
0.469471,0.471061
0.558345,0.480227
0.509498,0.514407
0.795794,0.526368
0.747626,0.626444
0.601764,0.730681
0.759837,0.655014
0.697422,0.661794
0.357531,0.529108
0.513569,0.308171
0.414518,0.504218
0.425373,0.444813
0.689281,0.446443
0.375170,0.539576
0.121438,0.411834
0.430122,0.356292
0.877205,0.873674
0.820217,0.633977
0.635685,0.484120
0.728630,0.525370
0.694030,0.707538
0.620081,0.671802
0.344640,0.433509
0.311398,0.355465
0.310041,0.394736
0.465400,0.358195
0.314111,0.405699
0.051221,0.065167
0.107870,0.287863
0.235414,0.265750
0.119403,0.371879
0.579376,0.508748
0.914518,0.635740
0.573270,0.701817
0.565807,0.526756
0.298507,0.538595
0.170963,0.275698
0.194030,0.326009
0.220488,0.205149
0.223881,0.260633
0.187246,0.314994
0.393487,0.276204
0.320896,0.370881
0.153324,0.345860
0.356852,0.272082
0.601764,0.481169
0.475577,0.410110
0.425373,0.455086
0.837178,0.440190
0.279512,0.594344
0.298507,0.340689
0.376526,0.343075
0.447083,0.367161
0.202849,0.321022
0.240841,0.243122
0.151967,0.306707
0.145862,0.268474
0.160787,0.342705
0.551560,0.317638
0.498643,0.441730
0.506106,0.419321
0.349389,0.425619
0.422659,0.321860
0.279512,0.414429
0.400950,0.347014
0.305292,0.359599
0.383989,0.310072
0.261872,0.359508
0.430122,0.271909
0.225237,0.372963
0.250339,0.322968
0.356852,0.305966
0.339213,0.334668
0.510176,0.323963
0.602442,0.405714
0.528494,0.524762
0.549525,0.521514
0.473541,0.481783
0.459294,0.346444
0.208277,0.406796
0.266621,0.293772
0.426052,0.301390
0.487110,0.465624
0.413840,0.477854
0.164858,0.415503
0.176391,0.268252
0.207598,0.260796
0.315468,0.295171
0.223881,0.347130
0.256445,0.334099
0.291723,0.304117
0.244912,0.313218
0.287653,0.272861
0.179783,0.300253
0.299186,0.263157
0.172320,0.302934
0.117368,0.274738
0.190638,0.251760
0.225237,0.283566
0.129579,0.293261
0.381954,0.216497
0.227273,0.308929
0.401628,0.232473
0.369064,0.328386
0.209634,0.279642
0.188602,0.232035
0.330393,0.263515
0.246947,0.279264
0.295794,0.278611
0.227273,0.264029
0.347354,0.273528
0.281208,0.327887
0.239484,0.268988
0.278155,0.203997
0.092944,0.220146
0.101764,0.210101
0.238128,0.235576
0.127544,0.251090
0.101085,0.192867
0.213026,0.209267
0.106513,0.239916
0.103121,0.218174
0.143826,0.227092
0.221167,0.180455
0.344640,0.244015
0.131615,0.319905
0.069199,0.236682
0.077001,0.217476
0.248304,0.198248
0.239484,0.275286
0.607191,0.247884
0.333786,0.400505
0.101764,0.297675
0.120760,0.213675
0.274084,0.236339
0.067164,0.282806
0.026459,0.175505
0.257123,0.177094
0.117368,0.251621
0.083446,0.227621
0.417232,0.225860
0.427408,0.366058
0.168928,0.323018
0.214383,0.221685
0.106513,0.249497
0.313433,0.217101
0.198100,0.273909
0.133650,0.226885
0.076662,0.200338
0.075305,0.188081
0.035278,0.186818
0.114654,0.191551
0.051560,0.206852
0.221845,0.188400
0.214383,0.244157
0.024423,0.225308
0.043419,0.176157
0.082768,0.191028
0.101085,0.163963
0.399250,0.196750
0.380986,0.283491
0.363423,0.304430
0.345860,0.269416
0.328297,0.216112
0.310734,0.255578
0.293172,0.259658
0.275609,0.191375
0.258046,0.199586
0.240483,0.188284
0.222920,0.212376
0.205357,0.256713
0.187794,0.236572
0.170232,0.224129
0.152669,0.192612
0.135106,0.213522
0.117543,0.244117
0.099980,0.213643
0.082417,0.195850
0.064854,0.180506
0.047292,0.187590
0.029729,0.183172
0.024339,0.193094
0.214383,0.184261
0.429444,0.201280
0.121438,0.283575
0.020353,0.196747
0.000000,0.141052
0.034600,0.130446
0.137042,0.153420
0.301221,0.172666
0.376526,0.233871
0.302578,0.256829
0.050204,0.235806
0.021031,0.160902
0.021710,0.185716
0.392809,0.162771
0.424016,0.234992
0.131615,0.232358
0.059023,0.169629
0.157395,0.178256
0.307327,0.208280
0.174355,0.228487
0.033243,0.187555
0.003392,0.133844
0.109227,0.146840
0.210312,0.188463
0.411126,0.233194
0.054274,0.282831
0.351425,0.135184
0.118046,0.198350
0.026459,0.176668
0.157395,0.194598
0.094301,0.213605
0.118725,0.154424
0.044098,0.171690
0.169607,0.149890
0.361601,0.204576
0.215739,0.264775
0.010855,0.151458
0.364993,0.138336
0.276798,0.223484
0.166893,0.227794
0.053596,0.215559
0.026459,0.115438
0.193351,0.133080
0.313433,0.153301
0.177748,0.240499
0.177748,0.231890
0.490502,0.139433
0.267300,0.186602
0.122117,0.201868
0.232700,0.210235
0.501357,0.245457
0.317503,0.206811
0.041384,0.157911
0.259159,0.154016
0.195387,0.262211
0.370421,0.239920
0.378562,0.164776
0.161465,0.219145
0.206920,0.195921
0.082090,0.249690
0.248304,0.207885
0.310041,0.189111
0.237449,0.209084
0.196744,0.175752
0.473541,0.244493
0.464043,0.383100
0.089552,0.311400
0.403664,0.171846
0.266621,0.263290
0.238806,0.274624
0.555631,0.239528
0.337856,0.294834
0.114654,0.238095
0.208955,0.182592
0.318182,0.253834
0.549186,0.316934
0.511533,0.347944
0.400271,0.363957
0.367028,0.323338
0.422659,0.288744
0.329715,0.357599
0.209634,0.365328
0.173677,0.231519
0.043419,0.207068
0.184532,0.208227
0.251018,0.270908
0.237449,0.369438
0.459294,0.297870
0.493216,0.357991
0.563772,0.378857
0.313433,0.412959
0.177069,0.335487
0.276119,0.262808
0.305292,0.273816
0.350068,0.293002
0.394166,0.349086
0.295115,0.329378
0.255767,0.286160
0.375848,0.311025
0.328358,0.322467
0.161465,0.346735
0.466079,0.232599
0.300543,0.382900
0.304274,0.299040
0.352103,0.339430
0.375170,0.386255
0.280190,0.197725
0.468792,0.332661
0.362280,0.400312
0.521031,0.368458
0.622795,0.443303
0.460651,0.486167
0.443012,0.423787
0.257802,0.376424
0.392130,0.293717
0.236092,0.403833
0.290366,0.307336
0.472863,0.326717
0.322931,0.477313
0.511872,0.342686
0.402307,0.477663
0.717096,0.396570
0.286974,0.551290
0.550204,0.351564
0.564450,0.449103
0.383311,0.546454
0.202171,0.441551
0.383989,0.316350
0.468114,0.381269
0.402307,0.447554
0.261872,0.448646
0.511533,0.310269
0.547490,0.488816
0.373134,0.472509
0.424695,0.374834
0.381275,0.428718
0.672320,0.668764
0.561737,0.552502
0.379919,0.536687
0.570556,0.404971
0.686567,0.580166
0.596336,0.601602
0.613297,0.486125
0.580733,0.594637
0.712347,0.524958
0.453867,0.648578
0.495251,0.430054
0.494573,0.492389
0.516961,0.546602
0.641113,0.498167
0.591588,0.632739
0.583446,0.551274
0.467436,0.672899
0.413161,0.500772
0.481343,0.452684
0.723881,0.551851
0.506784,0.650462
0.452510,0.467967
0.446404,0.511870
0.497286,0.471494
0.599050,0.538060
0.687924,0.550014
0.636364,0.660600
0.387381,0.622331
0.619403,0.378226
0.785617,0.614867
0.607870,0.654675
0.592266,0.543929
0.681818,0.603401
0.525780,0.587892
0.688602,0.530383
0.701493,0.626856
0.825645,0.655849
0.696065,0.775423
0.651289,0.672475
0.597693,0.652553
0.579376,0.541483
0.714383,0.563164
0.275441,0.637967
0.578019,0.378791
0.558345,0.613132
0.721167,0.567862
0.771370,0.682636
0.513569,0.667597
0.611940,0.523133
0.544776,0.608223
0.572592,0.539793
0.749661,0.486477
0.517639,0.596176
0.663501,0.519178
0.744912,0.645272
0.518996,0.629960
0.567164,0.505066
0.658752,0.495162
0.553596,0.575560
0.479647,0.472034
0.427408,0.491072
0.345319,0.457996
0.377205,0.383189
0.440977,0.472914
0.058345,0.235282
0.307327,0.241233
0.671642,0.368653
0.408412,0.642115
0.350746,0.450605
0.322252,0.406138
0.395522,0.378665
0.385346,0.379746
0.086160,0.377423
0.090909,0.274295
0.179783,0.236906
0.105834,0.264213
0.092266,0.239354
0.067843,0.273703
0.124830,0.168166
0.048847,0.154102
0.258480,0.200170
0.184532,0.184365
0.555631,0.293447
0.594980,0.431471
0.465400,0.424691
0.367028,0.371797
0.195387,0.293339
0.172999,0.265427
0.450475,0.274024
0.502035,0.381560
0.455224,0.391442
0.281547,0.349197
0.321574,0.258052
0.393487,0.274321
0.385346,0.382359
0.590909,0.331984
0.345319,0.510517
0.474898,0.327848
0.847354,0.435826
0.628901,0.697766
0.553596,0.509013
