E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
10,5,0.8,5,0.461028,0.329425,0.042380,0.031948
10,5,0.8,6,0.652062,0.415977,0.034051,0.029815
10,5,0.8,7,0.604739,0.415951,0.036293,0.029815
10,5,0.8,8,0.657641,0.455569,0.033777,0.028786
10,5,0.8,9,0.670241,0.431957,0.033150,0.029404
10,5,0.8,10,0.688052,0.408430,0.032242,0.030007
10,5,0.8,11,0.703078,-0.157342,0.031456,0.041971
10,5,0.8,12,0.613778,0.162851,0.035876,0.035696
10,5,0.8,13,0.715805,0.454595,0.030774,0.028812
10,5,0.8,14,0.732414,0.372253,0.029862,0.030911
10,5,0.8,15,0.741690,0.420066,0.029339,0.029710
