REAL,ESTIMATE
0.105279,0.081773
0.130303,0.108645
0.033661,0.108672
0.041496,0.055875
0.106374,0.056695
0.127944,0.098879
0.166280,0.119200
0.182121,0.129101
0.286936,0.140250
0.302397,0.320050
0.242364,0.255440
0.200657,0.175211
0.183637,0.139841
0.180393,0.142094
0.039390,0.124453
0.096516,0.059434
0.136285,0.087975
0.052955,0.092680
0.046046,0.056007
0.041075,0.059932
0.068121,0.064841
0.059696,0.070706
0.057337,0.061271
0.085226,0.067056
0.065510,0.075464
0.070059,0.072937
0.099886,0.075327
0.169398,0.087837
0.169735,0.111996
0.113199,0.115002
0.241606,0.096824
0.214475,0.170739
0.105026,0.156142
0.042676,0.099591
0.095926,0.076913
0.138055,0.115151
0.091882,0.126679
0.093651,0.093387
0.109913,0.090510
0.156254,0.107441
0.195770,0.116788
0.084383,0.132619
0.053208,0.086601
0.105026,0.070272
0.112778,0.103838
0.098117,0.103777
0.085647,0.092229
0.029869,0.087487
0.062982,0.053165
0.060623,0.072118
0.116064,0.064115
0.077811,0.092271
0.123562,0.082326
0.104099,0.116562
0.127691,0.113504
0.124152,0.120859
0.128112,0.126505
0.118338,0.124537
0.126933,0.106760
0.279100,0.104273
0.161562,0.202753
0.111345,0.124736
0.072924,0.098820
0.067700,0.076994
0.084341,0.072079
0.076800,0.081829
0.133168,0.093706
0.176981,0.110120
0.104183,0.128367
0.084804,0.086328
0.037452,0.081786
0.010911,0.061403
0.017652,0.042887
0.033155,0.045917
0.091882,0.058037
0.129629,0.088157
0.036694,0.127945
0.062729,0.064432
0.057926,0.070824
0.063909,0.063535
0.077305,0.073171
0.049754,0.078492
0.064835,0.066401
0.049838,0.073546
0.043771,0.064124
0.062898,0.083031
0.157349,0.083489
0.134010,0.128539
0.077305,0.109306
0.077221,0.075920
0.079328,0.088992
0.076379,0.079874
0.095673,0.082553
0.121540,0.092946
0.089101,0.104684
0.076631,0.097882
0.107385,0.074624
0.110924,0.084688
0.077137,0.086811
0.143868,0.067246
0.274129,0.114248
0.301091,0.280712
0.225176,0.231943
0.120445,0.123587
0.197708,0.099874
0.156422,0.153563
0.135274,0.113946
0.034335,0.093069
0.028942,0.047179
0.022454,0.043386
0.040148,0.044907
0.052618,0.061243
0.048321,0.075053
0.056663,0.074714
0.042929,0.063840
0.024308,0.059116
0.034082,0.055517
0.082698,0.061184
0.058095,0.079812
0.060370,0.065290
0.046636,0.068848
0.089228,0.066788
0.088427,0.093673
0.079328,0.086075
0.078991,0.073496
0.027257,0.081704
0.026162,0.071709
0.037199,0.070010
0.058179,0.067040
0.073430,0.068612
0.068543,0.086168
0.044698,0.088893
0.051776,0.083202
0.046720,0.068020
0.046131,0.052769
0.065257,0.061118
0.104689,0.087094
0.027089,0.111595
0.021106,0.058477
0.045793,0.047756
0.036862,0.063604
0.044445,0.056035
0.038379,0.060331
0.027847,0.052596
0.049079,0.042233
0.093146,0.056960
0.111345,0.092076
0.082361,0.111451
0.127522,0.090555
0.143194,0.109052
0.081687,0.122433
0.027847,0.072290
0.018242,0.046563
0.067279,0.038386
0.088427,0.062340
0.088933,0.074949
0.024392,0.075488
0.020769,0.044370
0.009984,0.042275
0.016893,0.037866
0.050933,0.040440
0.120866,0.054704
0.090197,0.098697
0.053629,0.074269
0.040233,0.056932
0.032986,0.053808
0.023803,0.046769
0.014534,0.042189
0.008384,0.035685
0.006277,0.032421
0.077221,0.033671
0.066858,0.072301
0.060201,0.073891
0.028268,0.062247
0.029111,0.049548
0.007288,0.053528
0.035683,0.034159
0.088175,0.047393
0.108817,0.072214
0.040064,0.090850
0.049585,0.056544
0.053545,0.062809
0.040738,0.059729
0.012933,0.046896
0.018031,0.037619
0.042170,0.042535
0.016388,0.052182
0.115052,0.042108
0.126596,0.093274
0.089101,0.099657
0.066605,0.076647
0.014282,0.063835
0.009900,0.038518
0.019253,0.035232
0.030543,0.040147
0.030459,0.042654
0.029574,0.047538
0.036525,0.051670
0.021443,0.052041
0.001137,0.041759
0.020685,0.031319
0.037157,0.037674
0.051439,0.042212
0.066268,0.057161
0.075073,0.068576
0.072334,0.064442
0.037621,0.069040
0.048827,0.053765
0.056494,0.055588
0.028184,0.054621
0.014956,0.039346
0.050175,0.031680
0.046636,0.049090
0.071913,0.060647
0.026667,0.078270
0.035177,0.045225
0.044951,0.051628
0.042086,0.049178
0.043350,0.047272
0.033324,0.046968
0.022033,0.044807
0.024898,0.038729
0.033913,0.037208
0.047563,0.050985
0.068206,0.059948
0.071829,0.061530
0.028184,0.063304
0.036188,0.041715
0.050849,0.043387
0.027847,0.051798
0.028942,0.041739
0.023634,0.043574
0.023297,0.038821
0.047731,0.044354
0.052113,0.056450
0.064330,0.053760
0.069554,0.058203
0.045119,0.062762
0.048153,0.050559
0.038210,0.056150
0.033576,0.049337
0.050849,0.047075
0.060201,0.052571
0.049669,0.057705
0.062055,0.052231
0.095252,0.054333
0.052871,0.070894
0.017483,0.053030
0.018326,0.035789
0.043434,0.039260
0.064161,0.052917
0.076294,0.064744
0.064246,0.065143
0.061887,0.060482
0.094073,0.059918
0.090197,0.073939
0.111993,0.070012
0.053066,0.082251
0.062898,0.052002
0.085647,0.061037
0.054640,0.073063
0.039811,0.059919
0.045035,0.049655
0.091629,0.049423
0.089775,0.075257
0.106627,0.070086
0.088849,0.078682
0.085310,0.073390
0.114547,0.072789
0.060454,0.088806
0.134263,0.062083
0.045035,0.107430
0.045119,0.053626
0.074188,0.048383
0.043519,0.062414
0.054977,0.049017
0.081940,0.054526
0.103172,0.070641
0.097864,0.084152
0.067953,0.079753
0.110840,0.068588
0.109323,0.094625
0.043940,0.094085
0.040064,0.049466
0.074778,0.049027
0.036357,0.068201
0.024898,0.047759
0.017230,0.041930
0.070206,0.040143
0.101557,0.069864
0.097664,0.088819
0.093770,0.088597
0.089877,0.086095
0.085983,0.079360
0.082090,0.078433
0.078196,0.071380
0.074303,0.076749
0.070410,0.065121
0.066516,0.063119
0.062623,0.065631
0.058729,0.062197
0.054836,0.063400
0.050943,0.062965
0.047049,0.061125
0.043156,0.059867
0.039262,0.053029
0.035369,0.058954
0.031476,0.052185
0.027582,0.046012
0.023689,0.044868
0.024497,0.043883
0.085815,0.042807
0.035851,0.075168
0.049754,0.049467
0.080844,0.061032
0.086237,0.078099
0.174453,0.088377
0.170325,0.139784
0.048574,0.136762
0.105531,0.055105
0.033998,0.088085
0.054893,0.045813
0.062055,0.056552
0.115389,0.062860
0.054135,0.097441
0.042845,0.059272
0.067700,0.058382
0.077980,0.072049
0.049248,0.073539
0.064835,0.054305
0.056241,0.063880
0.082277,0.057764
0.118591,0.070169
0.081687,0.087675
0.124489,0.069546
0.045793,0.094045
0.047984,0.050090
0.092219,0.055657
0.069385,0.073585
0.093567,0.065291
0.056241,0.077934
0.055146,0.061122
0.074525,0.070094
0.089438,0.077891
0.052492,0.072503
0.073430,0.059505
0.061971,0.064174
0.069301,0.066763
0.051186,0.067517
0.058179,0.061006
0.046636,0.063009
0.056410,0.053579
0.083625,0.065552
0.108986,0.081485
0.136032,0.084380
0.078317,0.103743
