REAL,ESTIMATE
25.333333,26.660456
49.291667,30.353526
43.875000,41.016398
31.833333,38.861295
33.333333,33.774781
59.916667,34.840910
59.291667,49.482561
23.520833,49.828293
17.000000,38.988059
29.458333,31.197326
32.291667,31.905471
26.791667,33.669506
35.500000,38.346252
34.625000,42.435733
26.000000,38.035459
6.187500,28.638237
7.666667,20.654109
17.604167,21.860932
26.666667,23.823781
30.041667,28.832846
28.041667,30.651303
29.291667,28.964551
22.750000,26.304773
20.375000,23.952986
20.833333,25.180999
29.166667,25.731697
29.291667,29.518658
13.791667,29.136972
11.541667,22.611194
12.875000,20.832740
15.541667,20.979266
24.875000,22.094973
31.708333,27.209514
17.791667,30.409743
18.500000,21.172008
29.083333,21.584343
24.875000,27.687458
14.000000,26.422961
10.791667,21.178468
16.666667,20.472315
29.291667,22.049106
42.083333,28.014272
41.958333,36.403360
38.291667,37.364800
35.666667,32.825215
34.416667,31.536975
31.312500,34.130614
41.625000,34.696849
31.416667,41.244905
29.875000,34.214442
22.500000,33.966399
15.750000,29.419562
14.333333,26.599275
28.083333,23.901804
39.791667,31.824594
24.958333,35.816603
24.375000,27.951908
31.864583,27.083001
52.572917,30.363421
50.500000,41.761563
30.041667,43.313785
18.083333,37.069041
13.625000,25.059783
13.958333,22.614688
28.958333,24.403008
42.416667,35.462142
51.015805,39.711882
69.525862,44.383170
51.125000,54.005771
71.500000,45.896877
93.250000,65.523328
91.125000,90.471560
112.895833,119.314164
70.833333,101.981255
43.333333,70.764376
30.916667,47.866212
29.083333,41.921643
31.500000,42.514618
35.166667,42.121492
28.916667,44.060755
20.708333,35.800332
25.958333,29.265679
29.500000,29.370027
38.500000,31.062977
47.000000,34.820964
62.708333,39.020888
75.125000,51.947176
73.375000,62.629442
49.041667,65.462909
11.083333,56.440764
5.812500,27.798017
8.395833,23.678422
34.708333,26.662773
34.916667,39.954197
17.583333,37.923874
12.208333,26.588873
8.541667,18.863734
15.250000,17.827833
25.208333,20.945779
15.000000,27.772142
10.000000,22.115161
14.750000,17.290815
36.416667,19.804735
44.833333,30.593067
26.166667,35.684261
7.833333,27.544004
19.875000,16.321465
8.500000,22.680580
28.375000,18.732206
40.708333,32.088478
47.916667,36.497941
38.083333,38.837772
38.541667,30.366754
47.958333,38.984854
47.750000,41.131125
16.041667,44.542202
39.208333,25.994653
33.875000,44.069463
31.375000,34.061533
43.791667,35.775295
58.416667,45.365579
67.583333,53.406765
37.541667,65.508812
33.708333,40.767235
29.500000,45.254144
41.833333,34.351550
45.708333,42.398580
50.041667,46.654996
26.833333,54.101009
20.041667,31.620731
43.333333,28.090836
63.375000,41.512431
56.625000,53.318267
43.125000,52.483166
60.041667,43.562587
54.479167,55.601153
89.000000,48.879348
25.666667,0.000000
68.500000,43.503668
27.833333,78.927842
23.541667,32.407626
56.791667,37.239277
54.937500,54.255420
51.958333,53.053145
