E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
10,3,0.8,5,0.449896,0.359219,0.113377,0.141912
10,3,0.8,6,0.469556,0.311685,0.111333,0.147082
10,3,0.8,7,0.419760,0.245058,0.116441,0.154036
10,3,0.8,8,0.430438,0.454068,0.115365,0.130989
10,3,0.8,9,0.449073,0.432574,0.113462,0.133542
10,3,0.8,10,0.416196,0.477451,0.116798,0.128153
10,3,0.8,11,0.505592,0.388807,0.107485,0.138597
10,3,0.8,12,0.431200,0.446804,0.115288,0.131857
10,3,0.8,13,0.510562,0.396789,0.106943,0.137689
10,3,0.8,14,0.482866,0.437986,0.109927,0.132904
10,3,0.8,15,0.503724,0.463273,0.107687,0.129880
