REAL,ESTIMATE
0.411211,0.246203
0.308806,0.320303
0.246813,0.295118
0.147740,0.254741
0.124565,0.231517
0.176709,0.214819
0.271727,0.227691
0.404983,0.281563
0.312283,0.364275
0.240440,0.289038
0.226535,0.265291
0.125145,0.276188
0.089803,0.202060
0.144264,0.170914
0.236385,0.199564
0.398610,0.237629
0.277520,0.329534
0.241020,0.294881
0.241599,0.265761
0.099652,0.256326
0.202202,0.167955
0.207995,0.229312
0.336037,0.270392
0.282735,0.283841
0.044612,0.268766
0.149479,0.152682
0.140209,0.262551
0.136153,0.211486
0.255504,0.162393
0.287659,0.260971
0.241599,0.270522
0.137312,0.225433
0.408073,0.189580
0.510815,0.365166
0.113446,0.402961
0.064132,0.176917
0.274623,0.168617
0.415991,0.279992
0.371958,0.340513
0.487254,0.312314
0.482039,0.362481
0.598494,0.385487
0.392236,0.520935
0.381808,0.392829
0.443221,0.347299
0.297798,0.361344
0.261298,0.314410
0.088644,0.287219
0.180185,0.211908
0.234067,0.257450
0.210313,0.272520
0.228853,0.238428
0.264195,0.256971
0.444380,0.274717
0.491889,0.360453
0.610081,0.381804
0.469873,0.501963
0.173233,0.333456
0.289687,0.203808
0.224797,0.306917
0.181344,0.290897
0.398610,0.264650
0.608922,0.368561
0.714368,0.455990
0.727115,0.533161
0.654114,0.578922
0.523754,0.512510
0.624565,0.427885
0.720162,0.498256
0.647740,0.520695
0.472190,0.462388
0.467555,0.467290
0.390498,0.510251
0.290267,0.447704
0.359791,0.380418
0.208575,0.444664
0.274044,0.412818
0.257242,0.366527
0.181924,0.345292
0.368482,0.240822
0.473349,0.337652
0.546929,0.435625
0.646582,0.542505
0.811703,0.539193
0.804751,0.608210
0.326188,0.529177
0.190614,0.355078
0.151796,0.313111
0.291715,0.277079
0.404983,0.421679
0.444380,0.511109
0.347045,0.461732
0.320973,0.361467
0.355736,0.331546
0.346466,0.353457
0.348204,0.356657
0.316918,0.391351
0.176709,0.367206
0.257242,0.259971
0.390498,0.319623
0.529548,0.426203
0.319235,0.424751
0.198146,0.325731
0.228273,0.259142
0.262457,0.289936
0.174971,0.339792
0.297219,0.364360
0.467555,0.303952
0.435689,0.342413
0.472190,0.392709
0.545481,0.469876
0.444380,0.492843
0.161066,0.417166
0.269409,0.242882
0.313441,0.285187
0.428158,0.277281
0.624565,0.366642
0.910197,0.503364
0.798957,0.643326
0.585168,0.666495
0.249710,0.519624
0.337196,0.341160
0.467555,0.414985
0.521437,0.456916
0.333720,0.502904
0.117613,0.358010
0.155272,0.259207
0.476825,0.264745
0.537080,0.490117
0.539977,0.465972
0.522016,0.466115
0.494786,0.476960
0.566049,0.428768
0.516222,0.459017
0.283893,0.400963
0.396292,0.268504
0.203360,0.325814
0.343569,0.317552
0.699884,0.357333
0.581112,0.555166
0.502897,0.533022
