REAL,ESTIMATE
0.706257,0.651064
0.522016,0.529402
0.329664,0.359175
0.430475,0.458208
0.377752,0.400336
0.187138,0.330936
0.123986,0.176019
0.344728,0.373404
0.489571,0.445292
0.222480,0.438868
0.222480,0.206913
0.209733,0.312955
0.223059,0.260421
0.274044,0.280888
0.378911,0.336885
0.327346,0.367447
0.280417,0.332401
0.477984,0.314962
0.595597,0.449534
0.455968,0.339488
0.201043,0.393069
0.441483,0.332152
0.593859,0.434815
0.531866,0.566953
0.704809,0.539378
0.596756,0.562869
0.790846,0.517590
1.000000,0.884969
0.829664,0.882963
0.760139,0.642436
0.619351,0.592471
0.734067,0.518818
0.205678,0.455002
0.567787,0.473812
0.697567,0.609264
0.160487,0.533874
0.242758,0.221375
0.194670,0.386012
0.450174,0.485604
0.246234,0.424917
0.334878,0.371998
0.581692,0.415872
0.698725,0.518477
0.192352,0.428271
0.375435,0.289101
0.448436,0.352226
0.369641,0.478385
0.417729,0.288104
0.380649,0.385217
0.425261,0.478492
0.343569,0.361164
0.321553,0.403474
0.480301,0.333497
0.446698,0.427714
0.518540,0.523336
0.403824,0.462906
0.564890,0.524982
0.723059,0.611229
0.413094,0.596552
0.546350,0.463948
0.206837,0.519052
0.622248,0.344875
0.588644,0.563648
0.661066,0.503504
0.603129,0.582802
0.194670,0.394965
0.313441,0.320935
0.148899,0.308700
0.362109,0.360591
0.626883,0.383414
0.747972,0.578005
0.608922,0.519727
0.557358,0.585123
0.712051,0.520490
0.510429,0.705757
0.584589,0.461044
0.538239,0.545328
0.538239,0.546141
0.542874,0.442673
0.405562,0.564753
0.219003,0.352164
0.161066,0.309768
0.374276,0.271547
0.498262,0.392842
0.517381,0.526644
0.587486,0.432451
0.687717,0.574647
0.627462,0.609859
0.209154,0.501774
0.151217,0.256757
0.089224,0.322248
0.225377,0.255852
0.344728,0.238749
0.344148,0.419380
0.156431,0.345567
0.279258,0.226984
0.087486,0.339359
0.219583,0.129898
0.296640,0.286398
0.219583,0.366938
0.491889,0.342772
0.372538,0.438719
0.060255,0.329735
0.137891,0.179054
0.260718,0.267023
0.307068,0.345863
0.245655,0.281690
0.414253,0.359572
0.545771,0.426098
0.426419,0.403110
0.549247,0.398766
0.421784,0.457435
0.284473,0.403577
0.370220,0.295202
0.436848,0.382439
0.366165,0.504938
0.185400,0.321032
0.191194,0.303104
0.231750,0.219018
0.358053,0.368288
0.374855,0.356966
0.560255,0.389652
0.480301,0.417949
0.310545,0.367382
0.462920,0.394135
0.190035,0.328713
0.078795,0.249385
0.105446,0.252361
0.230591,0.274294
0.392816,0.282086
0.181344,0.330298
0.342410,0.270648
0.274623,0.300279
0.285052,0.285443
0.224797,0.315973
0.269988,0.249658
0.226535,0.323433
0.180185,0.214527
0.381808,0.252744
0.351101,0.368188
0.213789,0.269200
0.197567,0.255045
0.213789,0.218118
0.136153,0.254126
0.181924,0.153878
0.368482,0.264294
0.334299,0.361212
0.346466,0.275764
0.333140,0.375229
0.332561,0.369032
0.145423,0.321930
0.161066,0.174198
0.373696,0.259008
0.373407,0.301365
0.218424,0.261651
0.139629,0.251456
0.208575,0.231323
0.433372,0.267469
0.233488,0.369123
0.265353,0.277606
0.294902,0.257455
0.192932,0.235378
0.154693,0.214163
0.212630,0.223425
0.190035,0.240008
0.159907,0.219774
0.179606,0.219829
0.235805,0.224998
0.221321,0.237699
0.177868,0.197128
0.212051,0.183039
0.255504,0.213886
0.184241,0.240633
0.267671,0.205048
0.152375,0.230609
0.267092,0.175065
0.248552,0.273778
0.165122,0.258687
0.086327,0.191986
0.128042,0.148903
0.331402,0.190139
0.225956,0.251303
0.234647,0.225236
0.314021,0.229652
0.165701,0.264578
0.071263,0.180175
0.114137,0.154192
0.264774,0.218699
0.247393,0.231636
0.370800,0.209747
0.467555,0.334701
0.152375,0.385782
0.137891,0.194489
0.147740,0.174894
0.263615,0.247813
0.283893,0.226372
0.496524,0.264041
0.264774,0.419497
0.315180,0.244749
0.405562,0.369747
0.330823,0.426122
0.135574,0.309035
0.285632,0.207955
0.359791,0.342503
0.217845,0.324288
0.205678,0.250838
0.301854,0.267761
0.281576,0.299215
0.206837,0.322408
0.166860,0.320160
0.136732,0.244710
0.166161,0.154994
0.191313,0.199405
0.334878,0.234081
0.367323,0.250844
0.341541,0.273463
0.263036,0.287143
0.272306,0.276087
0.268250,0.246326
0.446698,0.237222
0.378911,0.319625
0.288528,0.304142
0.276941,0.262371
0.291425,0.304339
0.380070,0.304213
0.364426,0.312088
0.439166,0.364334
0.288528,0.371532
0.155272,0.242487
0.388760,0.215461
0.345886,0.342736
0.542874,0.317378
0.307648,0.412263
0.458285,0.316089
0.460023,0.429525
0.429896,0.446729
0.369641,0.374293
0.389340,0.310601
0.246234,0.308586
0.352260,0.273713
0.312862,0.303868
0.324450,0.341559
0.338355,0.298000
0.401506,0.319224
0.214948,0.358270
0.262167,0.258362
0.388760,0.251577
0.234647,0.333799
0.165701,0.218321
0.056779,0.226203
0.257822,0.217333
0.377752,0.237335
0.493048,0.312593
0.538818,0.432901
0.301854,0.399809
0.230012,0.235033
0.292005,0.277630
0.100232,0.272950
0.265933,0.216870
0.424102,0.338462
0.348783,0.354720
0.471611,0.323520
0.588065,0.448451
0.520278,0.499190
0.451333,0.378521
0.210313,0.402693
0.184241,0.285166
0.389340,0.264434
0.466976,0.417286
0.531286,0.428632
0.283314,0.428366
0.271147,0.333967
0.577057,0.464392
0.774044,0.539105
0.899768,0.686479
0.601390,0.652326
0.432793,0.398638
0.150058,0.290650
0.194670,0.281442
0.509560,0.296393
0.500869,0.425890
0.495944,0.460068
0.601970,0.514463
0.673812,0.523891
0.448436,0.534888
0.672654,0.377707
0.798957,0.514670
0.183662,0.208327
0.126304,0.279980
0.486095,0.362700
0.439166,0.480549
0.536501,0.408977
0.322711,0.384250
0.460023,0.385404
0.662225,0.458982
0.703650,0.648863
0.651796,0.531432
0.642526,0.601790
0.380649,0.375771
0.522016,0.267513
0.263615,0.379282
0.296060,0.283978
0.515064,0.257251
0.419467,0.482823
0.311124,0.413607
0.252607,0.331858
0.095597,0.354613
0.129200,0.175139
0.350521,0.240818
0.197567,0.369974
0.167439,0.224433
0.252607,0.299996
0.349942,0.323286
0.398030,0.377541
0.492468,0.417932
0.699884,0.366987
0.331981,0.465716
0.427578,0.282548
0.147161,0.399649
0.358633,0.362884
0.460023,0.353965
0.185979,0.417384
0.095017,0.341779
0.395713,0.216928
0.587486,0.405848
0.280417,0.454472
0.196408,0.281810
0.399768,0.286840
0.574739,0.400024
0.501738,0.486164
0.190035,0.437018
0.447277,0.290976
0.605446,0.459920
0.669177,0.543120
0.693511,0.586373
0.637312,0.460753
0.357474,0.486851
0.067207,0.225770
0.220162,0.201239
0.480301,0.395605
0.480881,0.386144
0.575898,0.542181
0.270568,0.526959
0.247393,0.417335
0.500579,0.439013
0.618772,0.428653
0.482619,0.550258
0.254345,0.460481
0.422364,0.334552
0.574739,0.366971
0.653534,0.478736
0.664542,0.536090
0.457706,0.420703
0.215527,0.395925
0.420046,0.379859
0.287949,0.400039
0.449015,0.454374
0.548088,0.599694
0.458864,0.482072
0.444959,0.377154
0.551564,0.469511
0.481460,0.473166
0.359212,0.413559
0.252607,0.376967
0.344148,0.404417
0.500579,0.336458
0.256663,0.446768
0.331981,0.319207
0.416570,0.338245
0.556199,0.444092
0.718424,0.470255
0.699305,0.547029
0.488992,0.615236
0.501159,0.455756
0.478563,0.431249
