E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
11,2,0.8,5,0.630863,0.498769,0.105271,0.107467
11,2,0.8,6,0.640525,0.499908,0.103884,0.107345
11,2,0.8,7,0.644528,0.512165,0.103304,0.106021
11,2,0.8,8,0.652112,0.491374,0.102196,0.108257
11,2,0.8,9,0.668271,0.462073,0.099795,0.111332
11,2,0.8,10,0.681472,0.444357,0.097789,0.113150
11,2,0.8,11,0.689710,0.426291,0.096516,0.114975
11,2,0.8,12,0.699536,0.488559,0.094976,0.108556
11,2,0.8,13,0.696146,0.499669,0.095510,0.107371
11,2,0.8,14,0.700646,0.471461,0.094800,0.110356
11,2,0.8,15,0.714069,0.471193,0.092650,0.110384
