REAL,ESTIMATE
0.402787,0.351960
0.545484,0.317188
0.502723,0.456142
0.659193,0.398648
0.616272,0.563808
0.530429,0.455872
0.441384,0.536825
0.408712,0.456869
0.135170,0.471103
0.196028,0.320603
0.490070,0.358129
0.543882,0.378271
0.470211,0.366075
0.263933,0.390554
0.312620,0.309486
0.424728,0.374099
0.169763,0.436343
0.398463,0.302434
0.456118,0.431471
0.489430,0.395965
0.572069,0.469895
0.390135,0.491186
0.378603,0.395096
0.306214,0.425780
0.277386,0.433311
0.518258,0.343137
0.393338,0.442096
0.421525,0.392082
0.449712,0.450493
0.320307,0.407008
0.285394,0.354356
0.218450,0.321636
0.386931,0.314806
0.299808,0.420803
0.334401,0.291890
0.460602,0.379982
0.468930,0.306137
0.395259,0.417432
0.281230,0.365391
0.434337,0.289639
0.411915,0.427696
0.443306,0.488954
0.164638,0.438658
0.321589,0.292826
0.452274,0.365663
0.362588,0.361473
0.335682,0.348412
0.357463,0.319467
0.494555,0.395102
0.416400,0.464992
0.245996,0.414510
0.360026,0.335865
0.524023,0.378017
0.342729,0.447580
0.205637,0.352402
0.208200,0.316879
0.155669,0.283417
0.287636,0.285050
0.423447,0.244480
0.252402,0.340882
0.185138,0.226538
0.222934,0.326164
0.187700,0.279310
0.131326,0.251994
0.192825,0.259399
0.222934,0.278844
0.270980,0.278653
0.356823,0.294880
0.267777,0.332148
0.212044,0.315143
0.246637,0.304743
0.212684,0.294563
0.230621,0.263130
0.248559,0.269072
0.272902,0.284611
0.138373,0.284293
0.311980,0.238549
0.243434,0.295700
0.254324,0.259817
0.232543,0.296555
0.134529,0.270708
0.057655,0.232398
0.125561,0.194409
0.136451,0.228555
0.065343,0.203101
0.113389,0.216043
0.311339,0.221382
0.308776,0.277863
0.310058,0.251206
0.152466,0.300260
0.058937,0.216402
0.053171,0.194922
0.147341,0.159005
0.167201,0.193400
0.135170,0.178416
0.098014,0.220896
0.041640,0.178392
0.176169,0.166709
0.292761,0.169734
0.142217,0.209157
0.083921,0.173682
0.074952,0.163385
0.158232,0.130071
0.247277,0.143446
0.219090,0.175406
0.224856,0.195759
0.349135,0.200186
0.266496,0.241409
0.117873,0.193062
0.046124,0.168353
0.102498,0.145896
0.034914,0.147497
0.101858,0.125594
0.258808,0.154478
0.222934,0.190699
0.231903,0.197266
0.147982,0.207322
0.022422,0.177171
0.021140,0.136396
0.017297,0.157961
0.000000,0.128939
0.267136,0.121836
0.251121,0.179645
0.098014,0.193297
0.005766,0.173992
0.169122,0.144643
0.351057,0.153250
0.240871,0.174454
0.017297,0.171051
0.037796,0.122203
0.021140,0.119242
0.007687,0.094005
0.047406,0.110361
0.024984,0.111032
0.126201,0.137240
0.273543,0.135004
0.194106,0.150255
0.299167,0.111630
0.158232,0.162939
0.019859,0.126409
0.043562,0.113972
0.071108,0.093047
