REAL,ESTIMATE
0.062140,0.158931
0.033312,0.105116
0.020500,0.100293
0.042921,0.117150
0.248559,0.105864
0.049968,0.142659
0.119795,0.112364
0.035234,0.137934
0.138373,0.118445
0.175529,0.129191
0.063421,0.116247
0.125561,0.132296
0.299808,0.130289
0.361947,0.156087
0.196028,0.140220
0.102498,0.151576
0.299167,0.121865
0.294683,0.195053
0.318386,0.143189
0.370275,0.203011
0.307495,0.211940
0.181935,0.208015
0.260730,0.157598
0.337604,0.206280
0.180013,0.191495
0.129404,0.247951
0.329276,0.219332
0.456118,0.271233
0.178091,0.253157
0.187060,0.263658
0.274183,0.279853
0.210762,0.263172
0.249840,0.234927
0.179372,0.311935
0.098014,0.278214
0.180013,0.236780
0.208840,0.249360
0.298527,0.255521
0.147341,0.282556
0.434978,0.264692
0.217489,0.378959
0.276746,0.245037
0.498398,0.274633
0.391416,0.346418
0.442665,0.319114
0.234465,0.329429
0.365791,0.284811
0.306855,0.280636
0.168482,0.309687
0.031390,0.246039
0.557976,0.233789
0.470852,0.373736
0.448430,0.353536
0.585522,0.396097
0.373479,0.417909
0.418962,0.317872
0.294683,0.350140
0.303652,0.339574
0.301730,0.310759
0.297245,0.351893
0.525945,0.346857
0.395900,0.413847
0.407431,0.344044
0.258808,0.382409
0.249199,0.322422
0.693786,0.348035
0.285074,0.503608
0.593209,0.341233
0.201153,0.207532
0.313901,0.284521
0.331839,0.310470
0.233184,0.273434
0.475977,0.295776
0.363869,0.406594
0.514414,0.382043
0.473414,0.414480
0.262652,0.413562
0.131326,0.331663
0.283152,0.304081
0.343370,0.310064
0.087764,0.361607
0.385010,0.241366
0.380525,0.392787
0.313261,0.329655
0.303011,0.371278
0.370275,0.362878
0.479821,0.317670
0.547726,0.394116
0.691224,0.519151
0.547726,0.480735
0.404869,0.430828
0.551570,0.415900
0.454196,0.453342
0.390775,0.358390
0.333760,0.420742
0.442665,0.385365
0.453876,0.465378
0.657912,0.403652
0.481102,0.537864
0.457399,0.461938
0.513773,0.514957
0.483024,0.488906
0.372838,0.482625
0.557976,0.424695
0.440743,0.536925
0.497758,0.434704
0.501602,0.553566
0.267777,0.407900
0.401666,0.354531
0.776425,0.808169
0.694427,0.593601
0.818065,0.577466
0.862268,0.778589
0.605381,0.777529
0.384369,0.560402
0.369635,0.451041
0.493274,0.408147
0.351698,0.432463
0.440102,0.399894
0.467649,0.423518
0.513773,0.422698
0.489430,0.507529
0.519539,0.425341
0.514414,0.494962
0.625240,0.614872
0.898142,0.687255
1.000000,0.697631
0.782191,0.701938
0.529789,0.626836
0.758488,0.674906
0.727098,0.551113
0.278668,0.455305
0.440102,0.379917
0.648302,0.504512
0.639974,0.500593
0.506726,0.513353
0.421525,0.526938
0.581678,0.476435
0.400384,0.516944
0.417681,0.471337
0.258808,0.478605
0.412556,0.369720
0.562460,0.492741
0.668802,0.609025
0.834081,0.596924
0.461243,0.652309
0.721332,0.716118
0.818065,0.670651
0.643818,0.593166
0.576553,0.493849
0.573350,0.632506
0.437540,0.546974
0.228700,0.444827
0.322229,0.358328
0.484946,0.342603
0.478539,0.386246
0.347213,0.404560
0.811659,0.783541
0.777707,0.672120
0.491992,0.591796
0.615951,0.591242
0.673927,0.592237
0.441384,0.502057
0.500961,0.522328
0.367072,0.565225
0.386931,0.390232
0.639974,0.527981
0.399744,0.505812
0.171044,0.314547
0.434978,0.317686
0.911595,0.916024
0.843049,0.616036
0.553491,0.673692
0.751441,0.585205
0.734145,0.723250
0.612748,0.473437
0.391416,0.496135
0.409353,0.406084
0.318386,0.454669
0.549007,0.376507
0.362588,0.492660
0.083280,0.361772
0.144138,0.271114
0.240231,0.275355
0.206919,0.295141
0.677771,0.288595
0.924407,0.613101
0.488789,0.666484
0.594491,0.559380
0.349776,0.419048
0.132607,0.369326
0.237668,0.237122
0.304933,0.302558
0.291480,0.303941
0.207559,0.303518
0.458680,0.295401
0.393978,0.343038
0.095452,0.301321
0.431134,0.281528
0.679052,0.430079
0.467008,0.474218
0.353619,0.392251
0.728379,0.395521
0.204997,0.396024
0.322870,0.266099
0.330557,0.374788
0.383088,0.315855
0.188981,0.327833
0.344651,0.310200
0.161435,0.394273
0.163357,0.243749
0.319827,0.295821
0.827835,0.827085
0.464446,0.565402
0.426009,0.399103
0.393978,0.511741
0.534914,0.357603
0.311980,0.374900
0.264795,0.291001
0.531490,0.366935
0.304292,0.444468
0.229981,0.324573
0.319987,0.325484
0.251762,0.312536
0.215887,0.280723
0.324792,0.306645
0.295324,0.380237
0.431775,0.346590
0.435618,0.398152
0.416400,0.417195
0.454196,0.383037
0.352979,0.381466
0.312620,0.374247
0.202434,0.344875
0.265855,0.312205
0.364510,0.313075
0.406150,0.327590
0.307495,0.393088
0.086483,0.318333
0.280589,0.265978
0.222934,0.339921
0.233184,0.282766
0.202434,0.317566
0.282511,0.321449
0.263293,0.324493
0.269058,0.297521
0.247918,0.302486
0.180653,0.291367
0.308136,0.267049
0.207559,0.322528
0.100577,0.289560
0.197950,0.244944
0.227098,0.288137
