E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
10,2,0.8,5,0.678422,0.424561,0.030497,0.026864
10,2,0.8,6,0.534565,0.338191,0.036690,0.028810
10,2,0.8,7,0.615085,-0.016562,0.033366,0.035706
10,2,0.8,8,0.696885,0.400344,0.029609,0.027424
10,2,0.8,9,0.661022,0.258844,0.031312,0.030488
10,2,0.8,10,0.704553,0.182283,0.029232,0.032024
10,2,0.8,11,0.467546,0.233149,0.039243,0.031012
10,2,0.8,12,0.754926,0.289006,0.026624,0.029861
10,2,0.8,13,0.703135,0.456123,0.029302,0.026117
10,2,0.8,14,0.604777,0.237594,0.033810,0.030922
10,2,0.8,15,0.784836,0.078034,0.024946,0.034004
