REAL,ESTIMATE
0.086581,0.089859
0.158832,0.106628
0.162320,0.143615
0.111031,0.092116
0.094996,0.108919
0.086960,0.099027
0.057392,0.091502
0.060045,0.065855
0.054359,0.075867
0.078014,0.068121
0.070963,0.091679
0.034572,0.078408
0.032676,0.051701
0.021986,0.053204
0.100834,0.043312
0.050114,0.100559
0.067096,0.060860
0.079303,0.070521
0.019105,0.074108
0.008036,0.041670
0.018802,0.034654
0.028431,0.049443
0.023730,0.041398
0.026990,0.030109
0.039803,0.041370
0.021228,0.043633
0.051327,0.030556
0.099090,0.050892
0.129644,0.084658
0.026535,0.101199
0.042911,0.028754
0.113116,0.058625
0.112509,0.089412
0.143252,0.097691
0.160804,0.125744
0.243897,0.135790
0.266035,0.182008
0.226763,0.186668
0.183245,0.165871
0.176118,0.143404
0.141547,0.137468
0.041092,0.115536
0.096247,0.073171
0.135709,0.101419
0.055269,0.110882
0.050834,0.071917
0.041698,0.068172
0.057923,0.058006
0.049583,0.055227
0.053904,0.055095
0.072403,0.070250
0.065428,0.068749
0.064139,0.064480
0.095982,0.074068
0.148218,0.098171
0.143669,0.143217
0.097195,0.107993
0.233359,0.097215
0.189613,0.203691
0.082714,0.106324
0.042532,0.091078
0.082259,0.069618
0.122745,0.086294
0.093101,0.107763
0.078089,0.098784
0.103942,0.090368
0.124185,0.103551
0.160425,0.122589
0.083169,0.065094
0.053374,0.082965
0.092570,0.062855
0.095754,0.095431
0.100682,0.104239
0.077407,0.103766
0.026459,0.092399
0.057998,0.051815
0.055800,0.068161
0.092949,0.066900
0.067703,0.079419
0.101895,0.071710
0.094314,0.108235
0.108946,0.093559
0.110690,0.104760
0.113950,0.092470
0.099697,0.090661
0.114556,0.104646
0.237832,0.129505
0.134951,0.106584
0.093632,0.109610
0.063988,0.099601
0.062168,0.075643
0.081274,0.065372
0.081729,0.086725
0.115239,0.091668
0.152995,0.104827
0.112585,0.144439
0.095451,0.113599
0.033586,0.085895
0.013230,0.054403
0.014102,0.034699
0.028279,0.039067
0.069447,0.052984
0.117513,0.074619
0.036846,0.098852
0.052388,0.050566
0.051024,0.060356
0.057619,0.051267
0.066111,0.055824
0.045262,0.064282
0.063457,0.056974
0.051554,0.062956
0.043518,0.058510
0.052843,0.062740
0.132600,0.067894
0.121531,0.109234
0.071418,0.100099
0.075967,0.069030
0.080516,0.069637
0.076649,0.073373
0.091281,0.074972
0.113647,0.121257
0.082335,0.103320
0.064215,0.078742
0.104625,0.068376
0.104852,0.093393
0.075739,0.091885
0.115618,0.112306
0.218954,0.209433
0.251024,0.226822
0.186808,0.224379
0.113798,0.125252
0.172555,0.106826
0.138287,0.122890
0.121001,0.137086
0.036240,0.106723
0.026080,0.073332
0.024716,0.052475
0.038893,0.044784
0.051857,0.061469
0.046929,0.067518
0.055724,0.060193
0.044731,0.055597
0.024412,0.045949
0.031842,0.043890
0.078999,0.055418
0.052009,0.080433
0.062017,0.065420
0.051175,0.072017
0.091509,0.068434
0.076118,0.085569
0.080364,0.077076
0.080970,0.081086
0.034344,0.075648
0.031691,0.037105
0.045186,0.038941
0.056785,0.056356
0.069371,0.060051
0.072100,0.066980
0.056255,0.069433
0.053829,0.053096
0.042608,0.051472
0.052161,0.049547
0.062168,0.055954
0.090751,0.061497
0.032600,0.080453
0.022365,0.045480
0.046399,0.038895
0.033510,0.053044
0.042684,0.045113
0.041547,0.046853
0.026611,0.047821
0.043139,0.030567
0.093177,0.040514
0.116528,0.081899
0.088476,0.096592
0.118802,0.079348
0.134647,0.100655
0.082600,0.109399
0.030023,0.077856
0.017286,0.053508
0.069901,0.050061
0.084913,0.064528
0.089613,0.078404
0.028279,0.090198
0.021759,0.042248
0.013874,0.030081
0.021986,0.020411
0.045641,0.037441
0.118802,0.050593
0.087718,0.096636
0.050417,0.071901
0.040561,0.055221
0.043442,0.058240
0.021531,0.057871
0.016073,0.037990
0.008264,0.035947
0.013685,0.025463
0.074223,0.023339
0.081425,0.066349
0.050114,0.079811
0.026459,0.052360
0.028279,0.026020
0.010842,0.026305
0.036164,0.021197
0.092494,0.048940
0.127218,0.088306
0.035557,0.101409
0.040788,0.039858
0.063381,0.052719
0.045110,0.062705
0.010159,0.044105
0.013192,0.030429
0.045337,0.034759
0.029511,0.035071
0.121550,0.032771
0.131539,0.105669
0.091281,0.106277
0.064746,0.076786
0.012358,0.055544
