REAL,ESTIMATE
57.000000,64.525282
50.000000,57.420438
49.000000,50.113707
37.000000,47.912093
38.000000,36.222271
52.000000,37.024157
51.000000,50.551338
64.000000,49.512227
67.000000,62.720827
64.000000,66.430943
70.000000,64.802462
97.000000,71.862324
95.000000,106.513163
99.000000,103.885134
121.000000,106.879034
136.000000,132.317408
143.000000,146.808063
147.000000,155.086348
154.000000,162.981371
173.000000,168.100935
192.000000,179.705081
202.000000,199.752520
178.000000,209.446700
184.000000,182.589349
162.000000,190.175101
152.000000,165.869519
138.000000,153.938208
123.000000,139.265768
119.000000,128.199535
140.000000,127.787940
171.000000,155.266657
173.000000,189.174720
165.000000,198.254938
169.000000,183.476870
148.000000,185.809440
116.000000,158.728571
88.000000,124.033970
79.000000,96.917661
83.000000,94.612001
69.000000,104.438942
87.000000,93.176276
85.000000,106.553535
80.000000,104.568930
82.000000,93.057263
88.000000,87.977362
122.000000,88.950927
144.000000,122.985383
150.000000,149.877589
125.000000,152.496110
112.000000,127.710719
105.000000,113.750145
91.000000,101.538747
60.000000,84.024445
50.000000,57.376568
56.000000,56.641342
66.000000,67.428044
69.000000,75.848970
67.000000,73.580689
83.000000,69.348400
77.000000,78.631601
79.000000,69.167385
74.000000,64.860926
64.000000,62.201922
48.000000,58.663085
39.000000,49.511374
35.000000,41.878906
28.000000,38.008785
23.000000,34.020752
18.000000,30.177893
15.000000,26.908892
20.000000,26.801382
29.000000,30.201151
29.000000,35.355611
38.000000,32.880008
41.000000,37.292922
37.000000,39.988986
39.000000,38.986644
42.000000,38.260996
60.000000,38.082432
56.000000,49.511798
54.000000,47.247121
45.000000,47.596291
46.000000,43.014430
46.000000,44.725620
48.000000,42.483081
47.000000,41.490701
56.000000,40.141266
58.000000,47.766118
81.000000,47.892526
70.000000,66.919488
66.000000,60.009987
69.000000,59.953665
67.000000,67.570547
73.000000,64.856799
74.000000,64.694303
90.000000,62.670653
80.000000,74.638934
79.000000,72.133710
77.000000,70.288092
72.000000,72.261286
71.000000,71.911721
83.000000,71.507426
95.000000,79.698596
114.000000,90.233734
102.000000,107.606541
106.000000,99.941496
102.000000,105.991082
94.000000,102.484731
108.000000,93.724065
102.000000,108.307919
108.000000,96.575662
106.000000,100.641170
90.000000,100.867966
92.000000,86.169896
95.000000,89.315818
124.000000,92.138694
136.000000,123.501349
142.000000,136.547876
136.000000,143.205321
137.000000,137.225792
133.000000,138.497610
133.000000,131.978712
128.000000,132.908105
117.000000,127.292297
124.000000,116.821160
123.800000,126.388261
123.600000,127.097401
123.400000,126.814068
123.200000,127.281208
123.000000,123.659758
130.000000,124.240865
154.000000,131.186652
190.000000,158.231103
201.000000,205.210085
234.000000,218.813752
226.000000,260.334624
224.000000,248.350248
225.000000,243.069488
233.000000,245.183652
206.000000,258.037679
186.000000,232.838449
190.000000,222.707156
222.000000,232.418522
209.000000,288.444548
150.000000,264.919988
137.000000,186.253897
130.000000,170.722993
130.000000,165.972149
121.000000,160.861630
140.000000,151.389966
143.000000,177.168950
146.000000,198.066233
155.000000,194.948788
143.000000,185.982209
144.000000,167.379313
156.000000,168.599843
118.000000,179.746271
140.000000,134.201558
176.000000,165.562655
172.000000,218.431806
134.000000,210.570491
116.000000,158.711475
98.000000,133.776607
78.000000,116.059402
69.000000,97.873428
59.000000,79.742175
54.000000,79.394184
55.000000,87.852790
51.000000,86.780421
48.000000,70.851700
44.000000,62.954289
56.000000,57.040207
51.000000,62.664172
52.000000,54.088416
61.000000,57.171584
59.000000,67.968060
57.000000,66.061910
60.000000,58.977430
64.000000,57.740777
67.000000,58.466266
66.000000,61.386259
71.000000,57.925669
59.000000,62.080630
55.000000,59.315294
61.000000,56.215682
65.000000,56.064269
65.000000,57.616942
57.000000,57.170106
50.000000,52.480882
43.000000,48.591175
43.000000,44.318482
41.000000,46.008129
35.000000,43.706824
46.000000,38.589345
44.000000,44.866975
44.000000,43.865347
54.000000,43.494848
60.000000,48.956044
74.000000,51.730572
49.000000,60.189781
48.000000,45.771822
44.000000,43.250543
44.000000,42.018912
33.000000,42.013151
31.000000,35.339127
34.000000,34.093653
49.000000,37.006912
47.000000,47.698744
40.000000,43.313944
37.000000,41.266154
46.000000,40.414948
46.000000,47.127457
46.000000,44.236114
40.000000,45.470321
44.000000,37.771714
46.000000,41.185164
41.000000,41.507653
37.000000,37.473316
40.000000,35.358048
35.000000,38.031588
40.000000,33.676343
51.000000,40.025430
65.000000,47.225363
72.000000,55.268550
59.000000,61.495993
51.000000,55.457987
42.000000,50.022372
39.000000,42.589487
40.000000,40.286950
39.000000,41.002486
38.000000,39.708050
37.000000,38.630208
42.000000,38.371141
43.000000,42.577121
34.000000,43.738600
31.000000,34.702316
40.000000,31.949820
40.000000,40.760497
33.000000,40.778268
68.000000,34.032871
47.000000,69.532431
49.000000,47.645980
50.000000,50.076784
44.000000,51.256951
53.000000,44.409042
59.000000,53.875028
68.000000,60.027541
70.000000,69.227821
55.000000,70.036569
48.000000,55.490413
48.000000,48.663191
60.000000,49.121405
56.000000,62.116867
46.000000,57.186428
43.000000,46.228247
42.000000,42.952085
39.000000,41.733036
52.000000,39.143771
48.000000,52.335545
43.000000,48.459290
41.000000,43.206866
36.000000,41.506923
50.000000,36.766930
45.000000,50.664693
40.000000,44.383942
41.000000,40.419864
47.000000,41.431166
45.000000,47.306820
45.000000,44.548408
55.000000,44.422486
53.000000,54.474206
51.000000,52.465295
59.000000,49.354718
66.000000,59.396145
73.000000,67.044212
85.000000,75.204507
76.000000,88.150882
56.000000,78.746313
58.000000,56.066648
52.000000,57.276579
65.000000,51.705593
54.000000,66.200359
47.000000,54.035851
42.000000,47.126776
40.000000,42.144727
44.000000,40.574024
46.000000,44.699472
46.000000,46.564610
56.000000,46.719688
56.000000,56.881251
53.000000,56.387860
54.000000,52.323290
64.000000,52.370538
68.000000,63.804292
69.000000,68.906377
